hiring_manager: vseloved; similarity_score: 0.94999
hiring_manager: chad_strategic; similarity_score: 0.90475
hiring_manager: razvvan; similarity_score: 0.84443
hiring_manager: owainlewis; similarity_score: 0.80850
hiring_manager: bnr; similarity_score: 0.73076
hiring_manager: omarforgotpwd; similarity_score: 0.71697
hiring_manager: redesignibm; similarity_score: 0.71697
hiring_manager: andy; similarity_score: 0.67856
hiring_manager: ononoma; similarity_score: 0.66666
hiring_manager: yurisagalov; similarity_score: 0.64406
hiring_manager: lowglow; similarity_score: 0.62294
hiring_manager: CurtHagenlocher; similarity_score: 0.61289
hiring_manager: lgsilver; similarity_score: 0.57575
hiring_manager: hungryblank; similarity_score: 0.55882
hiring_manager: dblock; similarity_score: 0.55881
hiring_manager: tortillasauce; similarity_score: 0.55881
hiring_manager: merinid; similarity_score: 0.55071
hiring_manager: acudmore; similarity_score: 0.54285
hiring_manager: gshahlot; similarity_score: 0.52777
hiring_manager: robhunter; similarity_score: 0.52777
hiring_manager: nicholaides; similarity_score: 0.52777
hiring_manager: mjhea0; similarity_score: 0.52777
hiring_manager: jimmyrocks; similarity_score: 0.52054
hiring_manager: meifamous; similarity_score: 0.51350
hiring_manager: mattculbreth; similarity_score: 0.50666
hiring_manager: k1w1; similarity_score: 0.49999
hiring_manager: samg; similarity_score: 0.49350
hiring_manager: thisjody; similarity_score: 0.49349
hiring_manager: odiroot; similarity_score: 0.48101
hiring_manager: thehar; similarity_score: 0.48100
hiring_manager: ehartsuyker; similarity_score: 0.47499
hiring_manager: brandnewlow; similarity_score: 0.46913
hiring_manager: murtza; similarity_score: 0.46341
hiring_manager: jack7890; similarity_score: 0.46341
hiring_manager: khaki54; similarity_score: 0.46340
hiring_manager: jevans; similarity_score: 0.45783
hiring_manager: DustinCalim; similarity_score: 0.44705
hiring_manager: nathanh; similarity_score: 0.44705
hiring_manager: tomblomfield; similarity_score: 0.44185
hiring_manager: nerdz; similarity_score: 0.43678
hiring_manager: jauntvr_amy; similarity_score: 0.43677
hiring_manager: gavanwilhite; similarity_score: 0.43181
hiring_manager: macrosak; similarity_score: 0.42695
hiring_manager: 7parkdata; similarity_score: 0.42222
hiring_manager: pierreant_p; similarity_score: 0.42222
hiring_manager: martidumas; similarity_score: 0.42222
hiring_manager: scanr; similarity_score: 0.41757
hiring_manager: chrisdl; similarity_score: 0.41303
hiring_manager: AndroidJedi; similarity_score: 0.40425
hiring_manager: samingrassia; similarity_score: 0.40425
hiring_manager: mazzarello; similarity_score: 0.40424
hiring_manager: Tarang; similarity_score: 0.40424
hiring_manager: ptlkitccat; similarity_score: 0.39999
hiring_manager: yegg; similarity_score: 0.39583
hiring_manager: vimeojobs; similarity_score: 0.39582
hiring_manager: mazerj; similarity_score: 0.39582
hiring_manager: robertpohl; similarity_score: 0.39175
hiring_manager: qwerpoiuty; similarity_score: 0.39174
hiring_manager: peawee; similarity_score: 0.38774
hiring_manager: kevinmchugh; similarity_score: 0.38383
hiring_manager: QTtech; similarity_score: 0.38383
hiring_manager: lamplightr; similarity_score: 0.37999
hiring_manager: martinlanden; similarity_score: 0.37623
hiring_manager: frb; similarity_score: 0.37623
hiring_manager: logotype; similarity_score: 0.37623
hiring_manager: jconnolly; similarity_score: 0.37623
hiring_manager: westi; similarity_score: 0.37254
hiring_manager: lennies; similarity_score: 0.36892
hiring_manager: workmarket; similarity_score: 0.36892
hiring_manager: margiexu; similarity_score: 0.36892
hiring_manager: nahidalam; similarity_score: 0.36892
hiring_manager: feverishaaron; similarity_score: 0.36537
hiring_manager: kiyoto; similarity_score: 0.36190
hiring_manager: jscalisi; similarity_score: 0.36190
hiring_manager: andrewlin; similarity_score: 0.36189
hiring_manager: hazzadous; similarity_score: 0.36189
hiring_manager: arthurgibson; similarity_score: 0.35848
hiring_manager: scidev; similarity_score: 0.35848
hiring_manager: joekur; similarity_score: 0.35513
hiring_manager: kenrose; similarity_score: 0.35513
hiring_manager: austinhallock; similarity_score: 0.35184
hiring_manager: demac; similarity_score: 0.35184
hiring_manager: a5huynh; similarity_score: 0.35184
hiring_manager: saucelabs; similarity_score: 0.35184
hiring_manager: morgante; similarity_score: 0.34862
hiring_manager: ryan_f; similarity_score: 0.34861
hiring_manager: allbombs; similarity_score: 0.34545
hiring_manager: johnballjibe; similarity_score: 0.34544
hiring_manager: pzearfoss; similarity_score: 0.34234
hiring_manager: Rodi; similarity_score: 0.33928
hiring_manager: USNetizen; similarity_score: 0.33627
hiring_manager: drc37; similarity_score: 0.33627
hiring_manager: cpenner461; similarity_score: 0.33627
hiring_manager: pkrein; similarity_score: 0.33627
hiring_manager: transitorykris; similarity_score: 0.33333
hiring_manager: ben-deskpro; similarity_score: 0.33043
hiring_manager: joe_fro; similarity_score: 0.33043
hiring_manager: dmritard96; similarity_score: 0.33042
hiring_manager: adamalix; similarity_score: 0.32758
hiring_manager: jasoncartwright; similarity_score: 0.32758
hiring_manager: wittedhaddock; similarity_score: 0.32478
hiring_manager: wadenick; similarity_score: 0.32477
hiring_manager: salar; similarity_score: 0.32477
hiring_manager: kdavari; similarity_score: 0.32203
hiring_manager: chris_raptr; similarity_score: 0.32202
