hiring_manager: namelezz; similarity_score: 0.98213
hiring_manager: deepsearch; similarity_score: 0.98213
hiring_manager: papaonlegs; similarity_score: 0.96490
hiring_manager: bohnej; similarity_score: 0.96490
hiring_manager: zacharycohn; similarity_score: 0.94827
hiring_manager: siddarthd2919; similarity_score: 0.91666
hiring_manager: bostonpete; similarity_score: 0.91666
hiring_manager: xasos; similarity_score: 0.91665
hiring_manager: ogennadi; similarity_score: 0.90163
hiring_manager: BillFranklin; similarity_score: 0.90163
hiring_manager: iandanforth; similarity_score: 0.90163
hiring_manager: neftaly; similarity_score: 0.90163
hiring_manager: OpenDrapery; similarity_score: 0.88709
hiring_manager: joshcanhelp; similarity_score: 0.88708
hiring_manager: metaobject; similarity_score: 0.88708
hiring_manager: ljlolel; similarity_score: 0.87301
hiring_manager: fractalsea; similarity_score: 0.87301
hiring_manager: fourier; similarity_score: 0.87301
hiring_manager: nathanwdavis; similarity_score: 0.85937
hiring_manager: khwang; similarity_score: 0.85937
hiring_manager: plaban123; similarity_score: 0.85936
hiring_manager: grinich; similarity_score: 0.85936
hiring_manager: Caleb_Smith; similarity_score: 0.85936
hiring_manager: sid6376; similarity_score: 0.84615
hiring_manager: curiousDog; similarity_score: 0.84614
hiring_manager: siscia; similarity_score: 0.83332
hiring_manager: _gordee; similarity_score: 0.83332
hiring_manager: smikhanov; similarity_score: 0.82089
hiring_manager: quinthar; similarity_score: 0.82089
hiring_manager: fuckthepoor; similarity_score: 0.82089
hiring_manager: fapjacks; similarity_score: 0.82089
hiring_manager: hrehhf; similarity_score: 0.82088
hiring_manager: unclesaamm; similarity_score: 0.80881
hiring_manager: st8machine; similarity_score: 0.79710
hiring_manager: emcienjobs; similarity_score: 0.79709
hiring_manager: vaughnd; similarity_score: 0.79709
hiring_manager: rrpadhy; similarity_score: 0.78571
hiring_manager: tobinharris; similarity_score: 0.78570
hiring_manager: HeyLaughingBoy; similarity_score: 0.78570
hiring_manager: jerematasno; similarity_score: 0.77464
hiring_manager: kbar13; similarity_score: 0.76388
hiring_manager: chrisbennet; similarity_score: 0.76388
hiring_manager: rememberlenny; similarity_score: 0.76388
hiring_manager: Cyranix; similarity_score: 0.76387
hiring_manager: zerr; similarity_score: 0.75341
hiring_manager: Blackthorn; similarity_score: 0.75341
hiring_manager: petrosagg; similarity_score: 0.75341
hiring_manager: miles932; similarity_score: 0.74324
hiring_manager: geverett; similarity_score: 0.74323
hiring_manager: timanglade; similarity_score: 0.73332
hiring_manager: manpageman; similarity_score: 0.72367
hiring_manager: reubendoetsch; similarity_score: 0.72367
