hiring_manager: papaonlegs; similarity_score: 0.97401
hiring_manager: siddarthd2919; similarity_score: 0.93749
hiring_manager: BillFranklin; similarity_score: 0.92592
hiring_manager: ljlolel; similarity_score: 0.90360
hiring_manager: emcienjobs; similarity_score: 0.84269
hiring_manager: rememberlenny; similarity_score: 0.80645
hiring_manager: toreriklinnerud; similarity_score: 0.80644
hiring_manager: geverett; similarity_score: 0.79786
hiring_manager: untilHellbanned; similarity_score: 0.78946
hiring_manager: frabcus; similarity_score: 0.78946
hiring_manager: manpageman; similarity_score: 0.78124
hiring_manager: milewska; similarity_score: 0.77319
hiring_manager: g06; similarity_score: 0.76530
hiring_manager: reubendoetsch; similarity_score: 0.76530
hiring_manager: spot; similarity_score: 0.76529
hiring_manager: edent; similarity_score: 0.75757
hiring_manager: doxcf434; similarity_score: 0.75756
hiring_manager: lesleyann25; similarity_score: 0.74999
hiring_manager: darrennix; similarity_score: 0.74256
hiring_manager: pouloum78; similarity_score: 0.73528
hiring_manager: roybarberuk; similarity_score: 0.72814
hiring_manager: yavery; similarity_score: 0.72814
hiring_manager: ericbogs; similarity_score: 0.72814
hiring_manager: feverishaaron; similarity_score: 0.70093
hiring_manager: k1w1; similarity_score: 0.68181
hiring_manager: finnh; similarity_score: 0.68181
hiring_manager: amac; similarity_score: 0.67566
hiring_manager: burnout1540; similarity_score: 0.66963
hiring_manager: imdane; similarity_score: 0.65788
hiring_manager: lbo; similarity_score: 0.65217
hiring_manager: edziubudzik; similarity_score: 0.64654
hiring_manager: pwman; similarity_score: 0.64102
hiring_manager: pohungc; similarity_score: 0.64101
hiring_manager: kefeizhou; similarity_score: 0.63558
hiring_manager: marybheine; similarity_score: 0.63025
hiring_manager: jack7890; similarity_score: 0.63024
hiring_manager: frb; similarity_score: 0.63024
hiring_manager: murtza; similarity_score: 0.63024
hiring_manager: 7parkdata; similarity_score: 0.61983
hiring_manager: rfergie; similarity_score: 0.60975
hiring_manager: DustinCalim; similarity_score: 0.60974
hiring_manager: american_hawk; similarity_score: 0.60483
