hiring_manager: papaonlegs; similarity_score: 0.97014
hiring_manager: BillFranklin; similarity_score: 0.92856
hiring_manager: siddarthd2919; similarity_score: 0.92856
hiring_manager: ljlolel; similarity_score: 0.89040
hiring_manager: emcienjobs; similarity_score: 0.82277
hiring_manager: geverett; similarity_score: 0.79267
hiring_manager: rememberlenny; similarity_score: 0.78313
hiring_manager: untilHellbanned; similarity_score: 0.78312
hiring_manager: toreriklinnerud; similarity_score: 0.78312
hiring_manager: manpageman; similarity_score: 0.76469
hiring_manager: frabcus; similarity_score: 0.75580
hiring_manager: reubendoetsch; similarity_score: 0.74712
hiring_manager: milewska; similarity_score: 0.74711
hiring_manager: lesleyann25; similarity_score: 0.73033
hiring_manager: doxcf434; similarity_score: 0.73033
hiring_manager: edent; similarity_score: 0.73032
hiring_manager: g06; similarity_score: 0.72222
hiring_manager: spot; similarity_score: 0.72222
hiring_manager: pouloum78; similarity_score: 0.71428
hiring_manager: darrennix; similarity_score: 0.71427
hiring_manager: yavery; similarity_score: 0.69892
hiring_manager: ericbogs; similarity_score: 0.69891
hiring_manager: roybarberuk; similarity_score: 0.68420
hiring_manager: feverishaaron; similarity_score: 0.66326
hiring_manager: k1w1; similarity_score: 0.65656
hiring_manager: finnh; similarity_score: 0.63725
hiring_manager: amac; similarity_score: 0.63724
hiring_manager: burnout1540; similarity_score: 0.63724
hiring_manager: imdane; similarity_score: 0.61904
hiring_manager: pohungc; similarity_score: 0.61903
hiring_manager: lbo; similarity_score: 0.61903
hiring_manager: edziubudzik; similarity_score: 0.61319
hiring_manager: murtza; similarity_score: 0.60747
hiring_manager: kefeizhou; similarity_score: 0.60746
hiring_manager: pwman; similarity_score: 0.60185
hiring_manager: jack7890; similarity_score: 0.59632
hiring_manager: marybheine; similarity_score: 0.59632
hiring_manager: frb; similarity_score: 0.59090
hiring_manager: 7parkdata; similarity_score: 0.59090
hiring_manager: american_hawk; similarity_score: 0.57521
hiring_manager: realdlee; similarity_score: 0.57017
hiring_manager: samingrassia; similarity_score: 0.57017
hiring_manager: DustinCalim; similarity_score: 0.57016
hiring_manager: rfergie; similarity_score: 0.56521
hiring_manager: runcougar; similarity_score: 0.56520
hiring_manager: statictype; similarity_score: 0.56034
hiring_manager: andrewmb; similarity_score: 0.55555
hiring_manager: damon_c; similarity_score: 0.55554
hiring_manager: jsaxton86; similarity_score: 0.55084
hiring_manager: yegg; similarity_score: 0.55084
hiring_manager: lsee; similarity_score: 0.55084
hiring_manager: rrpadhy; similarity_score: 0.54621
hiring_manager: annalewis7; similarity_score: 0.54621
hiring_manager: chrisdl; similarity_score: 0.54621
