job_seeker: vdimarco; similarity_score: 0.96785
job_seeker: FiddlerClamp; similarity_score: 0.96440
job_seeker: hannes2000; similarity_score: 0.96440
job_seeker: torkable; similarity_score: 0.96099
job_seeker: colsandurz; similarity_score: 0.96098
job_seeker: yowmamasita; similarity_score: 0.96098
job_seeker: ainiriand; similarity_score: 0.95759
job_seeker: quiqueqs; similarity_score: 0.95759
job_seeker: new_user_name; similarity_score: 0.95759
job_seeker: Stamy; similarity_score: 0.95422
job_seeker: dsfreed; similarity_score: 0.95421
job_seeker: mishkovski; similarity_score: 0.95421
job_seeker: gkelly; similarity_score: 0.95421
job_seeker: Hobart116; similarity_score: 0.95087
job_seeker: wmil; similarity_score: 0.95087
job_seeker: sauravt; similarity_score: 0.95086
job_seeker: SerialMiller; similarity_score: 0.94754
job_seeker: saigrandhi; similarity_score: 0.94754
job_seeker: RamunasM; similarity_score: 0.94754
job_seeker: batjaa; similarity_score: 0.94754
job_seeker: jivux; similarity_score: 0.94754
job_seeker: pluc; similarity_score: 0.94424
job_seeker: egorbatik; similarity_score: 0.94424
job_seeker: speeder; similarity_score: 0.94097
job_seeker: frontsideair; similarity_score: 0.94096
job_seeker: phish; similarity_score: 0.94096
job_seeker: jdbiggs; similarity_score: 0.93771
job_seeker: pknerd; similarity_score: 0.93771
job_seeker: domedefelice; similarity_score: 0.93448
job_seeker: sharmanaetor; similarity_score: 0.93448
job_seeker: agurha; similarity_score: 0.93448
job_seeker: jbza; similarity_score: 0.93448
job_seeker: jokoon; similarity_score: 0.93447
job_seeker: greenjellybean; similarity_score: 0.93447
job_seeker: hyunwoona; similarity_score: 0.93447
job_seeker: JoshuaDavid; similarity_score: 0.93127
job_seeker: yesyesnooo; similarity_score: 0.93126
job_seeker: webjac; similarity_score: 0.92808
job_seeker: anujpasricha; similarity_score: 0.92807
job_seeker: ucacian; similarity_score: 0.92807
job_seeker: harrychenca; similarity_score: 0.92490
job_seeker: Nullslash; similarity_score: 0.92176
job_seeker: chad_strategic; similarity_score: 0.92176
job_seeker: sfythe; similarity_score: 0.92175
job_seeker: Grue3; similarity_score: 0.91864
job_seeker: mariocesar; similarity_score: 0.91553
job_seeker: rogerbinns; similarity_score: 0.91245
job_seeker: claudiordgz; similarity_score: 0.91245
job_seeker: v1ct0r; similarity_score: 0.91244
job_seeker: gothy; similarity_score: 0.90939
job_seeker: srpoder; similarity_score: 0.90939
job_seeker: japesinator; similarity_score: 0.90333
job_seeker: waiquoo; similarity_score: 0.90332
job_seeker: 3zzy; similarity_score: 0.90332
job_seeker: ownagefool; similarity_score: 0.90332
job_seeker: ryanjanvier; similarity_score: 0.90033
job_seeker: asfarley; similarity_score: 0.90032
job_seeker: nicopace; similarity_score: 0.90032
job_seeker: baggachipz; similarity_score: 0.89734
job_seeker: hiby007; similarity_score: 0.89734
job_seeker: nubcakes; similarity_score: 0.89734
