job_seeker: hannes2000; similarity_score: 0.89130
job_seeker: FiddlerClamp; similarity_score: 0.88171
job_seeker: colsandurz; similarity_score: 0.87233
job_seeker: ainiriand; similarity_score: 0.87233
job_seeker: yowmamasita; similarity_score: 0.87233
job_seeker: quiqueqs; similarity_score: 0.87233
job_seeker: new_user_name; similarity_score: 0.86315
job_seeker: mishkovski; similarity_score: 0.86315
job_seeker: torkable; similarity_score: 0.86315
job_seeker: vdimarco; similarity_score: 0.86315
job_seeker: Stamy; similarity_score: 0.84536
job_seeker: RamunasM; similarity_score: 0.84536
job_seeker: dsfreed; similarity_score: 0.84535
job_seeker: batjaa; similarity_score: 0.83673
job_seeker: wmil; similarity_score: 0.83672
job_seeker: sauravt; similarity_score: 0.83672
job_seeker: pluc; similarity_score: 0.82828
job_seeker: Hobart116; similarity_score: 0.82827
job_seeker: SerialMiller; similarity_score: 0.82827
job_seeker: egorbatik; similarity_score: 0.82827
job_seeker: saigrandhi; similarity_score: 0.82
job_seeker: gkelly; similarity_score: 0.81187
job_seeker: jdbiggs; similarity_score: 0.81187
job_seeker: phish; similarity_score: 0.81187
job_seeker: jivux; similarity_score: 0.81187
job_seeker: jbza; similarity_score: 0.80391
job_seeker: pknerd; similarity_score: 0.80391
job_seeker: jokoon; similarity_score: 0.80391
job_seeker: hyunwoona; similarity_score: 0.79611
job_seeker: frontsideair; similarity_score: 0.79611
job_seeker: agurha; similarity_score: 0.79611
job_seeker: domedefelice; similarity_score: 0.79610
job_seeker: yesyesnooo; similarity_score: 0.78845
job_seeker: sharmanaetor; similarity_score: 0.78845
job_seeker: speeder; similarity_score: 0.78845
job_seeker: anujpasricha; similarity_score: 0.78094
job_seeker: harrychenca; similarity_score: 0.76635
job_seeker: chad_strategic; similarity_score: 0.76634
job_seeker: webjac; similarity_score: 0.76634
job_seeker: greenjellybean; similarity_score: 0.75925
job_seeker: JoshuaDavid; similarity_score: 0.75925
job_seeker: sfythe; similarity_score: 0.75228
job_seeker: Nullslash; similarity_score: 0.75228
job_seeker: v1ct0r; similarity_score: 0.75228
job_seeker: asfarley; similarity_score: 0.74545
job_seeker: rogerbinns; similarity_score: 0.73213
job_seeker: srpoder; similarity_score: 0.73213
job_seeker: nicopace; similarity_score: 0.72566
job_seeker: ownagefool; similarity_score: 0.72566
job_seeker: waiquoo; similarity_score: 0.72566
job_seeker: gothy; similarity_score: 0.71304
job_seeker: ryanjanvier; similarity_score: 0.71303
job_seeker: claudiordgz; similarity_score: 0.71303
