hiring_manager: untilHellbanned; similarity_score: 24.1007
hiring_manager: frb; similarity_score: 23.5023
hiring_manager: g06; similarity_score: 23.4295
hiring_manager: dangoldin; similarity_score: 23.2649
hiring_manager: finnh; similarity_score: 22.5806
hiring_manager: hglaser; similarity_score: 22.4427
hiring_manager: rememberlenny; similarity_score: 22.3091
hiring_manager: jack7890; similarity_score: 21.8787
hiring_manager: petrosagg; similarity_score: 21.8678
hiring_manager: johnnyg; similarity_score: 21.8600
hiring_manager: biomimic; similarity_score: 21.5269
hiring_manager: artursapek; similarity_score: 21.3925
hiring_manager: toreriklinnerud; similarity_score: 21.3084
hiring_manager: Renat; similarity_score: 21.2765
hiring_manager: darrennix; similarity_score: 21.2560
hiring_manager: ninetax; similarity_score: 20.7705
hiring_manager: edziubudzik; similarity_score: 20.6703
hiring_manager: lesleyann25; similarity_score: 20.5206
hiring_manager: chrisdl; similarity_score: 20.5128
hiring_manager: jszumski; similarity_score: 20.3174
hiring_manager: ashleyjohn; similarity_score: 20.0585
hiring_manager: Cyranix; similarity_score: 19.9575
hiring_manager: spooneybarger; similarity_score: 19.9541
hiring_manager: hrehhf; similarity_score: 19.9513
hiring_manager: reubendoetsch; similarity_score: 19.7614
hiring_manager: emcienjobs; similarity_score: 19.7568
hiring_manager: yavery; similarity_score: 19.7309
hiring_manager: asanwal; similarity_score: 19.3732
hiring_manager: murtza; similarity_score: 19.3624
hiring_manager: milewska; similarity_score: 19.3548
hiring_manager: kevinschumacher; similarity_score: 19.3129
hiring_manager: kefeizhou; similarity_score: 19.2837
hiring_manager: DustinCalim; similarity_score: 19.1226
hiring_manager: baran; similarity_score: 19.0556
hiring_manager: jsaxton86; similarity_score: 19.0476
hiring_manager: salar; similarity_score: 19.0255
hiring_manager: geori; similarity_score: 19.0222
hiring_manager: spot; similarity_score: 18.8365
hiring_manager: joshcanhelp; similarity_score: 18.7793
hiring_manager: wdewind; similarity_score: 18.7122
hiring_manager: roybarberuk; similarity_score: 18.5897
hiring_manager: dalys; similarity_score: 18.5404
hiring_manager: manpageman; similarity_score: 18.4782
hiring_manager: jhmaddox; similarity_score: 18.3924
hiring_manager: Andrew_Metail; similarity_score: 18.3856
hiring_manager: pouloum78; similarity_score: 18.2724
hiring_manager: doxcf434; similarity_score: 18.2389
hiring_manager: lbo; similarity_score: 18.2312
hiring_manager: zerr; similarity_score: 18.2170
hiring_manager: justhw; similarity_score: 18.1818
hiring_manager: greenjellybean; similarity_score: 18.1474
hiring_manager: dbuxton; similarity_score: 18.1256
