job_seeker: EddyShure; similarity_score: 0.98947
job_seeker: trumbitta2; similarity_score: 0.98946
job_seeker: white0ut; similarity_score: 0.91261
job_seeker: papes; similarity_score: 0.90384
job_seeker: scool; similarity_score: 0.87850
job_seeker: HemantPawar; similarity_score: 0.87849
job_seeker: rayalez; similarity_score: 0.87036
job_seeker: knoxzin1; similarity_score: 0.87036
job_seeker: david04; similarity_score: 0.86238
job_seeker: colsandurz; similarity_score: 0.86238
job_seeker: sam_rad; similarity_score: 0.86237
job_seeker: idlewan; similarity_score: 0.86237
job_seeker: developerbro; similarity_score: 0.85453
job_seeker: it_learnses; similarity_score: 0.85453
job_seeker: enilsen16; similarity_score: 0.83928
job_seeker: phish; similarity_score: 0.83928
job_seeker: csommers; similarity_score: 0.83928
job_seeker: pknerd; similarity_score: 0.83927
job_seeker: andrey_utkin; similarity_score: 0.83927
job_seeker: notastartup; similarity_score: 0.83927
job_seeker: pzz; similarity_score: 0.83185
job_seeker: cpursley; similarity_score: 0.83184
job_seeker: asow92; similarity_score: 0.82455
job_seeker: coffee667; similarity_score: 0.81739
job_seeker: albur; similarity_score: 0.81738
job_seeker: alexandregme; similarity_score: 0.81034
job_seeker: csbartus; similarity_score: 0.81033
job_seeker: Stamy; similarity_score: 0.80341
job_seeker: joshrael; similarity_score: 0.80341
job_seeker: ddxv; similarity_score: 0.79660
job_seeker: spacial; similarity_score: 0.79660
job_seeker: sfythe; similarity_score: 0.79660
job_seeker: dmichulke; similarity_score: 0.79660
job_seeker: shabinesh; similarity_score: 0.79660
job_seeker: ashkang; similarity_score: 0.78990
job_seeker: thetwopct; similarity_score: 0.78332
job_seeker: Grue3; similarity_score: 0.78332
job_seeker: aivosha; similarity_score: 0.77685
job_seeker: sharmanaetor; similarity_score: 0.77684
job_seeker: krapp; similarity_score: 0.76422
job_seeker: rockoder; similarity_score: 0.76422
job_seeker: uladzislau; similarity_score: 0.75805
job_seeker: nogbit; similarity_score: 0.75805
job_seeker: dancole; similarity_score: 0.75805
job_seeker: lukeqsee; similarity_score: 0.75805
job_seeker: gothy; similarity_score: 0.75199
job_seeker: 3zzy; similarity_score: 0.75199
job_seeker: siscia; similarity_score: 0.74602
job_seeker: mateja; similarity_score: 0.74014
job_seeker: rahulroy; similarity_score: 0.73437
job_seeker: apsdehal; similarity_score: 0.73437
job_seeker: madarve; similarity_score: 0.73437
job_seeker: zplesivcak; similarity_score: 0.73436
