job_seeker: hannes2000; similarity_score: 0.95412
job_seeker: FiddlerClamp; similarity_score: 0.95412
job_seeker: torkable; similarity_score: 0.94977
job_seeker: dsfreed; similarity_score: 0.94976
job_seeker: vdimarco; similarity_score: 0.94976
job_seeker: quiqueqs; similarity_score: 0.94545
job_seeker: ainiriand; similarity_score: 0.94545
job_seeker: colsandurz; similarity_score: 0.94545
job_seeker: new_user_name; similarity_score: 0.94544
job_seeker: mishkovski; similarity_score: 0.94117
job_seeker: yowmamasita; similarity_score: 0.94116
job_seeker: Stamy; similarity_score: 0.94116
job_seeker: RamunasM; similarity_score: 0.93693
job_seeker: batjaa; similarity_score: 0.93692
job_seeker: pluc; similarity_score: 0.93273
job_seeker: gkelly; similarity_score: 0.93273
job_seeker: egorbatik; similarity_score: 0.93272
job_seeker: SerialMiller; similarity_score: 0.93272
job_seeker: jokoon; similarity_score: 0.92856
job_seeker: saigrandhi; similarity_score: 0.92856
job_seeker: Hobart116; similarity_score: 0.92856
job_seeker: wmil; similarity_score: 0.92856
job_seeker: sauravt; similarity_score: 0.92444
job_seeker: jbza; similarity_score: 0.92444
job_seeker: jdbiggs; similarity_score: 0.92443
job_seeker: jivux; similarity_score: 0.92034
job_seeker: phish; similarity_score: 0.92034
job_seeker: domedefelice; similarity_score: 0.91629
job_seeker: agurha; similarity_score: 0.91629
job_seeker: pknerd; similarity_score: 0.91629
job_seeker: sharmanaetor; similarity_score: 0.91629
job_seeker: frontsideair; similarity_score: 0.91629
job_seeker: hyunwoona; similarity_score: 0.91227
job_seeker: yesyesnooo; similarity_score: 0.91227
job_seeker: webjac; similarity_score: 0.91227
job_seeker: chad_strategic; similarity_score: 0.91227
job_seeker: sfythe; similarity_score: 0.90434
job_seeker: speeder; similarity_score: 0.90434
job_seeker: ryanjanvier; similarity_score: 0.90433
job_seeker: anujpasricha; similarity_score: 0.90042
job_seeker: harrychenca; similarity_score: 0.90042
job_seeker: 3zzy; similarity_score: 0.89654
job_seeker: greenjellybean; similarity_score: 0.89654
job_seeker: Nullslash; similarity_score: 0.88888
job_seeker: v1ct0r; similarity_score: 0.88888
