hiring_manager: chad_strategic; similarity_score: 0.99447
hiring_manager: vseloved; similarity_score: 0.98901
hiring_manager: owainlewis; similarity_score: 0.96773
hiring_manager: razvvan; similarity_score: 0.95237
hiring_manager: redesignibm; similarity_score: 0.94736
hiring_manager: omarforgotpwd; similarity_score: 0.93749
hiring_manager: bnr; similarity_score: 0.92307
hiring_manager: andy; similarity_score: 0.92307
hiring_manager: yurisagalov; similarity_score: 0.91836
hiring_manager: ononoma; similarity_score: 0.91369
hiring_manager: CurtHagenlocher; similarity_score: 0.90908
hiring_manager: lowglow; similarity_score: 0.89551
hiring_manager: lgsilver; similarity_score: 0.87377
hiring_manager: dblock; similarity_score: 0.86956
hiring_manager: nicholaides; similarity_score: 0.86955
hiring_manager: mattculbreth; similarity_score: 0.86538
hiring_manager: merinid; similarity_score: 0.86538
hiring_manager: tortillasauce; similarity_score: 0.86124
hiring_manager: hungryblank; similarity_score: 0.86124
hiring_manager: gshahlot; similarity_score: 0.86123
hiring_manager: jimmyrocks; similarity_score: 0.85307
hiring_manager: robhunter; similarity_score: 0.84506
hiring_manager: acudmore; similarity_score: 0.84506
hiring_manager: mjhea0; similarity_score: 0.84506
hiring_manager: k1w1; similarity_score: 0.84111
hiring_manager: thisjody; similarity_score: 0.83720
hiring_manager: meifamous; similarity_score: 0.83720
hiring_manager: thehar; similarity_score: 0.83332
hiring_manager: odiroot; similarity_score: 0.83332
hiring_manager: samg; similarity_score: 0.82949
hiring_manager: ehartsuyker; similarity_score: 0.82949
hiring_manager: brandnewlow; similarity_score: 0.82948
hiring_manager: murtza; similarity_score: 0.82568
hiring_manager: jevans; similarity_score: 0.82191
hiring_manager: jack7890; similarity_score: 0.82191
hiring_manager: macrosak; similarity_score: 0.81447
hiring_manager: khaki54; similarity_score: 0.81447
hiring_manager: nerdz; similarity_score: 0.81081
hiring_manager: jauntvr_amy; similarity_score: 0.81080
hiring_manager: gavanwilhite; similarity_score: 0.80717
hiring_manager: DustinCalim; similarity_score: 0.80717
hiring_manager: nathanh; similarity_score: 0.80717
hiring_manager: chrisdl; similarity_score: 0.80716
hiring_manager: tomblomfield; similarity_score: 0.80716
hiring_manager: Tarang; similarity_score: 0.80356
hiring_manager: 7parkdata; similarity_score: 0.80356
hiring_manager: samingrassia; similarity_score: 0.79999
hiring_manager: pierreant_p; similarity_score: 0.78947
hiring_manager: scanr; similarity_score: 0.78602
hiring_manager: AndroidJedi; similarity_score: 0.78601
hiring_manager: kevinmchugh; similarity_score: 0.78260
hiring_manager: qwerpoiuty; similarity_score: 0.77921
hiring_manager: logotype; similarity_score: 0.77921
hiring_manager: martidumas; similarity_score: 0.77921
hiring_manager: mazzarello; similarity_score: 0.77585
hiring_manager: kiyoto; similarity_score: 0.77252
hiring_manager: ptlkitccat; similarity_score: 0.77252
hiring_manager: mazerj; similarity_score: 0.76923
hiring_manager: vimeojobs; similarity_score: 0.76922
hiring_manager: martinlanden; similarity_score: 0.76922
hiring_manager: frb; similarity_score: 0.76595
hiring_manager: QTtech; similarity_score: 0.76595
hiring_manager: westi; similarity_score: 0.76270
hiring_manager: peawee; similarity_score: 0.76270
hiring_manager: yegg; similarity_score: 0.75948
hiring_manager: lamplightr; similarity_score: 0.75630
hiring_manager: jconnolly; similarity_score: 0.75629
hiring_manager: a5huynh; similarity_score: 0.75629
hiring_manager: nahidalam; similarity_score: 0.75629
hiring_manager: margiexu; similarity_score: 0.75629
hiring_manager: ryan_f; similarity_score: 0.75313
hiring_manager: kenrose; similarity_score: 0.75313
hiring_manager: robertpohl; similarity_score: 0.75313
hiring_manager: arthurgibson; similarity_score: 0.75312
hiring_manager: drc37; similarity_score: 0.74999
hiring_manager: jscalisi; similarity_score: 0.74999
hiring_manager: feverishaaron; similarity_score: 0.74999
hiring_manager: dmritard96; similarity_score: 0.74999
hiring_manager: lennies; similarity_score: 0.74999
hiring_manager: andrewlin; similarity_score: 0.74688
hiring_manager: demac; similarity_score: 0.74688
hiring_manager: johnballjibe; similarity_score: 0.74379
hiring_manager: joe_fro; similarity_score: 0.74073
hiring_manager: hazzadous; similarity_score: 0.74073
hiring_manager: workmarket; similarity_score: 0.73770
hiring_manager: austinhallock; similarity_score: 0.73770
hiring_manager: allbombs; similarity_score: 0.73770
hiring_manager: morgante; similarity_score: 0.73770
hiring_manager: scidev; similarity_score: 0.73769
hiring_manager: transitorykris; similarity_score: 0.73769
hiring_manager: joekur; similarity_score: 0.73170
hiring_manager: pzearfoss; similarity_score: 0.73169
hiring_manager: cpenner461; similarity_score: 0.73169
hiring_manager: saucelabs; similarity_score: 0.72874
hiring_manager: adamalix; similarity_score: 0.72873
hiring_manager: Rodi; similarity_score: 0.72873
hiring_manager: salar; similarity_score: 0.72580
hiring_manager: pkrein; similarity_score: 0.71999
hiring_manager: wittedhaddock; similarity_score: 0.71999
hiring_manager: USNetizen; similarity_score: 0.71999
hiring_manager: drp; similarity_score: 0.71999
hiring_manager: wadenick; similarity_score: 0.71999
hiring_manager: chris_raptr; similarity_score: 0.71712
hiring_manager: jasoncartwright; similarity_score: 0.71712
hiring_manager: sadadar; similarity_score: 0.71712
hiring_manager: mrw34; similarity_score: 0.71145
hiring_manager: hmpc; similarity_score: 0.71145
hiring_manager: ben-deskpro; similarity_score: 0.70865
hiring_manager: marybheine; similarity_score: 0.70311
hiring_manager: tristanz; similarity_score: 0.70311
hiring_manager: robg; similarity_score: 0.70311
hiring_manager: geori; similarity_score: 0.70038
hiring_manager: trentellingsen; similarity_score: 0.69767
hiring_manager: tylersakats; similarity_score: 0.69766
hiring_manager: ben336; similarity_score: 0.69766
hiring_manager: jsnook; similarity_score: 0.69766
hiring_manager: pallinder; similarity_score: 0.69497
hiring_manager: kdavari; similarity_score: 0.69497
hiring_manager: calpaterson; similarity_score: 0.69230
hiring_manager: StefanBill; similarity_score: 0.69229
hiring_manager: madjack74; similarity_score: 0.68965
hiring_manager: erichurkman; similarity_score: 0.68965
hiring_manager: RaizlabsTalent; similarity_score: 0.68964
hiring_manager: ebildsten; similarity_score: 0.68701
hiring_manager: machinezone; similarity_score: 0.68440
hiring_manager: zacharypinter; similarity_score: 0.68181
hiring_manager: davidknezevic; similarity_score: 0.68181
hiring_manager: bacheson1293; similarity_score: 0.68181
hiring_manager: Renat; similarity_score: 0.67924
hiring_manager: THSK; similarity_score: 0.67924
hiring_manager: PhantomPhreak; similarity_score: 0.67668
hiring_manager: samirez; similarity_score: 0.67668
hiring_manager: BornInTheUSSR; similarity_score: 0.67415
hiring_manager: gshx; similarity_score: 0.67164
hiring_manager: agazso; similarity_score: 0.67163
hiring_manager: egillie; similarity_score: 0.66914
hiring_manager: SendGrid; similarity_score: 0.66665
hiring_manager: raxnet; similarity_score: 0.66420
hiring_manager: bladedawg; similarity_score: 0.66420
hiring_manager: jonhearty; similarity_score: 0.66420
hiring_manager: doctoboggan; similarity_score: 0.66175
hiring_manager: pashabitz; similarity_score: 0.66175
hiring_manager: tyoung; similarity_score: 0.65933
hiring_manager: FreshPuzzles; similarity_score: 0.65933
hiring_manager: rememberlenny; similarity_score: 0.65933
hiring_manager: jdawe; similarity_score: 0.65933
hiring_manager: ssk2; similarity_score: 0.65692
hiring_manager: hywel; similarity_score: 0.65692
hiring_manager: swilson7; similarity_score: 0.65453
hiring_manager: mac14; similarity_score: 0.65216
hiring_manager: sam; similarity_score: 0.65216
hiring_manager: knowtheory; similarity_score: 0.65216
hiring_manager: chrisconley; similarity_score: 0.65216
hiring_manager: gsiener; similarity_score: 0.64981
hiring_manager: malyk; similarity_score: 0.64981
hiring_manager: olivercameron; similarity_score: 0.64981
hiring_manager: escherize; similarity_score: 0.64981
hiring_manager: rskinner; similarity_score: 0.64748
hiring_manager: TEVO_throwaway; similarity_score: 0.64747
hiring_manager: meaydinli; similarity_score: 0.64747
hiring_manager: kevinschumacher; similarity_score: 0.64747
hiring_manager: mariusz331; similarity_score: 0.64515
hiring_manager: Theranos; similarity_score: 0.64284
hiring_manager: jtoberon; similarity_score: 0.64056
hiring_manager: temuze; similarity_score: 0.64056
hiring_manager: wbobeirne; similarity_score: 0.64056
hiring_manager: cj; similarity_score: 0.64056
hiring_manager: jluan; similarity_score: 0.63829
hiring_manager: mdu; similarity_score: 0.63603
hiring_manager: evaneykelen; similarity_score: 0.63603
hiring_manager: squirrel; similarity_score: 0.63603
hiring_manager: DenisM; similarity_score: 0.63603
hiring_manager: lrc1717; similarity_score: 0.63157
hiring_manager: sinak; similarity_score: 0.63157
hiring_manager: jasoncrawford; similarity_score: 0.62936
hiring_manager: masylum; similarity_score: 0.62936
hiring_manager: sv123; similarity_score: 0.62936
hiring_manager: manoa; similarity_score: 0.62936
