hiring_manager: deepsearch; similarity_score: 0.27272
hiring_manager: ogennadi; similarity_score: 0.12195
hiring_manager: papaonlegs; similarity_score: 0.11111
hiring_manager: metaobject; similarity_score: 0.10810
hiring_manager: siddarthd2919; similarity_score: 0.10526
hiring_manager: OpenDrapery; similarity_score: 0.10416
hiring_manager: iandanforth; similarity_score: 0.10256
hiring_manager: xasos; similarity_score: 0.09999
hiring_manager: fractalsea; similarity_score: 0.09433
hiring_manager: quinthar; similarity_score: 0.09259
hiring_manager: BillFranklin; similarity_score: 0.09230
hiring_manager: siscia; similarity_score: 0.08860
hiring_manager: fourier; similarity_score: 0.08474
hiring_manager: hrehhf; similarity_score: 0.08333
hiring_manager: plaban123; similarity_score: 0.08064
hiring_manager: sid6376; similarity_score: 0.07843
hiring_manager: st8machine; similarity_score: 0.07777
hiring_manager: fuckthepoor; similarity_score: 0.07499
hiring_manager: grinich; similarity_score: 0.07246
hiring_manager: HeyLaughingBoy; similarity_score: 0.07142
hiring_manager: nathanwdavis; similarity_score: 0.07017
hiring_manager: joshcanhelp; similarity_score: 0.06896
hiring_manager: zacharycohn; similarity_score: 0.06666
hiring_manager: unclesaamm; similarity_score: 0.06493
hiring_manager: rrpadhy; similarity_score: 0.06481
hiring_manager: jerematasno; similarity_score: 0.06451
hiring_manager: fapjacks; similarity_score: 0.0625
hiring_manager: miles932; similarity_score: 0.06194
hiring_manager: petrosagg; similarity_score: 0.06000
hiring_manager: ljlolel; similarity_score: 0.05952
hiring_manager: tobinharris; similarity_score: 0.05940
hiring_manager: smikhanov; similarity_score: 0.05555
hiring_manager: Cyranix; similarity_score: 0.05303
hiring_manager: chrisbennet; similarity_score: 0.05042
hiring_manager: vaughnd; similarity_score: 0.04950
hiring_manager: timanglade; similarity_score: 0.04929
hiring_manager: kbar13; similarity_score: 0.04838
hiring_manager: geverett; similarity_score: 0.04268
hiring_manager: justhw; similarity_score: 0.04191
hiring_manager: dalys; similarity_score: 0.04166
hiring_manager: rememberlenny; similarity_score: 0.04069
hiring_manager: S4M; similarity_score: 0.03867
hiring_manager: cllns; similarity_score: 0.03846
hiring_manager: beaverfox; similarity_score: 0.03825
hiring_manager: greenjellybean; similarity_score: 0.03684
hiring_manager: manpageman; similarity_score: 0.03286
hiring_manager: untilHellbanned; similarity_score: 0.03225
hiring_manager: toreriklinnerud; similarity_score: 0.03061
hiring_manager: ugh123; similarity_score: 0.03043
hiring_manager: neftaly; similarity_score: 0.02857
hiring_manager: zerr; similarity_score: 0.02824
hiring_manager: reubendoetsch; similarity_score: 0.02822
hiring_manager: milewska; similarity_score: 0.02739
hiring_manager: ninetax; similarity_score: 0.02713
hiring_manager: edent; similarity_score: 0.02678
hiring_manager: pouloum78; similarity_score: 0.02661
hiring_manager: k1w1; similarity_score: 0.02592
hiring_manager: frabcus; similarity_score: 0.02521
hiring_manager: finnh; similarity_score: 0.02491
hiring_manager: roybarberuk; similarity_score: 0.02456
hiring_manager: feverishaaron; similarity_score: 0.02422
hiring_manager: g06; similarity_score: 0.02400
hiring_manager: jorgecastillo; similarity_score: 0.02389
hiring_manager: lesleyann25; similarity_score: 0.02229
hiring_manager: emcienjobs; similarity_score: 0.02194
hiring_manager: darrennix; similarity_score: 0.02127
hiring_manager: yavery; similarity_score: 0.02121
hiring_manager: burnout1540; similarity_score: 0.01955
hiring_manager: edziubudzik; similarity_score: 0.01856
hiring_manager: 7Figures2Commas; similarity_score: 0.01846
hiring_manager: pohungc; similarity_score: 0.01827
hiring_manager: kefeizhou; similarity_score: 0.01808
hiring_manager: amac; similarity_score: 0.01785
hiring_manager: imdane; similarity_score: 0.01767
hiring_manager: pwman; similarity_score: 0.01707
hiring_manager: TheMakeA; similarity_score: 0.01690
hiring_manager: doxcf434; similarity_score: 0.01683
hiring_manager: ehberger; similarity_score: 0.01627
hiring_manager: damon_c; similarity_score: 0.01616
hiring_manager: frisco; similarity_score: 0.01609
hiring_manager: jsaxton86; similarity_score: 0.01598
hiring_manager: statictype; similarity_score: 0.01587
hiring_manager: 7parkdata; similarity_score: 0.01541
hiring_manager: biomimic; similarity_score: 0.01521
hiring_manager: rfergie; similarity_score: 0.01440
hiring_manager: ivanzhao; similarity_score: 0.01394
hiring_manager: murtza; similarity_score: 0.01377
