hiring_manager: chad_strategic; similarity_score: 0.96428
hiring_manager: vseloved; similarity_score: 0.96428
hiring_manager: owainlewis; similarity_score: 0.91524
hiring_manager: razvvan; similarity_score: 0.87096
hiring_manager: bnr; similarity_score: 0.79411
hiring_manager: redesignibm; similarity_score: 0.79411
hiring_manager: omarforgotpwd; similarity_score: 0.78260
hiring_manager: yurisagalov; similarity_score: 0.74999
hiring_manager: andy; similarity_score: 0.74999
hiring_manager: ononoma; similarity_score: 0.71999
hiring_manager: lowglow; similarity_score: 0.71051
hiring_manager: CurtHagenlocher; similarity_score: 0.69230
hiring_manager: lgsilver; similarity_score: 0.65852
hiring_manager: nicholaides; similarity_score: 0.65059
hiring_manager: mjhea0; similarity_score: 0.63528
hiring_manager: dblock; similarity_score: 0.63528
hiring_manager: tortillasauce; similarity_score: 0.62790
hiring_manager: hungryblank; similarity_score: 0.62790
hiring_manager: merinid; similarity_score: 0.62790
hiring_manager: jimmyrocks; similarity_score: 0.62068
hiring_manager: gshahlot; similarity_score: 0.62068
hiring_manager: acudmore; similarity_score: 0.62067
hiring_manager: mattculbreth; similarity_score: 0.60673
hiring_manager: robhunter; similarity_score: 0.59999
hiring_manager: meifamous; similarity_score: 0.58064
hiring_manager: samg; similarity_score: 0.58064
hiring_manager: k1w1; similarity_score: 0.58063
hiring_manager: thisjody; similarity_score: 0.58063
hiring_manager: thehar; similarity_score: 0.56842
hiring_manager: murtza; similarity_score: 0.56841
hiring_manager: brandnewlow; similarity_score: 0.56841
hiring_manager: khaki54; similarity_score: 0.56249
hiring_manager: jack7890; similarity_score: 0.56249
hiring_manager: jevans; similarity_score: 0.55669
hiring_manager: odiroot; similarity_score: 0.55669
hiring_manager: ehartsuyker; similarity_score: 0.55669
hiring_manager: nathanh; similarity_score: 0.55101
hiring_manager: tomblomfield; similarity_score: 0.53999
hiring_manager: jauntvr_amy; similarity_score: 0.53999
hiring_manager: nerdz; similarity_score: 0.53464
hiring_manager: Tarang; similarity_score: 0.52940
hiring_manager: gavanwilhite; similarity_score: 0.52940
hiring_manager: DustinCalim; similarity_score: 0.52426
hiring_manager: macrosak; similarity_score: 0.51922
hiring_manager: 7parkdata; similarity_score: 0.51427
hiring_manager: samingrassia; similarity_score: 0.51427
