job_seeker: new_user_name; similarity_score: 0.90475
job_seeker: hannes2000; similarity_score: 0.90475
job_seeker: vdimarco; similarity_score: 0.89622
job_seeker: FiddlerClamp; similarity_score: 0.89622
job_seeker: torkable; similarity_score: 0.88785
job_seeker: ainiriand; similarity_score: 0.88784
job_seeker: colsandurz; similarity_score: 0.88784
job_seeker: quiqueqs; similarity_score: 0.88784
job_seeker: mishkovski; similarity_score: 0.87962
job_seeker: yowmamasita; similarity_score: 0.87962
job_seeker: dsfreed; similarity_score: 0.87155
job_seeker: batjaa; similarity_score: 0.87155
job_seeker: RamunasM; similarity_score: 0.87155
job_seeker: wmil; similarity_score: 0.87155
job_seeker: Stamy; similarity_score: 0.86363
job_seeker: gkelly; similarity_score: 0.86363
job_seeker: egorbatik; similarity_score: 0.86363
job_seeker: SerialMiller; similarity_score: 0.86363
job_seeker: sauravt; similarity_score: 0.85585
job_seeker: pluc; similarity_score: 0.85585
job_seeker: Hobart116; similarity_score: 0.85584
job_seeker: saigrandhi; similarity_score: 0.84821
job_seeker: phish; similarity_score: 0.84820
job_seeker: jbza; similarity_score: 0.84820
job_seeker: pknerd; similarity_score: 0.84070
job_seeker: frontsideair; similarity_score: 0.84069
job_seeker: jivux; similarity_score: 0.84069
job_seeker: jokoon; similarity_score: 0.83333
job_seeker: jdbiggs; similarity_score: 0.83332
job_seeker: domedefelice; similarity_score: 0.83332
job_seeker: agurha; similarity_score: 0.82608
job_seeker: sharmanaetor; similarity_score: 0.82608
job_seeker: chad_strategic; similarity_score: 0.82608
job_seeker: hyunwoona; similarity_score: 0.82608
job_seeker: yesyesnooo; similarity_score: 0.81896
job_seeker: webjac; similarity_score: 0.81896
job_seeker: speeder; similarity_score: 0.81896
job_seeker: anujpasricha; similarity_score: 0.81196
job_seeker: greenjellybean; similarity_score: 0.79831
job_seeker: v1ct0r; similarity_score: 0.79165
job_seeker: Nullslash; similarity_score: 0.79165
job_seeker: JoshuaDavid; similarity_score: 0.78512
job_seeker: sfythe; similarity_score: 0.78512
job_seeker: harrychenca; similarity_score: 0.78511
job_seeker: nicopace; similarity_score: 0.77868
job_seeker: asfarley; similarity_score: 0.77235
job_seeker: 3zzy; similarity_score: 0.77235
job_seeker: srpoder; similarity_score: 0.77234
job_seeker: ucacian; similarity_score: 0.76612
job_seeker: ownagefool; similarity_score: 0.76612
job_seeker: waiquoo; similarity_score: 0.75999
job_seeker: ryanjanvier; similarity_score: 0.75999
job_seeker: rogerbinns; similarity_score: 0.75396
job_seeker: claudiordgz; similarity_score: 0.75395
