job_seeker: trumbitta2; similarity_score: 0.98717
job_seeker: EddyShure; similarity_score: 0.98717
job_seeker: white0ut; similarity_score: 0.89534
job_seeker: papes; similarity_score: 0.87499
job_seeker: scool; similarity_score: 0.85555
job_seeker: HemantPawar; similarity_score: 0.84615
job_seeker: knoxzin1; similarity_score: 0.84614
job_seeker: it_learnses; similarity_score: 0.83695
job_seeker: rayalez; similarity_score: 0.82795
job_seeker: sam_rad; similarity_score: 0.82795
job_seeker: david04; similarity_score: 0.82795
job_seeker: asow92; similarity_score: 0.82794
job_seeker: phish; similarity_score: 0.81914
job_seeker: colsandurz; similarity_score: 0.81052
job_seeker: idlewan; similarity_score: 0.81052
job_seeker: developerbro; similarity_score: 0.81051
job_seeker: cpursley; similarity_score: 0.81051
job_seeker: enilsen16; similarity_score: 0.81051
job_seeker: csommers; similarity_score: 0.81051
job_seeker: notastartup; similarity_score: 0.80207
job_seeker: andrey_utkin; similarity_score: 0.79380
job_seeker: pknerd; similarity_score: 0.78570
job_seeker: alexandregme; similarity_score: 0.76999
job_seeker: csbartus; similarity_score: 0.76999
job_seeker: Stamy; similarity_score: 0.76999
job_seeker: albur; similarity_score: 0.76999
job_seeker: pzz; similarity_score: 0.76237
job_seeker: spacial; similarity_score: 0.75489
job_seeker: dmichulke; similarity_score: 0.75489
job_seeker: thetwopct; similarity_score: 0.75489
job_seeker: coffee667; similarity_score: 0.74757
job_seeker: shabinesh; similarity_score: 0.74757
job_seeker: joshrael; similarity_score: 0.74756
job_seeker: ddxv; similarity_score: 0.74756
job_seeker: sharmanaetor; similarity_score: 0.74038
job_seeker: aivosha; similarity_score: 0.73332
job_seeker: sfythe; similarity_score: 0.72641
job_seeker: ashkang; similarity_score: 0.72640
job_seeker: Grue3; similarity_score: 0.72640
job_seeker: uladzislau; similarity_score: 0.71295
job_seeker: nogbit; similarity_score: 0.71295
job_seeker: krapp; similarity_score: 0.71295
job_seeker: rockoder; similarity_score: 0.70642
job_seeker: madarve; similarity_score: 0.70641
job_seeker: mickt; similarity_score: 0.70641
job_seeker: lukeqsee; similarity_score: 0.69999
job_seeker: siscia; similarity_score: 0.69999
job_seeker: 3zzy; similarity_score: 0.69369
job_seeker: gothy; similarity_score: 0.69368
job_seeker: rahulroy; similarity_score: 0.69368
job_seeker: dancole; similarity_score: 0.69368
job_seeker: gierach; similarity_score: 0.68140
job_seeker: jecjec; similarity_score: 0.68140
job_seeker: Widow; similarity_score: 0.67543
job_seeker: mateja; similarity_score: 0.67542
job_seeker: apsdehal; similarity_score: 0.66956
job_seeker: hiby007; similarity_score: 0.66955
job_seeker: zero-g; similarity_score: 0.66379
job_seeker: chrisbrueck; similarity_score: 0.66378
job_seeker: andrewmatte; similarity_score: 0.66378
job_seeker: yangchi; similarity_score: 0.65811
job_seeker: J_Darnley; similarity_score: 0.65254
job_seeker: dmaffett; similarity_score: 0.65253
job_seeker: jayrobin; similarity_score: 0.65253
job_seeker: mdturnerphys; similarity_score: 0.64705
job_seeker: zplesivcak; similarity_score: 0.64705
job_seeker: dsposito; similarity_score: 0.64166
job_seeker: BrofessorWolf; similarity_score: 0.63635
job_seeker: lordsheepy; similarity_score: 0.63635
job_seeker: brickmort; similarity_score: 0.63114
job_seeker: BenderV; similarity_score: 0.62601
job_seeker: arenaninja; similarity_score: 0.62096
job_seeker: keraj; similarity_score: 0.62096
job_seeker: asherdavidson; similarity_score: 0.61599
job_seeker: chroman; similarity_score: 0.61110
job_seeker: agilebyte; similarity_score: 0.61110
job_seeker: yen223; similarity_score: 0.60629
job_seeker: codez; similarity_score: 0.60156
job_seeker: qute; similarity_score: 0.60155
job_seeker: jayhuang; similarity_score: 0.58778
job_seeker: athesyn; similarity_score: 0.58778
job_seeker: eshaham; similarity_score: 0.58777
job_seeker: ankeshanand; similarity_score: 0.58333
job_seeker: neilk; similarity_score: 0.58332
job_seeker: synesso; similarity_score: 0.58332
job_seeker: AndroidJedi; similarity_score: 0.58332
job_seeker: Danieru; similarity_score: 0.57462
