hiring_manager: vseloved; similarity_score: 0.97589
hiring_manager: chad_strategic; similarity_score: 0.95293
hiring_manager: razvvan; similarity_score: 0.89999
hiring_manager: owainlewis; similarity_score: 0.89999
hiring_manager: redesignibm; similarity_score: 0.86169
hiring_manager: omarforgotpwd; similarity_score: 0.85262
hiring_manager: bnr; similarity_score: 0.83504
hiring_manager: ononoma; similarity_score: 0.81817
hiring_manager: andy; similarity_score: 0.81817
hiring_manager: lowglow; similarity_score: 0.80197
hiring_manager: yurisagalov; similarity_score: 0.78640
hiring_manager: CurtHagenlocher; similarity_score: 0.77142
hiring_manager: lgsilver; similarity_score: 0.74999
hiring_manager: hungryblank; similarity_score: 0.73635
hiring_manager: acudmore; similarity_score: 0.72321
hiring_manager: dblock; similarity_score: 0.72320
hiring_manager: merinid; similarity_score: 0.72320
hiring_manager: nicholaides; similarity_score: 0.72320
hiring_manager: mjhea0; similarity_score: 0.71052
hiring_manager: gshahlot; similarity_score: 0.70434
hiring_manager: tortillasauce; similarity_score: 0.70434
hiring_manager: meifamous; similarity_score: 0.70434
hiring_manager: robhunter; similarity_score: 0.69826
hiring_manager: mattculbreth; similarity_score: 0.69826
hiring_manager: thisjody; similarity_score: 0.69230
hiring_manager: jimmyrocks; similarity_score: 0.69229
hiring_manager: samg; similarity_score: 0.68643
hiring_manager: k1w1; similarity_score: 0.67499
hiring_manager: murtza; similarity_score: 0.66941
hiring_manager: brandnewlow; similarity_score: 0.66941
hiring_manager: thehar; similarity_score: 0.66393
hiring_manager: khaki54; similarity_score: 0.65853
hiring_manager: ehartsuyker; similarity_score: 0.65852
hiring_manager: jack7890; similarity_score: 0.65322
hiring_manager: jevans; similarity_score: 0.65322
hiring_manager: odiroot; similarity_score: 0.65322
hiring_manager: nerdz; similarity_score: 0.63779
hiring_manager: nathanh; similarity_score: 0.63779
hiring_manager: DustinCalim; similarity_score: 0.63281
hiring_manager: AndroidJedi; similarity_score: 0.63280
hiring_manager: jauntvr_amy; similarity_score: 0.62790
hiring_manager: macrosak; similarity_score: 0.62306
hiring_manager: tomblomfield; similarity_score: 0.62306
hiring_manager: 7parkdata; similarity_score: 0.62306
hiring_manager: mazerj; similarity_score: 0.61831
hiring_manager: gavanwilhite; similarity_score: 0.61831
hiring_manager: samingrassia; similarity_score: 0.61363
hiring_manager: ptlkitccat; similarity_score: 0.60446
hiring_manager: chrisdl; similarity_score: 0.59999
hiring_manager: pierreant_p; similarity_score: 0.59999
hiring_manager: mazzarello; similarity_score: 0.59999
hiring_manager: Tarang; similarity_score: 0.59558
hiring_manager: scanr; similarity_score: 0.59123
hiring_manager: martidumas; similarity_score: 0.58695
hiring_manager: vimeojobs; similarity_score: 0.58273
hiring_manager: qwerpoiuty; similarity_score: 0.58273
hiring_manager: kevinmchugh; similarity_score: 0.58272
hiring_manager: logotype; similarity_score: 0.57856
