job_seeker: hannes2000; similarity_score: 0.96185
job_seeker: FiddlerClamp; similarity_score: 0.95779
job_seeker: new_user_name; similarity_score: 0.95378
job_seeker: vdimarco; similarity_score: 0.95378
job_seeker: yowmamasita; similarity_score: 0.95377
job_seeker: ainiriand; similarity_score: 0.94978
job_seeker: torkable; similarity_score: 0.94978
job_seeker: quiqueqs; similarity_score: 0.94978
job_seeker: colsandurz; similarity_score: 0.94978
job_seeker: dsfreed; similarity_score: 0.94582
job_seeker: mishkovski; similarity_score: 0.94582
job_seeker: batjaa; similarity_score: 0.94190
job_seeker: Stamy; similarity_score: 0.94190
job_seeker: gkelly; similarity_score: 0.93801
job_seeker: phish; similarity_score: 0.93801
job_seeker: egorbatik; similarity_score: 0.93800
job_seeker: RamunasM; similarity_score: 0.93800
job_seeker: frontsideair; similarity_score: 0.93415
job_seeker: saigrandhi; similarity_score: 0.93415
job_seeker: sauravt; similarity_score: 0.93415
job_seeker: SerialMiller; similarity_score: 0.93415
job_seeker: Hobart116; similarity_score: 0.93415
job_seeker: webjac; similarity_score: 0.93414
job_seeker: jbza; similarity_score: 0.93414
job_seeker: jdbiggs; similarity_score: 0.93032
job_seeker: jivux; similarity_score: 0.93032
job_seeker: pluc; similarity_score: 0.93031
job_seeker: pknerd; similarity_score: 0.92652
job_seeker: jokoon; similarity_score: 0.92276
job_seeker: domedefelice; similarity_score: 0.92275
job_seeker: chad_strategic; similarity_score: 0.92275
job_seeker: agurha; similarity_score: 0.91902
job_seeker: sharmanaetor; similarity_score: 0.91902
job_seeker: hyunwoona; similarity_score: 0.91902
job_seeker: anujpasricha; similarity_score: 0.91164
job_seeker: speeder; similarity_score: 0.91164
job_seeker: harrychenca; similarity_score: 0.91164
job_seeker: greenjellybean; similarity_score: 0.91164
job_seeker: sfythe; similarity_score: 0.91163
job_seeker: yesyesnooo; similarity_score: 0.91163
job_seeker: v1ct0r; similarity_score: 0.90799
job_seeker: JoshuaDavid; similarity_score: 0.90799
job_seeker: Nullslash; similarity_score: 0.90079
job_seeker: rogerbinns; similarity_score: 0.89722
job_seeker: gothy; similarity_score: 0.89369
job_seeker: 3zzy; similarity_score: 0.89369
job_seeker: mariocesar; similarity_score: 0.89369
job_seeker: ucacian; similarity_score: 0.89369
job_seeker: srpoder; similarity_score: 0.89369
job_seeker: hiby007; similarity_score: 0.89019
job_seeker: ryanjanvier; similarity_score: 0.89019
job_seeker: ownagefool; similarity_score: 0.88671
job_seeker: asfarley; similarity_score: 0.88671
job_seeker: rahulroy; similarity_score: 0.88326
job_seeker: waiquoo; similarity_score: 0.88326
job_seeker: 2close4comfort; similarity_score: 0.87983
job_seeker: nicopace; similarity_score: 0.87983
job_seeker: 32faction; similarity_score: 0.87644
job_seeker: claudiordgz; similarity_score: 0.87644
job_seeker: ryaneager; similarity_score: 0.87307
job_seeker: baggachipz; similarity_score: 0.87306
job_seeker: jecjec; similarity_score: 0.86972
job_seeker: pablokbs; similarity_score: 0.86972
job_seeker: zachcowell; similarity_score: 0.86972
job_seeker: keane; similarity_score: 0.86972
job_seeker: codez; similarity_score: 0.86972
job_seeker: japesinator; similarity_score: 0.86972
