hiring_manager: papaonlegs; similarity_score: 0.98787
hiring_manager: siddarthd2919; similarity_score: 0.97603
hiring_manager: BillFranklin; similarity_score: 0.96448
hiring_manager: ljlolel; similarity_score: 0.95881
hiring_manager: emcienjobs; similarity_score: 0.92613
hiring_manager: frabcus; similarity_score: 0.91572
hiring_manager: rememberlenny; similarity_score: 0.91572
hiring_manager: toreriklinnerud; similarity_score: 0.91061
hiring_manager: untilHellbanned; similarity_score: 0.90555
hiring_manager: geverett; similarity_score: 0.90055
hiring_manager: manpageman; similarity_score: 0.90054
hiring_manager: g06; similarity_score: 0.90054
hiring_manager: reubendoetsch; similarity_score: 0.89559
hiring_manager: spot; similarity_score: 0.89070
hiring_manager: edent; similarity_score: 0.88586
hiring_manager: milewska; similarity_score: 0.88586
hiring_manager: lesleyann25; similarity_score: 0.88107
hiring_manager: pouloum78; similarity_score: 0.88107
hiring_manager: doxcf434; similarity_score: 0.87634
hiring_manager: yavery; similarity_score: 0.87634
hiring_manager: ericbogs; similarity_score: 0.87633
hiring_manager: roybarberuk; similarity_score: 0.86702
hiring_manager: darrennix; similarity_score: 0.86701
hiring_manager: feverishaaron; similarity_score: 0.84895
hiring_manager: k1w1; similarity_score: 0.84895
hiring_manager: amac; similarity_score: 0.83589
hiring_manager: edziubudzik; similarity_score: 0.83589
hiring_manager: burnout1540; similarity_score: 0.83162
hiring_manager: finnh; similarity_score: 0.83162
hiring_manager: imdane; similarity_score: 0.82322
hiring_manager: pwman; similarity_score: 0.81499
hiring_manager: kefeizhou; similarity_score: 0.81499
hiring_manager: frb; similarity_score: 0.81094
hiring_manager: jack7890; similarity_score: 0.80692
hiring_manager: lbo; similarity_score: 0.80692
hiring_manager: murtza; similarity_score: 0.80295
hiring_manager: 7parkdata; similarity_score: 0.79901
hiring_manager: marybheine; similarity_score: 0.79901
hiring_manager: american_hawk; similarity_score: 0.79901
hiring_manager: rfergie; similarity_score: 0.79901
hiring_manager: pohungc; similarity_score: 0.79901
hiring_manager: realdlee; similarity_score: 0.78743
hiring_manager: statictype; similarity_score: 0.78743
hiring_manager: damon_c; similarity_score: 0.78365
hiring_manager: DustinCalim; similarity_score: 0.78365
hiring_manager: yegg; similarity_score: 0.77990
hiring_manager: kiyoto; similarity_score: 0.77990
hiring_manager: chrisdl; similarity_score: 0.77618
hiring_manager: runcougar; similarity_score: 0.77618
hiring_manager: lsee; similarity_score: 0.76886
hiring_manager: mmelin; similarity_score: 0.76886
hiring_manager: jsaxton86; similarity_score: 0.76886
hiring_manager: annalewis7; similarity_score: 0.76886
hiring_manager: drpancake; similarity_score: 0.76886
hiring_manager: samingrassia; similarity_score: 0.76885
hiring_manager: andrewmb; similarity_score: 0.76525
hiring_manager: ivanzhao; similarity_score: 0.76525
hiring_manager: artursapek; similarity_score: 0.76168
hiring_manager: retrodict; similarity_score: 0.76167
hiring_manager: rrpadhy; similarity_score: 0.76167
hiring_manager: Equiet; similarity_score: 0.75813
hiring_manager: eric_romo; similarity_score: 0.75813
hiring_manager: paradox95; similarity_score: 0.75813
hiring_manager: carlatqueue; similarity_score: 0.75462
hiring_manager: encore2097; similarity_score: 0.75462
hiring_manager: brettz; similarity_score: 0.75462
hiring_manager: yonibaciu1; similarity_score: 0.75461
hiring_manager: JuliaLam; similarity_score: 0.75115
hiring_manager: kevinschumacher; similarity_score: 0.75115
hiring_manager: mattnguyen; similarity_score: 0.75114
hiring_manager: spooneybarger; similarity_score: 0.74769
hiring_manager: robg; similarity_score: 0.74429
hiring_manager: uwemaurer; similarity_score: 0.74429
hiring_manager: nschuett; similarity_score: 0.74090
hiring_manager: dbuxton; similarity_score: 0.74090
hiring_manager: wattenberger; similarity_score: 0.74090
hiring_manager: vaughnd; similarity_score: 0.73754
hiring_manager: morgante; similarity_score: 0.73754
hiring_manager: jszumski; similarity_score: 0.73422
hiring_manager: rasengan; similarity_score: 0.73093
hiring_manager: asanwal; similarity_score: 0.72767
hiring_manager: saucelabs; similarity_score: 0.72443
hiring_manager: austinhallock; similarity_score: 0.72123
hiring_manager: cjbarber; similarity_score: 0.72123
hiring_manager: dmritard96; similarity_score: 0.72123
hiring_manager: florianf; similarity_score: 0.72123
hiring_manager: vtuulos; similarity_score: 0.71805
hiring_manager: matlock; similarity_score: 0.71805
hiring_manager: rdeshpande; similarity_score: 0.71805
hiring_manager: fuelfive; similarity_score: 0.71491
hiring_manager: maramaemartin; similarity_score: 0.71490
hiring_manager: timanglade; similarity_score: 0.71178
hiring_manager: wdewind; similarity_score: 0.71178
hiring_manager: alphast0rm; similarity_score: 0.70562
hiring_manager: charliejrgower; similarity_score: 0.70562
hiring_manager: johnnyg; similarity_score: 0.70258
hiring_manager: FUSAR_rs; similarity_score: 0.70258
hiring_manager: cynusx; similarity_score: 0.69956
hiring_manager: myom; similarity_score: 0.69956
hiring_manager: alexk; similarity_score: 0.69658
hiring_manager: baran; similarity_score: 0.69658
hiring_manager: Renat; similarity_score: 0.69657
hiring_manager: Mynar; similarity_score: 0.69657
hiring_manager: edawerd; similarity_score: 0.69657
