hiring_manager: namelezz; similarity_score: 0.98529
hiring_manager: deepsearch; similarity_score: 0.98528
hiring_manager: bohnej; similarity_score: 0.97101
hiring_manager: papaonlegs; similarity_score: 0.97100
hiring_manager: zacharycohn; similarity_score: 0.95713
hiring_manager: siddarthd2919; similarity_score: 0.94365
hiring_manager: xasos; similarity_score: 0.94365
hiring_manager: bostonpete; similarity_score: 0.93055
hiring_manager: ogennadi; similarity_score: 0.93055
hiring_manager: BillFranklin; similarity_score: 0.93054
hiring_manager: fourier; similarity_score: 0.91780
hiring_manager: metaobject; similarity_score: 0.91780
hiring_manager: OpenDrapery; similarity_score: 0.91780
hiring_manager: neftaly; similarity_score: 0.91779
hiring_manager: nathanwdavis; similarity_score: 0.90540
hiring_manager: iandanforth; similarity_score: 0.90539
hiring_manager: joshcanhelp; similarity_score: 0.90539
hiring_manager: fractalsea; similarity_score: 0.89333
hiring_manager: Caleb_Smith; similarity_score: 0.89333
hiring_manager: plaban123; similarity_score: 0.89332
hiring_manager: grinich; similarity_score: 0.89332
hiring_manager: curiousDog; similarity_score: 0.89332
hiring_manager: ljlolel; similarity_score: 0.89332
hiring_manager: fapjacks; similarity_score: 0.88157
hiring_manager: sid6376; similarity_score: 0.88157
hiring_manager: fuckthepoor; similarity_score: 0.88157
hiring_manager: quinthar; similarity_score: 0.87012
hiring_manager: _gordee; similarity_score: 0.85897
hiring_manager: siscia; similarity_score: 0.85896
hiring_manager: hrehhf; similarity_score: 0.84810
hiring_manager: unclesaamm; similarity_score: 0.84809
hiring_manager: smikhanov; similarity_score: 0.84809
hiring_manager: HeyLaughingBoy; similarity_score: 0.84809
hiring_manager: khwang; similarity_score: 0.84809
hiring_manager: st8machine; similarity_score: 0.83749
hiring_manager: Cyranix; similarity_score: 0.83749
hiring_manager: vaughnd; similarity_score: 0.83749
hiring_manager: tobinharris; similarity_score: 0.82715
hiring_manager: kbar13; similarity_score: 0.82715
hiring_manager: rrpadhy; similarity_score: 0.82715
hiring_manager: emcienjobs; similarity_score: 0.81707
hiring_manager: jerematasno; similarity_score: 0.81706
hiring_manager: Blackthorn; similarity_score: 0.80722
hiring_manager: petrosagg; similarity_score: 0.80722
hiring_manager: chrisbennet; similarity_score: 0.80722
hiring_manager: zerr; similarity_score: 0.79761
hiring_manager: rememberlenny; similarity_score: 0.78822
hiring_manager: timanglade; similarity_score: 0.78822
hiring_manager: manpageman; similarity_score: 0.78822
hiring_manager: miles932; similarity_score: 0.78822
hiring_manager: geverett; similarity_score: 0.78822
hiring_manager: frabcus; similarity_score: 0.77906
hiring_manager: toreriklinnerud; similarity_score: 0.77010
hiring_manager: untilHellbanned; similarity_score: 0.76136
hiring_manager: g06; similarity_score: 0.75280
hiring_manager: milewska; similarity_score: 0.75280
hiring_manager: reubendoetsch; similarity_score: 0.74444
hiring_manager: edent; similarity_score: 0.74443
hiring_manager: lesleyann25; similarity_score: 0.74443
hiring_manager: greenjellybean; similarity_score: 0.73626
hiring_manager: doxcf434; similarity_score: 0.73625
hiring_manager: justhw; similarity_score: 0.72826
hiring_manager: cllns; similarity_score: 0.72826
hiring_manager: pouloum78; similarity_score: 0.72825
hiring_manager: spot; similarity_score: 0.72042
hiring_manager: beaverfox; similarity_score: 0.72042
hiring_manager: yavery; similarity_score: 0.71276
hiring_manager: dalys; similarity_score: 0.71276
hiring_manager: darrennix; similarity_score: 0.71275
hiring_manager: roybarberuk; similarity_score: 0.69791
