hiring_manager: vseloved; similarity_score: 0.91303
hiring_manager: chad_strategic; similarity_score: 0.83999
hiring_manager: owainlewis; similarity_score: 0.69999
hiring_manager: razvvan; similarity_score: 0.67741
hiring_manager: redesignibm; similarity_score: 0.58332
hiring_manager: omarforgotpwd; similarity_score: 0.58332
hiring_manager: bnr; similarity_score: 0.56756
hiring_manager: andy; similarity_score: 0.51219
hiring_manager: ononoma; similarity_score: 0.48837
hiring_manager: yurisagalov; similarity_score: 0.48836
hiring_manager: lowglow; similarity_score: 0.45651
hiring_manager: CurtHagenlocher; similarity_score: 0.44680
hiring_manager: hungryblank; similarity_score: 0.40383
hiring_manager: lgsilver; similarity_score: 0.39621
hiring_manager: dblock; similarity_score: 0.38888
hiring_manager: acudmore; similarity_score: 0.38181
hiring_manager: nicholaides; similarity_score: 0.38181
hiring_manager: gshahlot; similarity_score: 0.37499
hiring_manager: tortillasauce; similarity_score: 0.37499
hiring_manager: merinid; similarity_score: 0.37499
hiring_manager: mjhea0; similarity_score: 0.36206
hiring_manager: jimmyrocks; similarity_score: 0.35592
hiring_manager: robhunter; similarity_score: 0.34999
hiring_manager: mattculbreth; similarity_score: 0.34425
hiring_manager: meifamous; similarity_score: 0.34425
hiring_manager: k1w1; similarity_score: 0.33333
hiring_manager: odiroot; similarity_score: 0.33332
hiring_manager: thehar; similarity_score: 0.32812
hiring_manager: thisjody; similarity_score: 0.32811
hiring_manager: samg; similarity_score: 0.32811
hiring_manager: brandnewlow; similarity_score: 0.32306
hiring_manager: murtza; similarity_score: 0.31817
hiring_manager: jevans; similarity_score: 0.31342
hiring_manager: ehartsuyker; similarity_score: 0.31342
hiring_manager: nathanh; similarity_score: 0.30434
hiring_manager: khaki54; similarity_score: 0.30434
hiring_manager: jack7890; similarity_score: 0.30433
hiring_manager: DustinCalim; similarity_score: 0.29999
hiring_manager: tomblomfield; similarity_score: 0.29577
hiring_manager: nerdz; similarity_score: 0.28766
hiring_manager: jauntvr_amy; similarity_score: 0.28766
hiring_manager: macrosak; similarity_score: 0.28377
hiring_manager: 7parkdata; similarity_score: 0.27999
hiring_manager: gavanwilhite; similarity_score: 0.27999
hiring_manager: Tarang; similarity_score: 0.27272
hiring_manager: pierreant_p; similarity_score: 0.26922
hiring_manager: martidumas; similarity_score: 0.26922
hiring_manager: AndroidJedi; similarity_score: 0.26922
hiring_manager: mazerj; similarity_score: 0.26249
