job_seeker: FiddlerClamp; similarity_score: 0.95967
job_seeker: hannes2000; similarity_score: 0.95967
job_seeker: yowmamasita; similarity_score: 0.95199
job_seeker: colsandurz; similarity_score: 0.95199
job_seeker: quiqueqs; similarity_score: 0.95199
job_seeker: vdimarco; similarity_score: 0.95199
job_seeker: ainiriand; similarity_score: 0.95199
job_seeker: Stamy; similarity_score: 0.94820
job_seeker: new_user_name; similarity_score: 0.94820
job_seeker: mishkovski; similarity_score: 0.94819
job_seeker: torkable; similarity_score: 0.94819
job_seeker: RamunasM; similarity_score: 0.94443
job_seeker: SerialMiller; similarity_score: 0.94070
job_seeker: dsfreed; similarity_score: 0.94070
job_seeker: batjaa; similarity_score: 0.94070
job_seeker: sauravt; similarity_score: 0.93700
job_seeker: gkelly; similarity_score: 0.93700
job_seeker: Hobart116; similarity_score: 0.93700
job_seeker: egorbatik; similarity_score: 0.93700
job_seeker: wmil; similarity_score: 0.93700
job_seeker: saigrandhi; similarity_score: 0.93700
job_seeker: jokoon; similarity_score: 0.93333
job_seeker: phish; similarity_score: 0.93333
job_seeker: jivux; similarity_score: 0.93332
job_seeker: pluc; similarity_score: 0.93332
job_seeker: jdbiggs; similarity_score: 0.93332
job_seeker: jbza; similarity_score: 0.92968
job_seeker: agurha; similarity_score: 0.92968
job_seeker: hyunwoona; similarity_score: 0.92606
job_seeker: frontsideair; similarity_score: 0.92606
job_seeker: pknerd; similarity_score: 0.92606
job_seeker: sharmanaetor; similarity_score: 0.92247
job_seeker: domedefelice; similarity_score: 0.92247
job_seeker: JoshuaDavid; similarity_score: 0.91891
job_seeker: greenjellybean; similarity_score: 0.91891
job_seeker: yesyesnooo; similarity_score: 0.91891
job_seeker: webjac; similarity_score: 0.91891
job_seeker: speeder; similarity_score: 0.91538
job_seeker: anujpasricha; similarity_score: 0.91537
job_seeker: v1ct0r; similarity_score: 0.91187
job_seeker: sfythe; similarity_score: 0.91187
job_seeker: harrychenca; similarity_score: 0.91187
job_seeker: chad_strategic; similarity_score: 0.90838
job_seeker: ucacian; similarity_score: 0.90493
job_seeker: mariocesar; similarity_score: 0.90493
job_seeker: ownagefool; similarity_score: 0.90150
job_seeker: rahulroy; similarity_score: 0.90150
job_seeker: Nullslash; similarity_score: 0.89473
job_seeker: rogerbinns; similarity_score: 0.89473
job_seeker: asfarley; similarity_score: 0.89138
job_seeker: 3zzy; similarity_score: 0.89137
job_seeker: claudiordgz; similarity_score: 0.89137
job_seeker: waiquoo; similarity_score: 0.88805
job_seeker: ryaneager; similarity_score: 0.88805
job_seeker: srpoder; similarity_score: 0.88805
job_seeker: nubcakes; similarity_score: 0.88475
job_seeker: mateja; similarity_score: 0.88148
job_seeker: gothy; similarity_score: 0.88147
job_seeker: japesinator; similarity_score: 0.88147
job_seeker: zachcowell; similarity_score: 0.87822
job_seeker: TapanilaT; similarity_score: 0.87822
job_seeker: pablokbs; similarity_score: 0.87822
job_seeker: nicopace; similarity_score: 0.87822
job_seeker: baggachipz; similarity_score: 0.87822
job_seeker: ealeksandrov; similarity_score: 0.87822
job_seeker: 2close4comfort; similarity_score: 0.87822
job_seeker: Grue3; similarity_score: 0.87822
job_seeker: thomasfromcdnjs; similarity_score: 0.87822
job_seeker: hiby007; similarity_score: 0.87499
job_seeker: 32faction; similarity_score: 0.87499
job_seeker: ryanjanvier; similarity_score: 0.87499
job_seeker: lukasLansky; similarity_score: 0.87499
job_seeker: Achshar; similarity_score: 0.87179
job_seeker: codez; similarity_score: 0.87179
job_seeker: bruticus; similarity_score: 0.87179
job_seeker: philippnagel; similarity_score: 0.87178
job_seeker: 2bluesc; similarity_score: 0.87178
job_seeker: kidsil; similarity_score: 0.86545
job_seeker: beanmind; similarity_score: 0.86545
job_seeker: akama; similarity_score: 0.86545
job_seeker: toddrew; similarity_score: 0.86544
job_seeker: cswelin; similarity_score: 0.86544
job_seeker: cpursley; similarity_score: 0.86544
job_seeker: jecjec; similarity_score: 0.86544
job_seeker: apsdehal; similarity_score: 0.86231
job_seeker: Cyranix; similarity_score: 0.86231
