hiring_manager: deepsearch; similarity_score: 0.93749
hiring_manager: namelezz; similarity_score: 0.93749
hiring_manager: papaonlegs; similarity_score: 0.88234
hiring_manager: bohnej; similarity_score: 0.88234
hiring_manager: zacharycohn; similarity_score: 0.83332
hiring_manager: siddarthd2919; similarity_score: 0.74999
hiring_manager: bostonpete; similarity_score: 0.74999
hiring_manager: xasos; similarity_score: 0.74999
hiring_manager: BillFranklin; similarity_score: 0.71427
hiring_manager: ogennadi; similarity_score: 0.71427
hiring_manager: neftaly; similarity_score: 0.71427
hiring_manager: OpenDrapery; similarity_score: 0.68181
hiring_manager: joshcanhelp; similarity_score: 0.68181
hiring_manager: iandanforth; similarity_score: 0.68181
hiring_manager: metaobject; similarity_score: 0.68180
hiring_manager: ljlolel; similarity_score: 0.65217
hiring_manager: fourier; similarity_score: 0.65216
hiring_manager: plaban123; similarity_score: 0.62499
hiring_manager: grinich; similarity_score: 0.62499
hiring_manager: nathanwdavis; similarity_score: 0.62499
hiring_manager: fractalsea; similarity_score: 0.62499
hiring_manager: Caleb_Smith; similarity_score: 0.62499
hiring_manager: curiousDog; similarity_score: 0.59999
hiring_manager: sid6376; similarity_score: 0.57691
hiring_manager: hrehhf; similarity_score: 0.55555
hiring_manager: quinthar; similarity_score: 0.55555
hiring_manager: siscia; similarity_score: 0.55554
hiring_manager: fapjacks; similarity_score: 0.55554
hiring_manager: fuckthepoor; similarity_score: 0.55554
hiring_manager: khwang; similarity_score: 0.53571
hiring_manager: _gordee; similarity_score: 0.53570
hiring_manager: smikhanov; similarity_score: 0.53570
hiring_manager: unclesaamm; similarity_score: 0.53570
hiring_manager: HeyLaughingBoy; similarity_score: 0.49999
hiring_manager: tobinharris; similarity_score: 0.49999
hiring_manager: bkovacev; similarity_score: 0.49999
hiring_manager: st8machine; similarity_score: 0.49999
hiring_manager: emcienjobs; similarity_score: 0.49999
hiring_manager: vaughnd; similarity_score: 0.49999
hiring_manager: jerematasno; similarity_score: 0.48386
hiring_manager: rrpadhy; similarity_score: 0.48386
hiring_manager: Cyranix; similarity_score: 0.46874
hiring_manager: kbar13; similarity_score: 0.46874
hiring_manager: zerr; similarity_score: 0.45454
hiring_manager: petrosagg; similarity_score: 0.45454
hiring_manager: chrisbennet; similarity_score: 0.45454
hiring_manager: Blackthorn; similarity_score: 0.45453
hiring_manager: rememberlenny; similarity_score: 0.44117
hiring_manager: geverett; similarity_score: 0.44117
hiring_manager: timanglade; similarity_score: 0.42856
hiring_manager: miles932; similarity_score: 0.42856
hiring_manager: manpageman; similarity_score: 0.41666
hiring_manager: fnaticshank; similarity_score: 0.41665
hiring_manager: milewska; similarity_score: 0.38461
hiring_manager: frabcus; similarity_score: 0.38461
hiring_manager: toreriklinnerud; similarity_score: 0.38460
hiring_manager: lesleyann25; similarity_score: 0.37499
hiring_manager: doxcf434; similarity_score: 0.37499
hiring_manager: untilHellbanned; similarity_score: 0.37499
hiring_manager: g06; similarity_score: 0.36585
hiring_manager: reubendoetsch; similarity_score: 0.36584
hiring_manager: edent; similarity_score: 0.35713
hiring_manager: greenjellybean; similarity_score: 0.34883
hiring_manager: darrennix; similarity_score: 0.34882
hiring_manager: beaverfox; similarity_score: 0.34090
hiring_manager: spot; similarity_score: 0.34090
hiring_manager: justhw; similarity_score: 0.34090
hiring_manager: cllns; similarity_score: 0.34090
hiring_manager: pouloum78; similarity_score: 0.32608
hiring_manager: ericbogs; similarity_score: 0.31914
hiring_manager: dalys; similarity_score: 0.31914
hiring_manager: S4M; similarity_score: 0.31249
hiring_manager: roybarberuk; similarity_score: 0.31249
hiring_manager: yavery; similarity_score: 0.31249
hiring_manager: ninetax; similarity_score: 0.30612
hiring_manager: ugh123; similarity_score: 0.29999
hiring_manager: feverishaaron; similarity_score: 0.28301
hiring_manager: k1w1; similarity_score: 0.28300
hiring_manager: finnh; similarity_score: 0.27777
hiring_manager: burnout1540; similarity_score: 0.27272
hiring_manager: jorgecastillo; similarity_score: 0.26315
hiring_manager: amac; similarity_score: 0.26315
hiring_manager: biomimic; similarity_score: 0.25861
hiring_manager: samuelbrin; similarity_score: 0.25861
hiring_manager: pwman; similarity_score: 0.25423
hiring_manager: imdane; similarity_score: 0.25423
hiring_manager: edziubudzik; similarity_score: 0.24999
hiring_manager: murtza; similarity_score: 0.24999
hiring_manager: lbo; similarity_score: 0.24999
hiring_manager: pohungc; similarity_score: 0.24999
hiring_manager: kefeizhou; similarity_score: 0.24193
hiring_manager: jack7890; similarity_score: 0.23436
hiring_manager: marybheine; similarity_score: 0.22726
hiring_manager: ehberger; similarity_score: 0.22387
hiring_manager: frb; similarity_score: 0.22387
hiring_manager: 7parkdata; similarity_score: 0.22387
hiring_manager: 7Figures2Commas; similarity_score: 0.22058
hiring_manager: DustinCalim; similarity_score: 0.21738
hiring_manager: realdlee; similarity_score: 0.21427
hiring_manager: statictype; similarity_score: 0.21125
hiring_manager: rfergie; similarity_score: 0.20832
hiring_manager: annalewis7; similarity_score: 0.20832
hiring_manager: andrewmb; similarity_score: 0.20832
hiring_manager: lsee; similarity_score: 0.20269
hiring_manager: damon_c; similarity_score: 0.19999
hiring_manager: ivanzhao; similarity_score: 0.19999
hiring_manager: retrodict; similarity_score: 0.19736
hiring_manager: chrisdl; similarity_score: 0.19736
hiring_manager: yegg; similarity_score: 0.19736
hiring_manager: jsaxton86; similarity_score: 0.19736
hiring_manager: samingrassia; similarity_score: 0.19735
