job_seeker: EddyShure; similarity_score: 0.99319
job_seeker: trumbitta2; similarity_score: 0.99318
job_seeker: white0ut; similarity_score: 0.92993
job_seeker: papes; similarity_score: 0.92405
job_seeker: scool; similarity_score: 0.92404
job_seeker: HemantPawar; similarity_score: 0.91249
job_seeker: knoxzin1; similarity_score: 0.91249
job_seeker: david04; similarity_score: 0.90682
job_seeker: rayalez; similarity_score: 0.90682
job_seeker: it_learnses; similarity_score: 0.90122
job_seeker: sam_rad; similarity_score: 0.90122
job_seeker: phish; similarity_score: 0.89024
job_seeker: colsandurz; similarity_score: 0.89024
job_seeker: idlewan; similarity_score: 0.89024
job_seeker: developerbro; similarity_score: 0.89023
job_seeker: csommers; similarity_score: 0.88484
job_seeker: pknerd; similarity_score: 0.88484
job_seeker: enilsen16; similarity_score: 0.88484
job_seeker: asow92; similarity_score: 0.88483
job_seeker: pzz; similarity_score: 0.87951
job_seeker: cpursley; similarity_score: 0.87951
job_seeker: Stamy; similarity_score: 0.87951
job_seeker: notastartup; similarity_score: 0.87951
job_seeker: alexandregme; similarity_score: 0.87951
job_seeker: andrey_utkin; similarity_score: 0.87950
job_seeker: csbartus; similarity_score: 0.86904
job_seeker: sharmanaetor; similarity_score: 0.86903
job_seeker: albur; similarity_score: 0.86390
job_seeker: thetwopct; similarity_score: 0.86389
job_seeker: coffee667; similarity_score: 0.85882
job_seeker: spacial; similarity_score: 0.85881
job_seeker: dmichulke; similarity_score: 0.85881
job_seeker: sfythe; similarity_score: 0.85881
job_seeker: shabinesh; similarity_score: 0.85379
job_seeker: joshrael; similarity_score: 0.85379
job_seeker: ddxv; similarity_score: 0.84883
job_seeker: uladzislau; similarity_score: 0.84883
job_seeker: aivosha; similarity_score: 0.83908
job_seeker: ashkang; similarity_score: 0.83907
job_seeker: Grue3; similarity_score: 0.83907
job_seeker: lukeqsee; similarity_score: 0.83428
job_seeker: madarve; similarity_score: 0.82954
job_seeker: gothy; similarity_score: 0.82954
job_seeker: 3zzy; similarity_score: 0.82953
job_seeker: siscia; similarity_score: 0.82485
job_seeker: rockoder; similarity_score: 0.82485
job_seeker: krapp; similarity_score: 0.82485
job_seeker: dancole; similarity_score: 0.82484
job_seeker: nogbit; similarity_score: 0.82484
job_seeker: mateja; similarity_score: 0.82021
job_seeker: gierach; similarity_score: 0.81563
job_seeker: yangchi; similarity_score: 0.81563
job_seeker: zplesivcak; similarity_score: 0.81563
job_seeker: mickt; similarity_score: 0.81110
job_seeker: andrewmatte; similarity_score: 0.80662
job_seeker: Widow; similarity_score: 0.80662
job_seeker: zero-g; similarity_score: 0.80662
job_seeker: jecjec; similarity_score: 0.80662
job_seeker: hiby007; similarity_score: 0.80662
job_seeker: rahulroy; similarity_score: 0.80661
job_seeker: chrisbrueck; similarity_score: 0.80219
job_seeker: jayrobin; similarity_score: 0.80218
job_seeker: apsdehal; similarity_score: 0.80218
job_seeker: mdturnerphys; similarity_score: 0.79780
job_seeker: arenaninja; similarity_score: 0.79347
job_seeker: dsposito; similarity_score: 0.78918
job_seeker: BrofessorWolf; similarity_score: 0.78918
job_seeker: dmaffett; similarity_score: 0.78918
job_seeker: lordsheepy; similarity_score: 0.78494
job_seeker: asherdavidson; similarity_score: 0.78074
job_seeker: J_Darnley; similarity_score: 0.77659
job_seeker: keraj; similarity_score: 0.77659
job_seeker: chroman; similarity_score: 0.77248
job_seeker: yen223; similarity_score: 0.76841
job_seeker: BenderV; similarity_score: 0.76439
job_seeker: brickmort; similarity_score: 0.76041
job_seeker: athesyn; similarity_score: 0.76041
job_seeker: agilebyte; similarity_score: 0.76041
job_seeker: jayhuang; similarity_score: 0.75647
job_seeker: qute; similarity_score: 0.75647
job_seeker: nirajd; similarity_score: 0.75257
job_seeker: codez; similarity_score: 0.75256
job_seeker: Danieru; similarity_score: 0.75256
job_seeker: eshaham; similarity_score: 0.74871
job_seeker: neilk; similarity_score: 0.74870
job_seeker: nialo; similarity_score: 0.74489
job_seeker: AndroidJedi; similarity_score: 0.74488
job_seeker: prmobiledev; similarity_score: 0.73736
job_seeker: stevesunderland; similarity_score: 0.73736
job_seeker: ankeshanand; similarity_score: 0.73736
job_seeker: WasimBhai; similarity_score: 0.73366
job_seeker: synesso; similarity_score: 0.73366
job_seeker: Blackthorn; similarity_score: 0.72999
job_seeker: howard941; similarity_score: 0.72276
job_seeker: domador; similarity_score: 0.71568
job_seeker: fabulist; similarity_score: 0.71568
job_seeker: avyfain; similarity_score: 0.71218
job_seeker: mailshanx; similarity_score: 0.70873
job_seeker: davisr; similarity_score: 0.70531
job_seeker: chrispecoraro; similarity_score: 0.70530
job_seeker: erszcz; similarity_score: 0.70530
job_seeker: hasbelkader; similarity_score: 0.70530
job_seeker: osenar; similarity_score: 0.70191
job_seeker: jorgeisraelp; similarity_score: 0.69856
job_seeker: emilis_info; similarity_score: 0.69855
job_seeker: sidmitra; similarity_score: 0.69193
job_seeker: Daves; similarity_score: 0.69193
job_seeker: Hario; similarity_score: 0.69193
job_seeker: jj57347; similarity_score: 0.69193
job_seeker: lygi; similarity_score: 0.68867
job_seeker: daleco; similarity_score: 0.68543
job_seeker: ameen; similarity_score: 0.68543
job_seeker: jrm2k6; similarity_score: 0.67592
job_seeker: tylermac1; similarity_score: 0.67591
job_seeker: kristallizer1; similarity_score: 0.66972
job_seeker: tarwatirno; similarity_score: 0.66666
job_seeker: randallsquared; similarity_score: 0.66363
job_seeker: hiddentao; similarity_score: 0.66062
job_seeker: rabc; similarity_score: 0.65178
job_seeker: giancarlostoro; similarity_score: 0.65177
job_seeker: hugovie; similarity_score: 0.64601
job_seeker: 147; similarity_score: 0.63755
job_seeker: abathur; similarity_score: 0.63754
job_seeker: edgyswingset; similarity_score: 0.62127
job_seeker: seekinghire14; similarity_score: 0.61343
job_seeker: hireme01; similarity_score: 0.60579
job_seeker: seansmccullough; similarity_score: 0.58870
job_seeker: rhexs; similarity_score: 0.58399
job_seeker: vdaniuk; similarity_score: 0.58166
job_seeker: wyclif; similarity_score: 0.56588
job_seeker: th1agofm; similarity_score: 0.55302
job_seeker: jbcrail; similarity_score: 0.53873
job_seeker: addisonj; similarity_score: 0.53675
job_seeker: dmunoz; similarity_score: 0.52142
job_seeker: laughfactory; similarity_score: 0.50694
job_seeker: doorty; similarity_score: 0.50170
job_seeker: thegrif; similarity_score: 0.49829
job_seeker: astangl; similarity_score: 0.48666
job_seeker: pookieinc; similarity_score: 0.46495
