job_seeker: EddyShure; similarity_score: 0.98749
job_seeker: trumbitta2; similarity_score: 0.98749
job_seeker: white0ut; similarity_score: 0.87777
job_seeker: papes; similarity_score: 0.86812
job_seeker: scool; similarity_score: 0.85869
job_seeker: HemantPawar; similarity_score: 0.84946
job_seeker: knoxzin1; similarity_score: 0.84041
job_seeker: david04; similarity_score: 0.83157
job_seeker: rayalez; similarity_score: 0.83157
job_seeker: it_learnses; similarity_score: 0.83157
job_seeker: colsandurz; similarity_score: 0.83156
job_seeker: developerbro; similarity_score: 0.82291
job_seeker: sam_rad; similarity_score: 0.82291
job_seeker: phish; similarity_score: 0.81443
job_seeker: idlewan; similarity_score: 0.81442
job_seeker: enilsen16; similarity_score: 0.80611
job_seeker: cpursley; similarity_score: 0.80611
job_seeker: asow92; similarity_score: 0.79797
job_seeker: csommers; similarity_score: 0.79797
job_seeker: notastartup; similarity_score: 0.79797
job_seeker: andrey_utkin; similarity_score: 0.79797
job_seeker: pknerd; similarity_score: 0.78999
job_seeker: pzz; similarity_score: 0.78217
job_seeker: csbartus; similarity_score: 0.78217
job_seeker: Stamy; similarity_score: 0.77450
job_seeker: alexandregme; similarity_score: 0.77450
job_seeker: spacial; similarity_score: 0.76698
job_seeker: albur; similarity_score: 0.75961
job_seeker: ddxv; similarity_score: 0.75237
job_seeker: shabinesh; similarity_score: 0.75237
job_seeker: joshrael; similarity_score: 0.75237
job_seeker: dmichulke; similarity_score: 0.75237
job_seeker: coffee667; similarity_score: 0.75237
job_seeker: thetwopct; similarity_score: 0.74528
job_seeker: sfythe; similarity_score: 0.74527
job_seeker: sharmanaetor; similarity_score: 0.73831
job_seeker: aivosha; similarity_score: 0.73831
job_seeker: uladzislau; similarity_score: 0.73831
job_seeker: Grue3; similarity_score: 0.73147
job_seeker: ashkang; similarity_score: 0.73147
job_seeker: krapp; similarity_score: 0.72476
job_seeker: lukeqsee; similarity_score: 0.72476
job_seeker: mickt; similarity_score: 0.71817
job_seeker: nogbit; similarity_score: 0.71171
job_seeker: rockoder; similarity_score: 0.71171
job_seeker: 3zzy; similarity_score: 0.70535
job_seeker: dancole; similarity_score: 0.70535
job_seeker: siscia; similarity_score: 0.69911
job_seeker: gothy; similarity_score: 0.69297
job_seeker: rahulroy; similarity_score: 0.69297
job_seeker: madarve; similarity_score: 0.69297
job_seeker: zplesivcak; similarity_score: 0.69297
job_seeker: jecjec; similarity_score: 0.68695
job_seeker: zero-g; similarity_score: 0.68694
job_seeker: mateja; similarity_score: 0.68694
job_seeker: Widow; similarity_score: 0.68103
job_seeker: gierach; similarity_score: 0.68103
job_seeker: hiby007; similarity_score: 0.68103
job_seeker: apsdehal; similarity_score: 0.68102
job_seeker: dmaffett; similarity_score: 0.67521
job_seeker: chrisbrueck; similarity_score: 0.67521
job_seeker: andrewmatte; similarity_score: 0.67520
job_seeker: jayrobin; similarity_score: 0.66386
job_seeker: mdturnerphys; similarity_score: 0.66386
job_seeker: lordsheepy; similarity_score: 0.65288
