hiring_manager: vseloved; similarity_score: 0.96225
hiring_manager: chad_strategic; similarity_score: 0.92727
hiring_manager: razvvan; similarity_score: 0.86440
hiring_manager: owainlewis; similarity_score: 0.84999
hiring_manager: omarforgotpwd; similarity_score: 0.78460
hiring_manager: redesignibm; similarity_score: 0.78460
hiring_manager: bnr; similarity_score: 0.77271
hiring_manager: andy; similarity_score: 0.73912
hiring_manager: ononoma; similarity_score: 0.72857
hiring_manager: yurisagalov; similarity_score: 0.71830
hiring_manager: lowglow; similarity_score: 0.69862
hiring_manager: CurtHagenlocher; similarity_score: 0.67105
hiring_manager: lgsilver; similarity_score: 0.63749
hiring_manager: merinid; similarity_score: 0.62962
hiring_manager: hungryblank; similarity_score: 0.61444
hiring_manager: tortillasauce; similarity_score: 0.61444
hiring_manager: dblock; similarity_score: 0.61444
hiring_manager: nicholaides; similarity_score: 0.60713
hiring_manager: gshahlot; similarity_score: 0.59999
hiring_manager: mjhea0; similarity_score: 0.59999
hiring_manager: acudmore; similarity_score: 0.59999
hiring_manager: jimmyrocks; similarity_score: 0.59302
hiring_manager: mattculbreth; similarity_score: 0.59302
hiring_manager: meifamous; similarity_score: 0.59301
hiring_manager: robhunter; similarity_score: 0.58619
hiring_manager: brandnewlow; similarity_score: 0.56043
hiring_manager: samg; similarity_score: 0.56043
hiring_manager: thehar; similarity_score: 0.55434
hiring_manager: thisjody; similarity_score: 0.55434
hiring_manager: k1w1; similarity_score: 0.55434
hiring_manager: khaki54; similarity_score: 0.54254
hiring_manager: odiroot; similarity_score: 0.54254
hiring_manager: ehartsuyker; similarity_score: 0.53683
hiring_manager: murtza; similarity_score: 0.53683
hiring_manager: jack7890; similarity_score: 0.53683
hiring_manager: jevans; similarity_score: 0.53683
hiring_manager: tomblomfield; similarity_score: 0.52577
hiring_manager: nathanh; similarity_score: 0.52576
hiring_manager: jauntvr_amy; similarity_score: 0.51514
hiring_manager: nerdz; similarity_score: 0.51514
hiring_manager: 7parkdata; similarity_score: 0.50494
hiring_manager: DustinCalim; similarity_score: 0.50494
hiring_manager: gavanwilhite; similarity_score: 0.49999
hiring_manager: macrosak; similarity_score: 0.49999
hiring_manager: AndroidJedi; similarity_score: 0.49037
hiring_manager: chrisdl; similarity_score: 0.48571
hiring_manager: pierreant_p; similarity_score: 0.48570
hiring_manager: Tarang; similarity_score: 0.48112
hiring_manager: mazerj; similarity_score: 0.48112
hiring_manager: mazzarello; similarity_score: 0.48112
hiring_manager: ptlkitccat; similarity_score: 0.47663
hiring_manager: martidumas; similarity_score: 0.47663
hiring_manager: samingrassia; similarity_score: 0.47662
hiring_manager: scanr; similarity_score: 0.47221
hiring_manager: kevinmchugh; similarity_score: 0.46788
hiring_manager: vimeojobs; similarity_score: 0.46363
hiring_manager: qwerpoiuty; similarity_score: 0.46362
hiring_manager: logotype; similarity_score: 0.45945
hiring_manager: yegg; similarity_score: 0.45945
hiring_manager: peawee; similarity_score: 0.45132
hiring_manager: martinlanden; similarity_score: 0.45132
hiring_manager: frb; similarity_score: 0.44736
hiring_manager: lamplightr; similarity_score: 0.44347
hiring_manager: westi; similarity_score: 0.44346
hiring_manager: QTtech; similarity_score: 0.44346
hiring_manager: workmarket; similarity_score: 0.43964
hiring_manager: margiexu; similarity_score: 0.43964
hiring_manager: hazzadous; similarity_score: 0.43589
hiring_manager: nahidalam; similarity_score: 0.43589
hiring_manager: scidev; similarity_score: 0.43220
hiring_manager: robertpohl; similarity_score: 0.43220
hiring_manager: arthurgibson; similarity_score: 0.43220
hiring_manager: feverishaaron; similarity_score: 0.43219
hiring_manager: jconnolly; similarity_score: 0.43219
hiring_manager: lennies; similarity_score: 0.43219
hiring_manager: kenrose; similarity_score: 0.42856
hiring_manager: jscalisi; similarity_score: 0.42499
hiring_manager: a5huynh; similarity_score: 0.42499
hiring_manager: andrewlin; similarity_score: 0.42499
hiring_manager: kiyoto; similarity_score: 0.42499
hiring_manager: ryan_f; similarity_score: 0.42499
hiring_manager: morgante; similarity_score: 0.42499
hiring_manager: saucelabs; similarity_score: 0.42499
hiring_manager: demac; similarity_score: 0.42148
hiring_manager: austinhallock; similarity_score: 0.42148
hiring_manager: johnballjibe; similarity_score: 0.42147
hiring_manager: pzearfoss; similarity_score: 0.42147
hiring_manager: cpenner461; similarity_score: 0.41802
hiring_manager: Rodi; similarity_score: 0.41462
hiring_manager: allbombs; similarity_score: 0.41462
hiring_manager: joekur; similarity_score: 0.41128
hiring_manager: drc37; similarity_score: 0.40475
hiring_manager: joe_fro; similarity_score: 0.40475
hiring_manager: ben-deskpro; similarity_score: 0.40157
hiring_manager: pkrein; similarity_score: 0.40157
hiring_manager: transitorykris; similarity_score: 0.39843
hiring_manager: USNetizen; similarity_score: 0.39843
hiring_manager: jasoncartwright; similarity_score: 0.39534
hiring_manager: adamalix; similarity_score: 0.39534
hiring_manager: wittedhaddock; similarity_score: 0.39534
hiring_manager: dmritard96; similarity_score: 0.39230
hiring_manager: salar; similarity_score: 0.38930
