job_seeker: hannes2000; similarity_score: 0.94652
job_seeker: colsandurz; similarity_score: 0.94652
job_seeker: vdimarco; similarity_score: 0.94148
job_seeker: FiddlerClamp; similarity_score: 0.94148
job_seeker: quiqueqs; similarity_score: 0.93650
job_seeker: ainiriand; similarity_score: 0.93650
job_seeker: yowmamasita; similarity_score: 0.93649
job_seeker: mishkovski; similarity_score: 0.93157
job_seeker: torkable; similarity_score: 0.93157
job_seeker: new_user_name; similarity_score: 0.93157
job_seeker: RamunasM; similarity_score: 0.92669
job_seeker: gkelly; similarity_score: 0.92187
job_seeker: dsfreed; similarity_score: 0.92187
job_seeker: Hobart116; similarity_score: 0.92186
job_seeker: Stamy; similarity_score: 0.92186
job_seeker: batjaa; similarity_score: 0.91709
job_seeker: SerialMiller; similarity_score: 0.91709
job_seeker: wmil; similarity_score: 0.91709
job_seeker: sauravt; similarity_score: 0.91709
job_seeker: jdbiggs; similarity_score: 0.91708
job_seeker: pluc; similarity_score: 0.91708
job_seeker: jivux; similarity_score: 0.91236
job_seeker: saigrandhi; similarity_score: 0.91236
job_seeker: egorbatik; similarity_score: 0.91236
job_seeker: jbza; similarity_score: 0.91236
job_seeker: frontsideair; similarity_score: 0.90768
job_seeker: pknerd; similarity_score: 0.90768
job_seeker: phish; similarity_score: 0.90305
job_seeker: jokoon; similarity_score: 0.90305
job_seeker: hyunwoona; similarity_score: 0.90305
job_seeker: domedefelice; similarity_score: 0.89847
job_seeker: greenjellybean; similarity_score: 0.89847
job_seeker: agurha; similarity_score: 0.89847
job_seeker: anujpasricha; similarity_score: 0.89847
job_seeker: sharmanaetor; similarity_score: 0.89393
job_seeker: speeder; similarity_score: 0.89393
job_seeker: JoshuaDavid; similarity_score: 0.88944
job_seeker: yesyesnooo; similarity_score: 0.88944
job_seeker: chad_strategic; similarity_score: 0.88059
job_seeker: harrychenca; similarity_score: 0.88058
job_seeker: webjac; similarity_score: 0.88058
job_seeker: v1ct0r; similarity_score: 0.87623
job_seeker: sfythe; similarity_score: 0.87622
job_seeker: Nullslash; similarity_score: 0.87191
job_seeker: ucacian; similarity_score: 0.86764
job_seeker: srpoder; similarity_score: 0.86341
job_seeker: claudiordgz; similarity_score: 0.86341
job_seeker: ownagefool; similarity_score: 0.85921
job_seeker: rogerbinns; similarity_score: 0.85921
job_seeker: mariocesar; similarity_score: 0.85921
job_seeker: gothy; similarity_score: 0.85506
job_seeker: Grue3; similarity_score: 0.85506
job_seeker: ryanjanvier; similarity_score: 0.85506
job_seeker: asfarley; similarity_score: 0.85095
job_seeker: ryaneager; similarity_score: 0.85095
job_seeker: waiquoo; similarity_score: 0.85095
job_seeker: nicopace; similarity_score: 0.84688
job_seeker: 32faction; similarity_score: 0.84688
job_seeker: baggachipz; similarity_score: 0.84688
job_seeker: 3zzy; similarity_score: 0.84688
job_seeker: nubcakes; similarity_score: 0.84285
job_seeker: japesinator; similarity_score: 0.84284
job_seeker: pablokbs; similarity_score: 0.84284
job_seeker: rahulroy; similarity_score: 0.83886
job_seeker: 2close4comfort; similarity_score: 0.83886
job_seeker: toddrew; similarity_score: 0.83886
job_seeker: mateja; similarity_score: 0.83886
job_seeker: Achshar; similarity_score: 0.83885
job_seeker: beanmind; similarity_score: 0.83885
job_seeker: zachcowell; similarity_score: 0.83885
job_seeker: philippnagel; similarity_score: 0.83490
job_seeker: cpursley; similarity_score: 0.83490
job_seeker: kidsil; similarity_score: 0.83489
job_seeker: hiby007; similarity_score: 0.82710
job_seeker: akama; similarity_score: 0.82709
job_seeker: TapanilaT; similarity_score: 0.82325
job_seeker: apsdehal; similarity_score: 0.82325
job_seeker: thomasfromcdnjs; similarity_score: 0.82324
job_seeker: fvinci; similarity_score: 0.81944
job_seeker: 2bluesc; similarity_score: 0.81944
job_seeker: codez; similarity_score: 0.81943
job_seeker: Cyranix; similarity_score: 0.81943
job_seeker: jan0e; similarity_score: 0.81943
job_seeker: bruticus; similarity_score: 0.81566
job_seeker: cday; similarity_score: 0.81566
job_seeker: lukasLansky; similarity_score: 0.81566
job_seeker: keane; similarity_score: 0.81566
job_seeker: asethwright; similarity_score: 0.81192
job_seeker: yen223; similarity_score: 0.81192
job_seeker: Daves; similarity_score: 0.81192
job_seeker: jecjec; similarity_score: 0.81192
job_seeker: gsamm; similarity_score: 0.81192
job_seeker: darsi; similarity_score: 0.81192
job_seeker: nt_tdc; similarity_score: 0.81192
job_seeker: dyadic; similarity_score: 0.81191
job_seeker: J_Darnley; similarity_score: 0.80821
job_seeker: BenderV; similarity_score: 0.80821
job_seeker: bluerobotcat; similarity_score: 0.80821
job_seeker: cswelin; similarity_score: 0.80454
job_seeker: sfteus; similarity_score: 0.80454
job_seeker: hayolie; similarity_score: 0.80453
job_seeker: ddebernardy; similarity_score: 0.80453
job_seeker: csorrell; similarity_score: 0.80090
job_seeker: ealeksandrov; similarity_score: 0.80090
job_seeker: paulojreis; similarity_score: 0.80090
job_seeker: keraj; similarity_score: 0.80089
job_seeker: mtdavis; similarity_score: 0.79729
job_seeker: emillon; similarity_score: 0.79728
job_seeker: yzzxy; similarity_score: 0.79372
job_seeker: gmoneynj2000; similarity_score: 0.78318
job_seeker: jw989; similarity_score: 0.78318
job_seeker: tomaskazemekas; similarity_score: 0.77630
job_seeker: schneidmaster; similarity_score: 0.76956
job_seeker: zwetan; similarity_score: 0.76956
job_seeker: sdernley; similarity_score: 0.76956
job_seeker: Jarlakxen; similarity_score: 0.76623
job_seeker: iN7h33nD; similarity_score: 0.76622
job_seeker: bcoates; similarity_score: 0.76292
job_seeker: 67726e; similarity_score: 0.76292
job_seeker: hereonbusiness; similarity_score: 0.76292
job_seeker: navait; similarity_score: 0.76292
job_seeker: domador; similarity_score: 0.75965
job_seeker: kparaju; similarity_score: 0.75964
job_seeker: Akkuma; similarity_score: 0.75640
job_seeker: avyfain; similarity_score: 0.75318
job_seeker: sidmitra; similarity_score: 0.74999
job_seeker: TheDom; similarity_score: 0.74683
job_seeker: btbuildem; similarity_score: 0.74369
job_seeker: kirpekar; similarity_score: 0.73749
job_seeker: chrispecoraro; similarity_score: 0.73749
job_seeker: RickS; similarity_score: 0.73443
job_seeker: majodev; similarity_score: 0.72838
job_seeker: yoav; similarity_score: 0.72540
job_seeker: siscia; similarity_score: 0.72540
job_seeker: mike-cardwell; similarity_score: 0.72244
job_seeker: joyofdata; similarity_score: 0.71950
job_seeker: acharnou; similarity_score: 0.71370
job_seeker: jrm2k6; similarity_score: 0.71370
job_seeker: valarauca1; similarity_score: 0.71370
job_seeker: richardhoward; similarity_score: 0.71083
job_seeker: AlexNeoNomad; similarity_score: 0.71083
job_seeker: eximius; similarity_score: 0.70517
job_seeker: osenar; similarity_score: 0.70517
job_seeker: HamboneWilson; similarity_score: 0.70237
job_seeker: throwaway83; similarity_score: 0.70237
job_seeker: howard941; similarity_score: 0.69684
job_seeker: madprops; similarity_score: 0.69410
job_seeker: jamesbrewer; similarity_score: 0.68871
job_seeker: ryankevans; similarity_score: 0.66541
job_seeker: saiko-chriskun; similarity_score: 0.66540
job_seeker: orteipid; similarity_score: 0.64129
job_seeker: Hario; similarity_score: 0.63668
job_seeker: lechuckcaptain; similarity_score: 0.62543
job_seeker: wyclif; similarity_score: 0.59999
job_seeker: KTamasEnty; similarity_score: 0.58803
job_seeker: tehwalrus; similarity_score: 0.56549
job_seeker: frazer; similarity_score: 0.55312
