job_seeker: hannes2000; similarity_score: 0.92536
job_seeker: FiddlerClamp; similarity_score: 0.92536
job_seeker: torkable; similarity_score: 0.91176
job_seeker: vdimarco; similarity_score: 0.91176
job_seeker: ainiriand; similarity_score: 0.91175
job_seeker: quiqueqs; similarity_score: 0.91175
job_seeker: colsandurz; similarity_score: 0.91175
job_seeker: new_user_name; similarity_score: 0.90510
job_seeker: yowmamasita; similarity_score: 0.90510
job_seeker: mishkovski; similarity_score: 0.90510
job_seeker: Stamy; similarity_score: 0.90510
job_seeker: RamunasM; similarity_score: 0.89854
job_seeker: wmil; similarity_score: 0.89208
job_seeker: dsfreed; similarity_score: 0.89207
job_seeker: Hobart116; similarity_score: 0.88571
job_seeker: phish; similarity_score: 0.88571
job_seeker: SerialMiller; similarity_score: 0.88571
job_seeker: egorbatik; similarity_score: 0.88570
job_seeker: batjaa; similarity_score: 0.88570
job_seeker: sauravt; similarity_score: 0.87942
job_seeker: jbza; similarity_score: 0.87942
job_seeker: saigrandhi; similarity_score: 0.87942
job_seeker: jdbiggs; similarity_score: 0.87942
job_seeker: gkelly; similarity_score: 0.87942
job_seeker: pluc; similarity_score: 0.87942
job_seeker: jivux; similarity_score: 0.87323
job_seeker: pknerd; similarity_score: 0.87323
job_seeker: agurha; similarity_score: 0.87323
job_seeker: jokoon; similarity_score: 0.86712
job_seeker: frontsideair; similarity_score: 0.86712
job_seeker: hyunwoona; similarity_score: 0.86110
job_seeker: greenjellybean; similarity_score: 0.85517
job_seeker: domedefelice; similarity_score: 0.85516
job_seeker: sharmanaetor; similarity_score: 0.84931
job_seeker: speeder; similarity_score: 0.84931
job_seeker: anujpasricha; similarity_score: 0.84930
job_seeker: webjac; similarity_score: 0.84353
job_seeker: yesyesnooo; similarity_score: 0.84353
job_seeker: harrychenca; similarity_score: 0.83783
job_seeker: ucacian; similarity_score: 0.83783
job_seeker: JoshuaDavid; similarity_score: 0.83783
job_seeker: chad_strategic; similarity_score: 0.83782
job_seeker: sfythe; similarity_score: 0.83221
job_seeker: v1ct0r; similarity_score: 0.83221
job_seeker: Nullslash; similarity_score: 0.82119
job_seeker: rogerbinns; similarity_score: 0.81578
job_seeker: waiquoo; similarity_score: 0.81578
job_seeker: asfarley; similarity_score: 0.81578
job_seeker: ryaneager; similarity_score: 0.81045
job_seeker: srpoder; similarity_score: 0.81045
job_seeker: ownagefool; similarity_score: 0.81044
job_seeker: claudiordgz; similarity_score: 0.80519
job_seeker: baggachipz; similarity_score: 0.80519
job_seeker: mariocesar; similarity_score: 0.80518
job_seeker: 3zzy; similarity_score: 0.80518
job_seeker: ryanjanvier; similarity_score: 0.79999
job_seeker: nicopace; similarity_score: 0.79487
job_seeker: Grue3; similarity_score: 0.79486
job_seeker: pablokbs; similarity_score: 0.79486
job_seeker: zachcowell; similarity_score: 0.78980
job_seeker: gothy; similarity_score: 0.78980
job_seeker: Achshar; similarity_score: 0.78979
job_seeker: rahulroy; similarity_score: 0.78480
job_seeker: nubcakes; similarity_score: 0.78480
