hiring_manager: vseloved; similarity_score: 0.97674
hiring_manager: chad_strategic; similarity_score: 0.96551
hiring_manager: razvvan; similarity_score: 0.92306
hiring_manager: owainlewis; similarity_score: 0.91303
hiring_manager: bnr; similarity_score: 0.86597
hiring_manager: omarforgotpwd; similarity_score: 0.86597
hiring_manager: redesignibm; similarity_score: 0.85713
hiring_manager: andy; similarity_score: 0.84848
hiring_manager: ononoma; similarity_score: 0.81553
hiring_manager: yurisagalov; similarity_score: 0.81552
hiring_manager: lowglow; similarity_score: 0.80769
hiring_manager: CurtHagenlocher; similarity_score: 0.78503
hiring_manager: lgsilver; similarity_score: 0.77777
hiring_manager: merinid; similarity_score: 0.75675
hiring_manager: hungryblank; similarity_score: 0.75675
hiring_manager: dblock; similarity_score: 0.74999
hiring_manager: tortillasauce; similarity_score: 0.74999
hiring_manager: gshahlot; similarity_score: 0.73684
hiring_manager: mjhea0; similarity_score: 0.73683
hiring_manager: meifamous; similarity_score: 0.73683
hiring_manager: jimmyrocks; similarity_score: 0.73043
hiring_manager: mattculbreth; similarity_score: 0.73042
hiring_manager: nicholaides; similarity_score: 0.72413
hiring_manager: robhunter; similarity_score: 0.71186
hiring_manager: odiroot; similarity_score: 0.71186
hiring_manager: acudmore; similarity_score: 0.71185
hiring_manager: thisjody; similarity_score: 0.70587
hiring_manager: k1w1; similarity_score: 0.69999
hiring_manager: samg; similarity_score: 0.69421
hiring_manager: thehar; similarity_score: 0.69420
hiring_manager: ehartsuyker; similarity_score: 0.69420
hiring_manager: khaki54; similarity_score: 0.69420
hiring_manager: jack7890; similarity_score: 0.68851
hiring_manager: jevans; similarity_score: 0.68292
hiring_manager: brandnewlow; similarity_score: 0.67199
hiring_manager: nerdz; similarity_score: 0.66666
hiring_manager: murtza; similarity_score: 0.66666
hiring_manager: DustinCalim; similarity_score: 0.66666
hiring_manager: tomblomfield; similarity_score: 0.65624
hiring_manager: nathanh; similarity_score: 0.65624
hiring_manager: jauntvr_amy; similarity_score: 0.65624
hiring_manager: 7parkdata; similarity_score: 0.65624
hiring_manager: gavanwilhite; similarity_score: 0.64614
