job_seeker: hannes2000; similarity_score: 0.95347
job_seeker: new_user_name; similarity_score: 0.94906
job_seeker: vdimarco; similarity_score: 0.94906
job_seeker: FiddlerClamp; similarity_score: 0.94906
job_seeker: quiqueqs; similarity_score: 0.94470
job_seeker: torkable; similarity_score: 0.94469
job_seeker: colsandurz; similarity_score: 0.94469
job_seeker: ainiriand; similarity_score: 0.94469
job_seeker: yowmamasita; similarity_score: 0.94469
job_seeker: mishkovski; similarity_score: 0.94036
job_seeker: saigrandhi; similarity_score: 0.93607
job_seeker: dsfreed; similarity_score: 0.93606
job_seeker: phish; similarity_score: 0.93181
job_seeker: wmil; similarity_score: 0.93181
job_seeker: RamunasM; similarity_score: 0.93181
job_seeker: Hobart116; similarity_score: 0.93181
job_seeker: Stamy; similarity_score: 0.93180
job_seeker: gkelly; similarity_score: 0.93180
job_seeker: SerialMiller; similarity_score: 0.92760
job_seeker: egorbatik; similarity_score: 0.92759
job_seeker: batjaa; similarity_score: 0.92759
job_seeker: pluc; similarity_score: 0.92342
job_seeker: sauravt; similarity_score: 0.92341
job_seeker: jivux; similarity_score: 0.91928
job_seeker: jbza; similarity_score: 0.91928
job_seeker: webjac; similarity_score: 0.91927
job_seeker: domedefelice; similarity_score: 0.91927
job_seeker: speeder; similarity_score: 0.91517
job_seeker: pknerd; similarity_score: 0.91517
job_seeker: frontsideair; similarity_score: 0.91517
job_seeker: jdbiggs; similarity_score: 0.91517
job_seeker: agurha; similarity_score: 0.91110
job_seeker: hyunwoona; similarity_score: 0.91110
job_seeker: greenjellybean; similarity_score: 0.91110
job_seeker: jokoon; similarity_score: 0.91110
job_seeker: harrychenca; similarity_score: 0.90707
job_seeker: anujpasricha; similarity_score: 0.90707
job_seeker: yesyesnooo; similarity_score: 0.90707
job_seeker: JoshuaDavid; similarity_score: 0.90308
job_seeker: chad_strategic; similarity_score: 0.90308
job_seeker: sharmanaetor; similarity_score: 0.90307
job_seeker: v1ct0r; similarity_score: 0.89912
job_seeker: ucacian; similarity_score: 0.89519
job_seeker: sfythe; similarity_score: 0.89519
job_seeker: rogerbinns; similarity_score: 0.88744
job_seeker: asfarley; similarity_score: 0.88361
job_seeker: Nullslash; similarity_score: 0.88361
job_seeker: 3zzy; similarity_score: 0.87982
job_seeker: mariocesar; similarity_score: 0.87982
job_seeker: ownagefool; similarity_score: 0.87982
job_seeker: srpoder; similarity_score: 0.87982
job_seeker: ryanjanvier; similarity_score: 0.87606
job_seeker: rahulroy; similarity_score: 0.87606
job_seeker: claudiordgz; similarity_score: 0.87606
job_seeker: japesinator; similarity_score: 0.87233
job_seeker: Grue3; similarity_score: 0.87233
job_seeker: waiquoo; similarity_score: 0.87233
job_seeker: ryaneager; similarity_score: 0.86864
job_seeker: 32faction; similarity_score: 0.86863
job_seeker: gothy; similarity_score: 0.86863
