job_seeker: hannes2000; similarity_score: 0.88042
job_seeker: FiddlerClamp; similarity_score: 0.87095
job_seeker: colsandurz; similarity_score: 0.86170
job_seeker: yowmamasita; similarity_score: 0.86169
job_seeker: quiqueqs; similarity_score: 0.86169
job_seeker: ainiriand; similarity_score: 0.86169
job_seeker: mishkovski; similarity_score: 0.85263
job_seeker: vdimarco; similarity_score: 0.85263
job_seeker: new_user_name; similarity_score: 0.85262
job_seeker: torkable; similarity_score: 0.85262
job_seeker: dsfreed; similarity_score: 0.83505
job_seeker: Stamy; similarity_score: 0.83504
job_seeker: RamunasM; similarity_score: 0.83504
job_seeker: saigrandhi; similarity_score: 0.82653
job_seeker: wmil; similarity_score: 0.82652
job_seeker: sauravt; similarity_score: 0.82652
job_seeker: batjaa; similarity_score: 0.82652
job_seeker: Hobart116; similarity_score: 0.81818
job_seeker: pluc; similarity_score: 0.81817
job_seeker: SerialMiller; similarity_score: 0.81817
job_seeker: egorbatik; similarity_score: 0.81817
job_seeker: phish; similarity_score: 0.80999
job_seeker: jivux; similarity_score: 0.80999
job_seeker: gkelly; similarity_score: 0.80197
job_seeker: pknerd; similarity_score: 0.79411
job_seeker: jdbiggs; similarity_score: 0.79411
job_seeker: jbza; similarity_score: 0.79411
job_seeker: jokoon; similarity_score: 0.79410
job_seeker: hyunwoona; similarity_score: 0.78640
job_seeker: agurha; similarity_score: 0.78640
job_seeker: frontsideair; similarity_score: 0.78640
job_seeker: domedefelice; similarity_score: 0.77884
job_seeker: speeder; similarity_score: 0.77142
job_seeker: anujpasricha; similarity_score: 0.77142
job_seeker: sharmanaetor; similarity_score: 0.77142
job_seeker: yesyesnooo; similarity_score: 0.77142
job_seeker: webjac; similarity_score: 0.75700
job_seeker: greenjellybean; similarity_score: 0.75700
job_seeker: chad_strategic; similarity_score: 0.75700
job_seeker: harrychenca; similarity_score: 0.75700
job_seeker: sfythe; similarity_score: 0.74999
job_seeker: JoshuaDavid; similarity_score: 0.74311
job_seeker: v1ct0r; similarity_score: 0.73636
job_seeker: ryanjanvier; similarity_score: 0.72972
job_seeker: Nullslash; similarity_score: 0.72972
job_seeker: mariocesar; similarity_score: 0.72321
job_seeker: ucacian; similarity_score: 0.72321
job_seeker: srpoder; similarity_score: 0.72321
job_seeker: asfarley; similarity_score: 0.72320
job_seeker: waiquoo; similarity_score: 0.71680
job_seeker: rogerbinns; similarity_score: 0.71680
job_seeker: gothy; similarity_score: 0.70434
job_seeker: claudiordgz; similarity_score: 0.70433
job_seeker: ownagefool; similarity_score: 0.69827
job_seeker: nicopace; similarity_score: 0.69826
job_seeker: 3zzy; similarity_score: 0.69230
job_seeker: japesinator; similarity_score: 0.69229
job_seeker: baggachipz; similarity_score: 0.68643
job_seeker: ryaneager; similarity_score: 0.68643
job_seeker: nubcakes; similarity_score: 0.68067
job_seeker: 2bluesc; similarity_score: 0.68067
job_seeker: Grue3; similarity_score: 0.68066
job_seeker: hiby007; similarity_score: 0.68066
job_seeker: 32faction; similarity_score: 0.68066
job_seeker: pablokbs; similarity_score: 0.67499
job_seeker: Achshar; similarity_score: 0.67499
job_seeker: mateja; similarity_score: 0.67499
job_seeker: zachcowell; similarity_score: 0.66942
job_seeker: Cyranix; similarity_score: 0.66941
job_seeker: philippnagel; similarity_score: 0.66941
job_seeker: rahulroy; similarity_score: 0.66941
job_seeker: thomasfromcdnjs; similarity_score: 0.66393
job_seeker: cpursley; similarity_score: 0.66392
job_seeker: jecjec; similarity_score: 0.66392
job_seeker: 2close4comfort; similarity_score: 0.66392
job_seeker: darsi; similarity_score: 0.66392
job_seeker: keane; similarity_score: 0.65853
job_seeker: codez; similarity_score: 0.65852
job_seeker: kidsil; similarity_score: 0.65322
job_seeker: bruticus; similarity_score: 0.65322
job_seeker: apsdehal; similarity_score: 0.65321
job_seeker: asethwright; similarity_score: 0.64799
job_seeker: TapanilaT; similarity_score: 0.64799
job_seeker: toddrew; similarity_score: 0.64799
job_seeker: beanmind; similarity_score: 0.64285
job_seeker: cswelin; similarity_score: 0.63779
job_seeker: Daves; similarity_score: 0.63778
job_seeker: fvinci; similarity_score: 0.63281
job_seeker: J_Darnley; similarity_score: 0.63280
job_seeker: ddebernardy; similarity_score: 0.62790
job_seeker: cday; similarity_score: 0.62790
job_seeker: jan0e; similarity_score: 0.62790
job_seeker: ealeksandrov; similarity_score: 0.62307
job_seeker: lukasLansky; similarity_score: 0.62307
job_seeker: csorrell; similarity_score: 0.62307
job_seeker: nt_tdc; similarity_score: 0.62306
job_seeker: hayolie; similarity_score: 0.61832
job_seeker: keraj; similarity_score: 0.61831
job_seeker: gsamm; similarity_score: 0.61831
job_seeker: BenderV; similarity_score: 0.61831
job_seeker: akama; similarity_score: 0.61831
job_seeker: yen223; similarity_score: 0.61831
job_seeker: sfteus; similarity_score: 0.60902
job_seeker: paulojreis; similarity_score: 0.60447
job_seeker: yzzxy; similarity_score: 0.60447
job_seeker: bluerobotcat; similarity_score: 0.59999
job_seeker: emillon; similarity_score: 0.59558
job_seeker: dyadic; similarity_score: 0.59558
job_seeker: mtdavis; similarity_score: 0.59558
job_seeker: tomaskazemekas; similarity_score: 0.59123
