job_seeker: hannes2000; similarity_score: 0.83332
job_seeker: FiddlerClamp; similarity_score: 0.81966
job_seeker: torkable; similarity_score: 0.80645
job_seeker: colsandurz; similarity_score: 0.80644
job_seeker: quiqueqs; similarity_score: 0.80644
job_seeker: yowmamasita; similarity_score: 0.80644
job_seeker: ainiriand; similarity_score: 0.80644
job_seeker: vdimarco; similarity_score: 0.79364
job_seeker: mishkovski; similarity_score: 0.79364
job_seeker: new_user_name; similarity_score: 0.79364
job_seeker: RamunasM; similarity_score: 0.76922
job_seeker: dsfreed; similarity_score: 0.76922
job_seeker: Stamy; similarity_score: 0.76922
job_seeker: wmil; similarity_score: 0.75757
job_seeker: Hobart116; similarity_score: 0.75757
job_seeker: batjaa; similarity_score: 0.75756
job_seeker: SerialMiller; similarity_score: 0.75756
job_seeker: sauravt; similarity_score: 0.74626
job_seeker: egorbatik; similarity_score: 0.74626
job_seeker: pluc; similarity_score: 0.74626
job_seeker: gkelly; similarity_score: 0.73529
job_seeker: saigrandhi; similarity_score: 0.73529
job_seeker: phish; similarity_score: 0.72463
job_seeker: jbza; similarity_score: 0.72463
job_seeker: jdbiggs; similarity_score: 0.72463
job_seeker: jivux; similarity_score: 0.72463
job_seeker: jokoon; similarity_score: 0.71427
job_seeker: pknerd; similarity_score: 0.71427
job_seeker: agurha; similarity_score: 0.70422
job_seeker: frontsideair; similarity_score: 0.70422
job_seeker: hyunwoona; similarity_score: 0.70422
job_seeker: yesyesnooo; similarity_score: 0.69443
job_seeker: sharmanaetor; similarity_score: 0.69443
job_seeker: domedefelice; similarity_score: 0.69443
job_seeker: anujpasricha; similarity_score: 0.69443
job_seeker: greenjellybean; similarity_score: 0.68492
job_seeker: speeder; similarity_score: 0.66666
job_seeker: chad_strategic; similarity_score: 0.66665
job_seeker: JoshuaDavid; similarity_score: 0.65789
job_seeker: webjac; similarity_score: 0.65789
job_seeker: v1ct0r; similarity_score: 0.65788
job_seeker: harrychenca; similarity_score: 0.65788
job_seeker: rogerbinns; similarity_score: 0.64101
job_seeker: sfythe; similarity_score: 0.64101
job_seeker: Nullslash; similarity_score: 0.63290
job_seeker: asfarley; similarity_score: 0.62499
job_seeker: srpoder; similarity_score: 0.62499
job_seeker: mariocesar; similarity_score: 0.61727
job_seeker: waiquoo; similarity_score: 0.61727
job_seeker: ownagefool; similarity_score: 0.60974
job_seeker: ucacian; similarity_score: 0.60974
job_seeker: claudiordgz; similarity_score: 0.60240
job_seeker: nicopace; similarity_score: 0.59523
job_seeker: 3zzy; similarity_score: 0.59523
job_seeker: japesinator; similarity_score: 0.59523
job_seeker: ryanjanvier; similarity_score: 0.59522
job_seeker: mateja; similarity_score: 0.58823
job_seeker: 32faction; similarity_score: 0.58823
job_seeker: baggachipz; similarity_score: 0.58823
job_seeker: Grue3; similarity_score: 0.58139
job_seeker: gothy; similarity_score: 0.58139
job_seeker: 2bluesc; similarity_score: 0.57471
job_seeker: nubcakes; similarity_score: 0.57470
