hiring_manager: namelezz; similarity_score: 0.95651
hiring_manager: deepsearch; similarity_score: 0.95651
hiring_manager: bohnej; similarity_score: 0.91666
hiring_manager: papaonlegs; similarity_score: 0.91666
hiring_manager: zacharycohn; similarity_score: 0.87999
hiring_manager: xasos; similarity_score: 0.81481
hiring_manager: bostonpete; similarity_score: 0.81480
hiring_manager: siddarthd2919; similarity_score: 0.81480
hiring_manager: neftaly; similarity_score: 0.78571
hiring_manager: ogennadi; similarity_score: 0.78570
hiring_manager: BillFranklin; similarity_score: 0.78570
hiring_manager: iandanforth; similarity_score: 0.75861
hiring_manager: OpenDrapery; similarity_score: 0.75861
hiring_manager: metaobject; similarity_score: 0.75861
hiring_manager: joshcanhelp; similarity_score: 0.75861
hiring_manager: ljlolel; similarity_score: 0.73333
hiring_manager: fourier; similarity_score: 0.73332
hiring_manager: plaban123; similarity_score: 0.70967
hiring_manager: fractalsea; similarity_score: 0.70967
hiring_manager: curiousDog; similarity_score: 0.70967
hiring_manager: Caleb_Smith; similarity_score: 0.70966
hiring_manager: nathanwdavis; similarity_score: 0.70966
hiring_manager: grinich; similarity_score: 0.70966
hiring_manager: sid6376; similarity_score: 0.66666
hiring_manager: quinthar; similarity_score: 0.64705
hiring_manager: fuckthepoor; similarity_score: 0.64705
hiring_manager: unclesaamm; similarity_score: 0.64705
hiring_manager: hrehhf; similarity_score: 0.64705
hiring_manager: siscia; similarity_score: 0.64705
hiring_manager: fapjacks; similarity_score: 0.64704
hiring_manager: smikhanov; similarity_score: 0.62856
hiring_manager: khwang; similarity_score: 0.62856
hiring_manager: _gordee; similarity_score: 0.62856
hiring_manager: HeyLaughingBoy; similarity_score: 0.61110
hiring_manager: tobinharris; similarity_score: 0.59459
hiring_manager: vaughnd; similarity_score: 0.59459
hiring_manager: bkovacev; similarity_score: 0.59459
hiring_manager: emcienjobs; similarity_score: 0.59458
hiring_manager: st8machine; similarity_score: 0.59458
hiring_manager: rrpadhy; similarity_score: 0.57894
hiring_manager: kbar13; similarity_score: 0.57894
hiring_manager: jerematasno; similarity_score: 0.57893
hiring_manager: Cyranix; similarity_score: 0.56409
hiring_manager: Blackthorn; similarity_score: 0.54999
hiring_manager: petrosagg; similarity_score: 0.54999
hiring_manager: chrisbennet; similarity_score: 0.54999
hiring_manager: zerr; similarity_score: 0.54999
hiring_manager: rememberlenny; similarity_score: 0.53658
hiring_manager: geverett; similarity_score: 0.53657
hiring_manager: miles932; similarity_score: 0.52380
hiring_manager: manpageman; similarity_score: 0.52380
hiring_manager: timanglade; similarity_score: 0.52380
hiring_manager: toreriklinnerud; similarity_score: 0.49999
hiring_manager: fnaticshank; similarity_score: 0.49999
hiring_manager: frabcus; similarity_score: 0.48888
hiring_manager: milewska; similarity_score: 0.47825
hiring_manager: lesleyann25; similarity_score: 0.47825
hiring_manager: reubendoetsch; similarity_score: 0.46808
hiring_manager: untilHellbanned; similarity_score: 0.46808
hiring_manager: g06; similarity_score: 0.46807
hiring_manager: doxcf434; similarity_score: 0.46807
hiring_manager: greenjellybean; similarity_score: 0.44897
hiring_manager: edent; similarity_score: 0.44897
hiring_manager: spot; similarity_score: 0.43999
hiring_manager: justhw; similarity_score: 0.43999
hiring_manager: cllns; similarity_score: 0.43999
hiring_manager: darrennix; similarity_score: 0.43999
hiring_manager: beaverfox; similarity_score: 0.43136
hiring_manager: pouloum78; similarity_score: 0.42307
hiring_manager: ericbogs; similarity_score: 0.41509
hiring_manager: dalys; similarity_score: 0.40740
hiring_manager: roybarberuk; similarity_score: 0.39999
hiring_manager: yavery; similarity_score: 0.39999
hiring_manager: ninetax; similarity_score: 0.39999
hiring_manager: S4M; similarity_score: 0.39999
hiring_manager: ugh123; similarity_score: 0.38596
hiring_manager: feverishaaron; similarity_score: 0.37287
hiring_manager: k1w1; similarity_score: 0.36666
hiring_manager: finnh; similarity_score: 0.36065
hiring_manager: burnout1540; similarity_score: 0.35483
hiring_manager: biomimic; similarity_score: 0.34920
hiring_manager: jorgecastillo; similarity_score: 0.34374
hiring_manager: amac; similarity_score: 0.34374
hiring_manager: samuelbrin; similarity_score: 0.33845
hiring_manager: imdane; similarity_score: 0.33845
hiring_manager: pwman; similarity_score: 0.33332
hiring_manager: edziubudzik; similarity_score: 0.33332
hiring_manager: lbo; similarity_score: 0.33332
hiring_manager: murtza; similarity_score: 0.33332
