hiring_manager: papaonlegs; similarity_score: 0.97848
hiring_manager: siddarthd2919; similarity_score: 0.95788
hiring_manager: BillFranklin; similarity_score: 0.94790
hiring_manager: ljlolel; similarity_score: 0.92856
hiring_manager: emcienjobs; similarity_score: 0.86666
hiring_manager: toreriklinnerud; similarity_score: 0.85046
hiring_manager: rememberlenny; similarity_score: 0.84258
hiring_manager: manpageman; similarity_score: 0.83485
hiring_manager: geverett; similarity_score: 0.83485
hiring_manager: untilHellbanned; similarity_score: 0.82727
hiring_manager: frabcus; similarity_score: 0.82726
hiring_manager: g06; similarity_score: 0.82726
hiring_manager: reubendoetsch; similarity_score: 0.81981
hiring_manager: edent; similarity_score: 0.81249
hiring_manager: milewska; similarity_score: 0.81249
hiring_manager: lesleyann25; similarity_score: 0.81249
hiring_manager: yavery; similarity_score: 0.80530
hiring_manager: pouloum78; similarity_score: 0.80530
hiring_manager: doxcf434; similarity_score: 0.80530
hiring_manager: roybarberuk; similarity_score: 0.79823
hiring_manager: spot; similarity_score: 0.79130
hiring_manager: darrennix; similarity_score: 0.77777
hiring_manager: ericbogs; similarity_score: 0.77117
hiring_manager: feverishaaron; similarity_score: 0.76470
hiring_manager: finnh; similarity_score: 0.73386
hiring_manager: k1w1; similarity_score: 0.73386
hiring_manager: burnout1540; similarity_score: 0.73386
hiring_manager: amac; similarity_score: 0.72799
hiring_manager: edziubudzik; similarity_score: 0.72222
hiring_manager: lbo; similarity_score: 0.72221
hiring_manager: imdane; similarity_score: 0.71653
hiring_manager: pwman; similarity_score: 0.70542
hiring_manager: frb; similarity_score: 0.69465
hiring_manager: pohungc; similarity_score: 0.69464
hiring_manager: jack7890; similarity_score: 0.69464
hiring_manager: murtza; similarity_score: 0.68938
hiring_manager: kefeizhou; similarity_score: 0.68420
hiring_manager: marybheine; similarity_score: 0.68420
hiring_manager: realdlee; similarity_score: 0.67909
hiring_manager: DustinCalim; similarity_score: 0.67407
hiring_manager: american_hawk; similarity_score: 0.67406
hiring_manager: statictype; similarity_score: 0.66422
hiring_manager: kevinschumacher; similarity_score: 0.66422
hiring_manager: 7parkdata; similarity_score: 0.66422
hiring_manager: runcougar; similarity_score: 0.65941
hiring_manager: annalewis7; similarity_score: 0.65941
hiring_manager: rfergie; similarity_score: 0.65467
hiring_manager: lsee; similarity_score: 0.64999
hiring_manager: jsaxton86; similarity_score: 0.64999
hiring_manager: samingrassia; similarity_score: 0.64538
hiring_manager: retrodict; similarity_score: 0.64538
hiring_manager: carlatqueue; similarity_score: 0.64538
hiring_manager: andrewmb; similarity_score: 0.64538
hiring_manager: ivanzhao; similarity_score: 0.64538
hiring_manager: chrisdl; similarity_score: 0.64083
hiring_manager: kiyoto; similarity_score: 0.64083
hiring_manager: damon_c; similarity_score: 0.64083
hiring_manager: drpancake; similarity_score: 0.63636
hiring_manager: uwemaurer; similarity_score: 0.63635
hiring_manager: Equiet; similarity_score: 0.63194
hiring_manager: brettz; similarity_score: 0.63193
hiring_manager: eric_romo; similarity_score: 0.63193
hiring_manager: yegg; similarity_score: 0.63193
hiring_manager: rrpadhy; similarity_score: 0.62757
hiring_manager: spooneybarger; similarity_score: 0.61903
hiring_manager: paradox95; similarity_score: 0.61486
hiring_manager: mmelin; similarity_score: 0.61485
hiring_manager: wattenberger; similarity_score: 0.61485
hiring_manager: artursapek; similarity_score: 0.61073
hiring_manager: mattnguyen; similarity_score: 0.61073
hiring_manager: vaughnd; similarity_score: 0.60666
hiring_manager: JuliaLam; similarity_score: 0.60665
hiring_manager: jszumski; similarity_score: 0.60665
hiring_manager: dbuxton; similarity_score: 0.60264
hiring_manager: robg; similarity_score: 0.59867
hiring_manager: encore2097; similarity_score: 0.59867
hiring_manager: nschuett; similarity_score: 0.59476
hiring_manager: morgante; similarity_score: 0.59476
hiring_manager: saucelabs; similarity_score: 0.59090
hiring_manager: matlock; similarity_score: 0.59090
hiring_manager: austinhallock; similarity_score: 0.58709
hiring_manager: dmritard96; similarity_score: 0.58709
hiring_manager: johnnyg; similarity_score: 0.58332
hiring_manager: florianf; similarity_score: 0.58332
hiring_manager: timanglade; similarity_score: 0.57961
hiring_manager: fuelfive; similarity_score: 0.57961
hiring_manager: rasengan; similarity_score: 0.57961
hiring_manager: vtuulos; similarity_score: 0.57961
hiring_manager: asanwal; similarity_score: 0.57594
hiring_manager: maramaemartin; similarity_score: 0.57232
hiring_manager: cjbarber; similarity_score: 0.57232
hiring_manager: cynusx; similarity_score: 0.56521
hiring_manager: alphast0rm; similarity_score: 0.56520
hiring_manager: wdewind; similarity_score: 0.56172
hiring_manager: FUSAR_rs; similarity_score: 0.56172
hiring_manager: davidw; similarity_score: 0.55828
hiring_manager: charliejrgower; similarity_score: 0.55828
hiring_manager: ben336; similarity_score: 0.55827
hiring_manager: kdavari; similarity_score: 0.55487
hiring_manager: espinchi; similarity_score: 0.55487
hiring_manager: Renat; similarity_score: 0.55486
hiring_manager: Mynar; similarity_score: 0.55151
hiring_manager: dangoldin; similarity_score: 0.55150
hiring_manager: myom; similarity_score: 0.55150
hiring_manager: peter_mcrae; similarity_score: 0.54818
hiring_manager: rdeshpande; similarity_score: 0.54818
hiring_manager: baran; similarity_score: 0.54818
hiring_manager: jjnvdm; similarity_score: 0.54490
hiring_manager: Symbol; similarity_score: 0.54490
hiring_manager: kamalesh_v; similarity_score: 0.54166
hiring_manager: edawerd; similarity_score: 0.54166
hiring_manager: alexk; similarity_score: 0.53845
hiring_manager: geori; similarity_score: 0.53529
hiring_manager: JayNeely; similarity_score: 0.53528
