job_seeker: vdimarco; similarity_score: 0.96254
job_seeker: hannes2000; similarity_score: 0.96253
job_seeker: FiddlerClamp; similarity_score: 0.96253
job_seeker: yowmamasita; similarity_score: 0.95895
job_seeker: colsandurz; similarity_score: 0.95894
job_seeker: ainiriand; similarity_score: 0.95538
job_seeker: torkable; similarity_score: 0.95538
job_seeker: new_user_name; similarity_score: 0.95538
job_seeker: quiqueqs; similarity_score: 0.95538
job_seeker: gkelly; similarity_score: 0.95184
job_seeker: mishkovski; similarity_score: 0.95184
job_seeker: jdbiggs; similarity_score: 0.94833
job_seeker: wmil; similarity_score: 0.94833
job_seeker: egorbatik; similarity_score: 0.94833
job_seeker: RamunasM; similarity_score: 0.94832
job_seeker: dsfreed; similarity_score: 0.94832
job_seeker: pluc; similarity_score: 0.94484
job_seeker: saigrandhi; similarity_score: 0.94484
job_seeker: Stamy; similarity_score: 0.94484
job_seeker: Hobart116; similarity_score: 0.94484
job_seeker: SerialMiller; similarity_score: 0.94139
job_seeker: domedefelice; similarity_score: 0.94139
job_seeker: frontsideair; similarity_score: 0.94138
job_seeker: batjaa; similarity_score: 0.94138
job_seeker: phish; similarity_score: 0.94138
job_seeker: sauravt; similarity_score: 0.93795
job_seeker: jivux; similarity_score: 0.93794
job_seeker: jokoon; similarity_score: 0.93794
job_seeker: jbza; similarity_score: 0.93794
job_seeker: hyunwoona; similarity_score: 0.93794
job_seeker: pknerd; similarity_score: 0.93115
job_seeker: speeder; similarity_score: 0.93115
job_seeker: greenjellybean; similarity_score: 0.93115
job_seeker: agurha; similarity_score: 0.92779
job_seeker: sharmanaetor; similarity_score: 0.92445
job_seeker: anujpasricha; similarity_score: 0.92445
job_seeker: chad_strategic; similarity_score: 0.92114
job_seeker: JoshuaDavid; similarity_score: 0.92114
job_seeker: yesyesnooo; similarity_score: 0.92114
job_seeker: ucacian; similarity_score: 0.91785
job_seeker: v1ct0r; similarity_score: 0.91785
job_seeker: webjac; similarity_score: 0.91785
job_seeker: harrychenca; similarity_score: 0.91785
job_seeker: sfythe; similarity_score: 0.91134
job_seeker: ryaneager; similarity_score: 0.91134
job_seeker: asfarley; similarity_score: 0.90812
job_seeker: ownagefool; similarity_score: 0.90812
job_seeker: Nullslash; similarity_score: 0.90812
job_seeker: japesinator; similarity_score: 0.90492
job_seeker: rogerbinns; similarity_score: 0.90492
job_seeker: waiquoo; similarity_score: 0.90492
job_seeker: srpoder; similarity_score: 0.90175
job_seeker: Grue3; similarity_score: 0.90174
job_seeker: claudiordgz; similarity_score: 0.90174
job_seeker: mariocesar; similarity_score: 0.90174
