job_seeker: EddyShure; similarity_score: 0.97825
job_seeker: trumbitta2; similarity_score: 0.97825
job_seeker: white0ut; similarity_score: 0.80356
job_seeker: papes; similarity_score: 0.78947
job_seeker: david04; similarity_score: 0.76271
job_seeker: HemantPawar; similarity_score: 0.76270
job_seeker: scool; similarity_score: 0.76270
job_seeker: knoxzin1; similarity_score: 0.74999
job_seeker: rayalez; similarity_score: 0.73770
job_seeker: colsandurz; similarity_score: 0.72580
job_seeker: sam_rad; similarity_score: 0.72580
job_seeker: it_learnses; similarity_score: 0.72579
job_seeker: idlewan; similarity_score: 0.71428
job_seeker: developerbro; similarity_score: 0.71427
job_seeker: enilsen16; similarity_score: 0.70311
job_seeker: asow92; similarity_score: 0.69230
job_seeker: pknerd; similarity_score: 0.69230
job_seeker: andrey_utkin; similarity_score: 0.69230
job_seeker: csommers; similarity_score: 0.69230
job_seeker: phish; similarity_score: 0.68181
job_seeker: notastartup; similarity_score: 0.68181
job_seeker: cpursley; similarity_score: 0.68181
job_seeker: csbartus; similarity_score: 0.66176
job_seeker: pzz; similarity_score: 0.66176
job_seeker: alexandregme; similarity_score: 0.66175
job_seeker: Stamy; similarity_score: 0.66175
job_seeker: coffee667; similarity_score: 0.64284
job_seeker: albur; similarity_score: 0.63380
job_seeker: joshrael; similarity_score: 0.63380
job_seeker: spacial; similarity_score: 0.63380
job_seeker: shabinesh; similarity_score: 0.63379
job_seeker: thetwopct; similarity_score: 0.63379
job_seeker: ddxv; similarity_score: 0.62499
job_seeker: aivosha; similarity_score: 0.61643
job_seeker: Grue3; similarity_score: 0.61643
job_seeker: sharmanaetor; similarity_score: 0.61643
job_seeker: dmichulke; similarity_score: 0.61643
job_seeker: ashkang; similarity_score: 0.61642
job_seeker: sfythe; similarity_score: 0.60810
job_seeker: rockoder; similarity_score: 0.59210
job_seeker: uladzislau; similarity_score: 0.59209
job_seeker: 3zzy; similarity_score: 0.57692
job_seeker: nogbit; similarity_score: 0.57691
job_seeker: gothy; similarity_score: 0.56961
job_seeker: krapp; similarity_score: 0.56249
job_seeker: dancole; similarity_score: 0.56249
job_seeker: siscia; similarity_score: 0.56249
job_seeker: madarve; similarity_score: 0.56249
job_seeker: rahulroy; similarity_score: 0.54877
job_seeker: lukeqsee; similarity_score: 0.54877
job_seeker: mickt; similarity_score: 0.54877
job_seeker: mateja; similarity_score: 0.54877
job_seeker: Widow; similarity_score: 0.54216
job_seeker: hiby007; similarity_score: 0.53571
job_seeker: apsdehal; similarity_score: 0.53571
job_seeker: zplesivcak; similarity_score: 0.53570
job_seeker: chrisbrueck; similarity_score: 0.52940
job_seeker: jecjec; similarity_score: 0.52324
job_seeker: dmaffett; similarity_score: 0.51723
