hiring_manager: vseloved; similarity_score: 0.95918
hiring_manager: chad_strategic; similarity_score: 0.93999
hiring_manager: razvvan; similarity_score: 0.82455
hiring_manager: owainlewis; similarity_score: 0.82455
hiring_manager: redesignibm; similarity_score: 0.77048
hiring_manager: omarforgotpwd; similarity_score: 0.75806
hiring_manager: bnr; similarity_score: 0.74602
hiring_manager: andy; similarity_score: 0.71211
hiring_manager: ononoma; similarity_score: 0.70148
hiring_manager: yurisagalov; similarity_score: 0.67142
hiring_manager: lowglow; similarity_score: 0.66196
hiring_manager: CurtHagenlocher; similarity_score: 0.65277
hiring_manager: lgsilver; similarity_score: 0.62666
hiring_manager: dblock; similarity_score: 0.60256
hiring_manager: hungryblank; similarity_score: 0.60255
hiring_manager: gshahlot; similarity_score: 0.59493
hiring_manager: acudmore; similarity_score: 0.59493
hiring_manager: tortillasauce; similarity_score: 0.59493
hiring_manager: mjhea0; similarity_score: 0.58749
hiring_manager: jimmyrocks; similarity_score: 0.58749
hiring_manager: merinid; similarity_score: 0.58024
hiring_manager: nicholaides; similarity_score: 0.58023
hiring_manager: meifamous; similarity_score: 0.55951
hiring_manager: robhunter; similarity_score: 0.55293
hiring_manager: mattculbreth; similarity_score: 0.55293
hiring_manager: samg; similarity_score: 0.54022
hiring_manager: thisjody; similarity_score: 0.54022
hiring_manager: odiroot; similarity_score: 0.52808
hiring_manager: k1w1; similarity_score: 0.52808
hiring_manager: brandnewlow; similarity_score: 0.52808
hiring_manager: thehar; similarity_score: 0.52808
hiring_manager: ehartsuyker; similarity_score: 0.51647
hiring_manager: murtza; similarity_score: 0.51647
hiring_manager: nathanh; similarity_score: 0.51086
hiring_manager: jevans; similarity_score: 0.51086
hiring_manager: khaki54; similarity_score: 0.51086
hiring_manager: jack7890; similarity_score: 0.50537
hiring_manager: DustinCalim; similarity_score: 0.50537
hiring_manager: nerdz; similarity_score: 0.49999
hiring_manager: jauntvr_amy; similarity_score: 0.49473
hiring_manager: tomblomfield; similarity_score: 0.48957
hiring_manager: gavanwilhite; similarity_score: 0.47959
hiring_manager: macrosak; similarity_score: 0.47474
hiring_manager: Tarang; similarity_score: 0.47474
hiring_manager: 7parkdata; similarity_score: 0.46999
hiring_manager: pierreant_p; similarity_score: 0.46533
hiring_manager: AndroidJedi; similarity_score: 0.46078
hiring_manager: mazerj; similarity_score: 0.46077
hiring_manager: mazzarello; similarity_score: 0.45630
hiring_manager: ptlkitccat; similarity_score: 0.45630
hiring_manager: samingrassia; similarity_score: 0.45192
hiring_manager: scanr; similarity_score: 0.45192
hiring_manager: chrisdl; similarity_score: 0.45191
hiring_manager: martidumas; similarity_score: 0.45191
hiring_manager: qwerpoiuty; similarity_score: 0.43924
hiring_manager: vimeojobs; similarity_score: 0.43924
hiring_manager: kevinmchugh; similarity_score: 0.43518
hiring_manager: QTtech; similarity_score: 0.43119
hiring_manager: yegg; similarity_score: 0.43118
hiring_manager: frb; similarity_score: 0.42727
hiring_manager: peawee; similarity_score: 0.42726
hiring_manager: martinlanden; similarity_score: 0.42342
hiring_manager: logotype; similarity_score: 0.42341
hiring_manager: robertpohl; similarity_score: 0.41964
hiring_manager: margiexu; similarity_score: 0.41963
