hiring_manager: milewska; similarity_score: 30.3333
hiring_manager: roybarberuk; similarity_score: 28.8288
hiring_manager: kefeizhou; similarity_score: 28.3854
hiring_manager: lbo; similarity_score: 28.3140
hiring_manager: brettz; similarity_score: 26.8783
hiring_manager: damon_c; similarity_score: 26.5356
hiring_manager: ehberger; similarity_score: 26.1405
hiring_manager: 7parkdata; similarity_score: 25.3892
hiring_manager: dbuxton; similarity_score: 25.0740
hiring_manager: annalewis7; similarity_score: 24.6835
hiring_manager: toreriklinnerud; similarity_score: 24.6100
hiring_manager: geori; similarity_score: 24.3359
hiring_manager: amac; similarity_score: 24.0620
hiring_manager: edziubudzik; similarity_score: 23.2189
hiring_manager: timanglade; similarity_score: 22.9445
hiring_manager: rememberlenny; similarity_score: 22.7848
hiring_manager: Symbol; similarity_score: 22.7567
hiring_manager: frb; similarity_score: 22.4175
hiring_manager: ugh123; similarity_score: 22.2585
hiring_manager: burnout1540; similarity_score: 22.1921
hiring_manager: dmritard96; similarity_score: 22.1351
hiring_manager: k1w1; similarity_score: 22.1198
hiring_manager: Equiet; similarity_score: 22.0105
hiring_manager: paradox95; similarity_score: 21.9536
hiring_manager: edawerd; similarity_score: 21.7891
hiring_manager: drpancake; similarity_score: 21.6630
hiring_manager: florianf; similarity_score: 21.5200
hiring_manager: Cyranix; similarity_score: 21.4424
hiring_manager: murtza; similarity_score: 21.3723
hiring_manager: Renat; similarity_score: 21.3713
hiring_manager: pwman; similarity_score: 21.2389
hiring_manager: spot; similarity_score: 21.2041
hiring_manager: nkoren; similarity_score: 21.0601
hiring_manager: mmelin; similarity_score: 21.0526
hiring_manager: lsee; similarity_score: 21.0313
hiring_manager: S4M; similarity_score: 20.9964
hiring_manager: marybheine; similarity_score: 20.9790
hiring_manager: bowmanb; similarity_score: 20.9702
hiring_manager: nichol4s; similarity_score: 20.8695
hiring_manager: st8machine; similarity_score: 20.8067
hiring_manager: TheMakeA; similarity_score: 20.6289
hiring_manager: asanwal; similarity_score: 20.4566
hiring_manager: pohungc; similarity_score: 20.4188
hiring_manager: cjbarber; similarity_score: 20.2108
hiring_manager: edent; similarity_score: 20.1652
hiring_manager: jsaxton86; similarity_score: 20.0244
hiring_manager: gajomi; similarity_score: 19.9211
hiring_manager: sidjoshi; similarity_score: 19.8067
hiring_manager: FreshPuzzles; similarity_score: 19.7986
hiring_manager: ninetax; similarity_score: 19.7183
hiring_manager: rasengan; similarity_score: 19.5536
hiring_manager: johnnyg; similarity_score: 19.5391
hiring_manager: yegg; similarity_score: 19.5016
hiring_manager: biomimic; similarity_score: 19.5005
hiring_manager: ivanzhao; similarity_score: 19.4790
hiring_manager: georgespencer; similarity_score: 19.4327
hiring_manager: reubendoetsch; similarity_score: 19.3958
hiring_manager: frabcus; similarity_score: 19.3861
hiring_manager: yonibaciu1; similarity_score: 19.3732
hiring_manager: joanatello; similarity_score: 19.3442
hiring_manager: samuelbrin; similarity_score: 19.2546
hiring_manager: doxcf434; similarity_score: 19.1740
hiring_manager: untilHellbanned; similarity_score: 19.0635
hiring_manager: PhantomPhreak; similarity_score: 18.9712
hiring_manager: robg; similarity_score: 18.8524
hiring_manager: Andrew_Metail; similarity_score: 18.8405
hiring_manager: 7Figures2Commas; similarity_score: 18.6842
hiring_manager: zacharypinter; similarity_score: 18.5897
hiring_manager: mattnguyen; similarity_score: 18.5792
hiring_manager: smikhanov; similarity_score: 18.5430
hiring_manager: kscottz; similarity_score: 18.5359
hiring_manager: feverishaaron; similarity_score: 18.5074
hiring_manager: d0m; similarity_score: 18.4227
hiring_manager: YelpEngineering; similarity_score: 18.2828
hiring_manager: imdane; similarity_score: 18.2754
hiring_manager: biggitybones; similarity_score: 18.2356
hiring_manager: pashabitz; similarity_score: 18.2323
hiring_manager: greenjellybean; similarity_score: 18.2136
hiring_manager: espinchi; similarity_score: 18.1662
hiring_manager: peter_mcrae; similarity_score: 18.0860
hiring_manager: andrewmb; similarity_score: 18.0293
hiring_manager: eric_romo; similarity_score: 18.0143
hiring_manager: clieu1; similarity_score: 17.9649
hiring_manager: carlatqueue; similarity_score: 17.9431
hiring_manager: olivercameron; similarity_score: 17.9422
hiring_manager: samingrassia; similarity_score: 17.9043
hiring_manager: nschuett; similarity_score: 17.7892
hiring_manager: rfergie; similarity_score: 17.7623
hiring_manager: morgante; similarity_score: 17.6185
hiring_manager: geverett; similarity_score: 17.6146
hiring_manager: ashleyjohn; similarity_score: 17.6136
hiring_manager: kiyoto; similarity_score: 17.6
hiring_manager: dannysu; similarity_score: 17.5539
hiring_manager: JayNeely; similarity_score: 17.5329
hiring_manager: realdlee; similarity_score: 17.4972
hiring_manager: propellerhat; similarity_score: 17.4927
hiring_manager: pandamcbonesaw; similarity_score: 17.4603
hiring_manager: jdjdjd; similarity_score: 17.4418
hiring_manager: chollida1; similarity_score: 17.4204
hiring_manager: myom; similarity_score: 17.3285
hiring_manager: twymer; similarity_score: 17.2993
hiring_manager: alexk; similarity_score: 17.2955
hiring_manager: davidw; similarity_score: 17.2256
hiring_manager: jorgecastillo; similarity_score: 17.2106
hiring_manager: freyil; similarity_score: 17.1187
hiring_manager: asolove; similarity_score: 17.0780
hiring_manager: petrosagg; similarity_score: 17.0478
hiring_manager: hglaser; similarity_score: 17.0118
hiring_manager: mrbird; similarity_score: 16.9542
hiring_manager: sciurus; similarity_score: 16.9376
hiring_manager: breckognize; similarity_score: 16.7979
hiring_manager: salar; similarity_score: 16.7790
hiring_manager: scottaj2; similarity_score: 16.7272
hiring_manager: mrw34; similarity_score: 16.6402
hiring_manager: BillFranklin; similarity_score: 16.5919
hiring_manager: gsiener; similarity_score: 16.5490
hiring_manager: chrisbennet; similarity_score: 16.4
hiring_manager: AaronLasseigne; similarity_score: 16.3871
hiring_manager: blo; similarity_score: 16.3626
hiring_manager: Blackthorn; similarity_score: 16.3440
hiring_manager: chrisdl; similarity_score: 16.3017
hiring_manager: jlees; similarity_score: 16.2748
hiring_manager: knes; similarity_score: 16.2123
hiring_manager: ssk2; similarity_score: 16.1387
hiring_manager: matlock; similarity_score: 16.1347
hiring_manager: fractalsea; similarity_score: 16.1290
hiring_manager: yavery; similarity_score: 16.0337
hiring_manager: choult; similarity_score: 16.0125
hiring_manager: darrennix; similarity_score: 15.9879
hiring_manager: beaverfox; similarity_score: 15.9574
hiring_manager: g06; similarity_score: 15.8478
hiring_manager: soundandfeury; similarity_score: 15.7860
hiring_manager: RaizlabsTalent; similarity_score: 15.7043
hiring_manager: jjnvdm; similarity_score: 15.6206
hiring_manager: maramaemartin; similarity_score: 15.5688
hiring_manager: hrehhf; similarity_score: 15.4525
hiring_manager: wdewind; similarity_score: 15.4440
hiring_manager: khwang; similarity_score: 15.4195
hiring_manager: mpdaugherty; similarity_score: 15.4137
hiring_manager: vaughnd; similarity_score: 15.3526
hiring_manager: unclesaamm; similarity_score: 15.2838
hiring_manager: dangoldin; similarity_score: 15.2112
hiring_manager: jack7890; similarity_score: 15.1755
hiring_manager: rrpadhy; similarity_score: 15.1329
hiring_manager: santiycr; similarity_score: 15.1300
hiring_manager: finnh; similarity_score: 15.1057
hiring_manager: eugeneiiim; similarity_score: 15.0845
hiring_manager: escherize; similarity_score: 15.0653
hiring_manager: uwemaurer; similarity_score: 15.0090
hiring_manager: clarkevans; similarity_score: 14.9802
hiring_manager: FUSAR_rs; similarity_score: 14.9200
hiring_manager: klochner; similarity_score: 14.9110
hiring_manager: zeiler; similarity_score: 14.8558
hiring_manager: hgrttn; similarity_score: 14.8333
hiring_manager: manpageman; similarity_score: 14.8148
hiring_manager: martinshen; similarity_score: 14.7887
hiring_manager: tair; similarity_score: 14.7595
hiring_manager: JJMalina; similarity_score: 14.7507
hiring_manager: squirrel; similarity_score: 14.7321
hiring_manager: HeyLaughingBoy; similarity_score: 14.6236
hiring_manager: chrisduesing; similarity_score: 14.6210
hiring_manager: dh0913; similarity_score: 14.6169
hiring_manager: jakestein; similarity_score: 14.3817
hiring_manager: svec; similarity_score: 14.3079
hiring_manager: kevinschumacher; similarity_score: 14.2984
hiring_manager: ben336; similarity_score: 14.2548
hiring_manager: encore2097; similarity_score: 14.2421
hiring_manager: mikebabineau; similarity_score: 14.1649
hiring_manager: fortpoint; similarity_score: 14.1509
hiring_manager: DLarsen; similarity_score: 14.1078
hiring_manager: lesleyann25; similarity_score: 14.1007
hiring_manager: zaidos; similarity_score: 14.0939
hiring_manager: the_gigi; similarity_score: 14.0518
hiring_manager: spooneybarger; similarity_score: 14.0043
hiring_manager: jarmitage; similarity_score: 13.9575
hiring_manager: xiongww; similarity_score: 13.9484
hiring_manager: wiredd; similarity_score: 13.9267
hiring_manager: axiom; similarity_score: 13.8845
hiring_manager: fuckthepoor; similarity_score: 13.8828
hiring_manager: sam; similarity_score: 13.8775
hiring_manager: paulc; similarity_score: 13.8650
hiring_manager: jonbischke; similarity_score: 13.8303
hiring_manager: waseems; similarity_score: 13.7764
hiring_manager: fchollet; similarity_score: 13.7235
hiring_manager: jontonsoup; similarity_score: 13.7065
hiring_manager: nikhaldi; similarity_score: 13.6860
hiring_manager: joshcanhelp; similarity_score: 13.6752
hiring_manager: rvivek; similarity_score: 13.5472
hiring_manager: rprovey; similarity_score: 13.4182
hiring_manager: ndonnellan; similarity_score: 13.3981
hiring_manager: BGCivis; similarity_score: 13.3734
hiring_manager: mateodelnorte; similarity_score: 13.3430
hiring_manager: quinthar; similarity_score: 13.3333
hiring_manager: retrodict; similarity_score: 13.2621
hiring_manager: zerr; similarity_score: 13.2616
hiring_manager: omarish; similarity_score: 13.2556
hiring_manager: bostik; similarity_score: 13.1857
hiring_manager: bgriggs1; similarity_score: 13.1687
hiring_manager: Synergyse; similarity_score: 13.1683
hiring_manager: grydstedt; similarity_score: 13.1334
hiring_manager: plaban123; similarity_score: 13.0925
hiring_manager: jerematasno; similarity_score: 13.0801
hiring_manager: BMarkmann; similarity_score: 13.0252
hiring_manager: arobbins; similarity_score: 13.0160
hiring_manager: sethbannon; similarity_score: 12.9130
hiring_manager: sqs; similarity_score: 12.8859
hiring_manager: bbeck; similarity_score: 12.8058
hiring_manager: ogennadi; similarity_score: 12.7962
hiring_manager: justhw; similarity_score: 12.7737
hiring_manager: astralship; similarity_score: 12.7113
hiring_manager: siscia; similarity_score: 12.6086
hiring_manager: emcienjobs; similarity_score: 12.5714
hiring_manager: Gyffindor; similarity_score: 12.5585
hiring_manager: JangoSteve; similarity_score: 12.5171
hiring_manager: ejdyksen; similarity_score: 12.4318
hiring_manager: kdavari; similarity_score: 12.4223
hiring_manager: iandanforth; similarity_score: 12.3809
hiring_manager: darrenkopp; similarity_score: 12.3505
hiring_manager: bsnyder; similarity_score: 12.3157
hiring_manager: jkoc; similarity_score: 12.3111
hiring_manager: kbar13; similarity_score: 12.2772
hiring_manager: gsastry; similarity_score: 12.2212
hiring_manager: tqn; similarity_score: 12.2144
hiring_manager: bootstraponline; similarity_score: 12.1985
hiring_manager: michaelhoffman; similarity_score: 12.1951
hiring_manager: jnenglish; similarity_score: 12.1934
hiring_manager: iis_zephyr; similarity_score: 12.1761
hiring_manager: mbesto; similarity_score: 12.0794
hiring_manager: jjarmoc; similarity_score: 11.9646
hiring_manager: azth; similarity_score: 11.9380
hiring_manager: tianyicui; similarity_score: 11.9360
hiring_manager: fuelfive; similarity_score: 11.8989
hiring_manager: tharshan09; similarity_score: 11.8854
hiring_manager: fheisler; similarity_score: 11.8539
hiring_manager: mandoescamilla; similarity_score: 11.8390
hiring_manager: Clairesheng; similarity_score: 11.8355
hiring_manager: matm; similarity_score: 11.8348
hiring_manager: stockninja; similarity_score: 11.8175
hiring_manager: frisco; similarity_score: 11.7647
hiring_manager: gnidan; similarity_score: 11.6968
hiring_manager: wattenberger; similarity_score: 11.6731
hiring_manager: bambootalent; similarity_score: 11.6618
hiring_manager: meritt; similarity_score: 11.6429
hiring_manager: arach; similarity_score: 11.6420
hiring_manager: daveoflynn; similarity_score: 11.6373
hiring_manager: grinich; similarity_score: 11.5555
hiring_manager: jpwagner; similarity_score: 11.5129
hiring_manager: jasonparekh; similarity_score: 11.4854
hiring_manager: austinhallock; similarity_score: 11.3110
hiring_manager: andrewforee; similarity_score: 11.2440
hiring_manager: fapjacks; similarity_score: 11.1888
hiring_manager: jasoncrawford; similarity_score: 11.1455
hiring_manager: infer; similarity_score: 11.1174
hiring_manager: sid6376; similarity_score: 11.1111
hiring_manager: alexose; similarity_score: 11.0580
hiring_manager: curiousDog; similarity_score: 11.0344
hiring_manager: blakeweb; similarity_score: 11.0136
hiring_manager: metaobject; similarity_score: 11.0047
hiring_manager: statictype; similarity_score: 10.9489
hiring_manager: pouloum78; similarity_score: 10.8695
hiring_manager: vaxtrac; similarity_score: 10.8314
hiring_manager: tobinharris; similarity_score: 10.7883
hiring_manager: Theranos; similarity_score: 10.7042
hiring_manager: oms1005; similarity_score: 10.6857
hiring_manager: mburst; similarity_score: 10.5580
hiring_manager: papaonlegs; similarity_score: 10.5515
hiring_manager: siddarthd2919; similarity_score: 10.5011
hiring_manager: noobuser123; similarity_score: 10.4826
hiring_manager: vtuulos; similarity_score: 10.4795
hiring_manager: chrchr; similarity_score: 10.4686
hiring_manager: lightningstorm; similarity_score: 10.3746
hiring_manager: minichate; similarity_score: 10.2769
hiring_manager: kenrose; similarity_score: 10.2533
hiring_manager: jason_allen; similarity_score: 10.1928
hiring_manager: sinak; similarity_score: 10.1793
hiring_manager: EmilLondon; similarity_score: 10.1614
hiring_manager: dwiel; similarity_score: 10.1321
hiring_manager: kmano8; similarity_score: 10.1319
hiring_manager: alexthornton; similarity_score: 10.1311
hiring_manager: meaydinli; similarity_score: 10.0468
hiring_manager: nathanwdavis; similarity_score: 10.0456
hiring_manager: courtneypowell; similarity_score: 10.0421
hiring_manager: fourier; similarity_score: 10.0
hiring_manager: pensieri; similarity_score: 9.98620
hiring_manager: jszumski; similarity_score: 9.92907
hiring_manager: spang; similarity_score: 9.87012
hiring_manager: boyd; similarity_score: 9.78088
hiring_manager: jhdavids8; similarity_score: 9.75265
hiring_manager: bitcrusher; similarity_score: 9.71579
hiring_manager: neftaly; similarity_score: 9.61538
hiring_manager: hafabnew; similarity_score: 9.54106
hiring_manager: woodhull; similarity_score: 9.51990
hiring_manager: swampthing; similarity_score: 9.51571
hiring_manager: ILIKEPONIES; similarity_score: 9.48581
hiring_manager: sb_ba; similarity_score: 9.47237
hiring_manager: cwhiten; similarity_score: 9.31768
hiring_manager: shedd; similarity_score: 9.26931
hiring_manager: hseikaly; similarity_score: 9.22939
hiring_manager: sparkman55; similarity_score: 9.22930
hiring_manager: bjelkeman-again; similarity_score: 9.18599
hiring_manager: JimboOmega; similarity_score: 8.92448
hiring_manager: OpenDrapery; similarity_score: 8.85780
hiring_manager: Bahamut; similarity_score: 8.79231
hiring_manager: atto; similarity_score: 8.64332
hiring_manager: brendan_gill; similarity_score: 8.62703
hiring_manager: capkutay; similarity_score: 8.57726
