job_seeker: trumbitta2; similarity_score: 0.99476
job_seeker: EddyShure; similarity_score: 0.99476
job_seeker: white0ut; similarity_score: 0.94526
job_seeker: scool; similarity_score: 0.94059
job_seeker: papes; similarity_score: 0.94058
job_seeker: HemantPawar; similarity_score: 0.93136
job_seeker: it_learnses; similarity_score: 0.92682
job_seeker: knoxzin1; similarity_score: 0.92682
job_seeker: colsandurz; similarity_score: 0.92233
job_seeker: david04; similarity_score: 0.92232
job_seeker: rayalez; similarity_score: 0.92232
job_seeker: sam_rad; similarity_score: 0.92232
job_seeker: asow92; similarity_score: 0.91787
job_seeker: developerbro; similarity_score: 0.91787
job_seeker: enilsen16; similarity_score: 0.91346
job_seeker: idlewan; similarity_score: 0.91345
job_seeker: pknerd; similarity_score: 0.90908
job_seeker: phish; similarity_score: 0.90908
job_seeker: andrey_utkin; similarity_score: 0.90476
job_seeker: cpursley; similarity_score: 0.90475
job_seeker: csommers; similarity_score: 0.90475
job_seeker: pzz; similarity_score: 0.90475
job_seeker: csbartus; similarity_score: 0.90047
job_seeker: notastartup; similarity_score: 0.90047
job_seeker: alexandregme; similarity_score: 0.88785
job_seeker: coffee667; similarity_score: 0.88785
job_seeker: sfythe; similarity_score: 0.88784
job_seeker: Stamy; similarity_score: 0.88784
job_seeker: ddxv; similarity_score: 0.88371
job_seeker: albur; similarity_score: 0.88371
job_seeker: thetwopct; similarity_score: 0.87962
job_seeker: joshrael; similarity_score: 0.87962
job_seeker: dmichulke; similarity_score: 0.87962
job_seeker: shabinesh; similarity_score: 0.87557
job_seeker: aivosha; similarity_score: 0.87557
job_seeker: spacial; similarity_score: 0.87556
job_seeker: sharmanaetor; similarity_score: 0.87556
job_seeker: uladzislau; similarity_score: 0.87155
job_seeker: Grue3; similarity_score: 0.87155
job_seeker: 3zzy; similarity_score: 0.86757
job_seeker: ashkang; similarity_score: 0.86757
job_seeker: krapp; similarity_score: 0.86363
job_seeker: nogbit; similarity_score: 0.86363
job_seeker: lukeqsee; similarity_score: 0.85972
job_seeker: rockoder; similarity_score: 0.85585
job_seeker: mateja; similarity_score: 0.85585
job_seeker: siscia; similarity_score: 0.85201
job_seeker: dancole; similarity_score: 0.85201
job_seeker: gothy; similarity_score: 0.85200
job_seeker: hiby007; similarity_score: 0.85200
job_seeker: madarve; similarity_score: 0.84820
job_seeker: mickt; similarity_score: 0.84820
job_seeker: rahulroy; similarity_score: 0.84444
job_seeker: apsdehal; similarity_score: 0.84443
job_seeker: Widow; similarity_score: 0.84443
job_seeker: jecjec; similarity_score: 0.84070
job_seeker: zero-g; similarity_score: 0.84069
job_seeker: gierach; similarity_score: 0.83700
job_seeker: chrisbrueck; similarity_score: 0.83700
job_seeker: dmaffett; similarity_score: 0.83333
job_seeker: zplesivcak; similarity_score: 0.83332
job_seeker: dsposito; similarity_score: 0.82969
job_seeker: BrofessorWolf; similarity_score: 0.82968
job_seeker: jayrobin; similarity_score: 0.82608
job_seeker: andrewmatte; similarity_score: 0.82608
job_seeker: yangchi; similarity_score: 0.82250
job_seeker: arenaninja; similarity_score: 0.82250
job_seeker: mdturnerphys; similarity_score: 0.82250
job_seeker: lordsheepy; similarity_score: 0.81896
job_seeker: yen223; similarity_score: 0.81544
job_seeker: keraj; similarity_score: 0.81196
job_seeker: chroman; similarity_score: 0.81196
job_seeker: asherdavidson; similarity_score: 0.81195
job_seeker: J_Darnley; similarity_score: 0.80851
job_seeker: agilebyte; similarity_score: 0.80508
job_seeker: BenderV; similarity_score: 0.80508
job_seeker: qute; similarity_score: 0.80168
job_seeker: AndroidJedi; similarity_score: 0.80168
job_seeker: brickmort; similarity_score: 0.79497
job_seeker: jayhuang; similarity_score: 0.79497
job_seeker: ankeshanand; similarity_score: 0.79166
job_seeker: prmobiledev; similarity_score: 0.79166
job_seeker: stevesunderland; similarity_score: 0.79166
job_seeker: Danieru; similarity_score: 0.79165
job_seeker: WasimBhai; similarity_score: 0.78837
job_seeker: codez; similarity_score: 0.78837
job_seeker: nirajd; similarity_score: 0.78837
job_seeker: athesyn; similarity_score: 0.78837
job_seeker: howard941; similarity_score: 0.78189
job_seeker: synesso; similarity_score: 0.77868
job_seeker: nialo; similarity_score: 0.77867
job_seeker: neilk; similarity_score: 0.77550
job_seeker: Blackthorn; similarity_score: 0.77550
job_seeker: eshaham; similarity_score: 0.76922
job_seeker: domador; similarity_score: 0.76612
job_seeker: erszcz; similarity_score: 0.76304
job_seeker: fabulist; similarity_score: 0.75696
job_seeker: chrispecoraro; similarity_score: 0.75098
job_seeker: hasbelkader; similarity_score: 0.75098
job_seeker: dizzystar; similarity_score: 0.75098
job_seeker: emilis_info; similarity_score: 0.74802
