job_seeker: hannes2000; similarity_score: 0.84615
job_seeker: colsandurz; similarity_score: 0.83333
job_seeker: FiddlerClamp; similarity_score: 0.83333
job_seeker: mishkovski; similarity_score: 0.82089
job_seeker: quiqueqs; similarity_score: 0.82089
job_seeker: ainiriand; similarity_score: 0.82088
job_seeker: yowmamasita; similarity_score: 0.80882
job_seeker: torkable; similarity_score: 0.80881
job_seeker: new_user_name; similarity_score: 0.80881
job_seeker: vdimarco; similarity_score: 0.80881
job_seeker: Stamy; similarity_score: 0.79709
job_seeker: Hobart116; similarity_score: 0.79709
job_seeker: RamunasM; similarity_score: 0.78571
job_seeker: batjaa; similarity_score: 0.78571
job_seeker: dsfreed; similarity_score: 0.78571
job_seeker: egorbatik; similarity_score: 0.77464
job_seeker: wmil; similarity_score: 0.77464
job_seeker: gkelly; similarity_score: 0.76388
job_seeker: SerialMiller; similarity_score: 0.76388
job_seeker: jivux; similarity_score: 0.76388
job_seeker: pluc; similarity_score: 0.76388
job_seeker: sauravt; similarity_score: 0.75342
job_seeker: jdbiggs; similarity_score: 0.75341
job_seeker: saigrandhi; similarity_score: 0.75341
job_seeker: frontsideair; similarity_score: 0.74323
job_seeker: phish; similarity_score: 0.74323
job_seeker: hyunwoona; similarity_score: 0.74323
job_seeker: jokoon; similarity_score: 0.74323
job_seeker: pknerd; similarity_score: 0.73333
job_seeker: domedefelice; similarity_score: 0.73332
job_seeker: agurha; similarity_score: 0.73332
job_seeker: yesyesnooo; similarity_score: 0.72368
job_seeker: anujpasricha; similarity_score: 0.72367
job_seeker: jbza; similarity_score: 0.72367
job_seeker: speeder; similarity_score: 0.70512
job_seeker: sharmanaetor; similarity_score: 0.70512
job_seeker: chad_strategic; similarity_score: 0.69619
job_seeker: webjac; similarity_score: 0.68749
job_seeker: harrychenca; similarity_score: 0.68749
job_seeker: greenjellybean; similarity_score: 0.67073
job_seeker: Nullslash; similarity_score: 0.67072
job_seeker: v1ct0r; similarity_score: 0.67072
job_seeker: sfythe; similarity_score: 0.66264
job_seeker: ucacian; similarity_score: 0.65476
job_seeker: asfarley; similarity_score: 0.65475
job_seeker: srpoder; similarity_score: 0.64705
job_seeker: JoshuaDavid; similarity_score: 0.64704
job_seeker: claudiordgz; similarity_score: 0.63953
job_seeker: waiquoo; similarity_score: 0.63952
job_seeker: mariocesar; similarity_score: 0.63217
job_seeker: rogerbinns; similarity_score: 0.62499
job_seeker: nicopace; similarity_score: 0.61797
job_seeker: gothy; similarity_score: 0.61797
job_seeker: ownagefool; similarity_score: 0.61796
job_seeker: baggachipz; similarity_score: 0.61110
job_seeker: 3zzy; similarity_score: 0.61110
job_seeker: ryanjanvier; similarity_score: 0.61110
job_seeker: zachcowell; similarity_score: 0.60438
job_seeker: Achshar; similarity_score: 0.59782
job_seeker: 2close4comfort; similarity_score: 0.59781
job_seeker: ryaneager; similarity_score: 0.59139
job_seeker: nubcakes; similarity_score: 0.59139
job_seeker: 32faction; similarity_score: 0.58510
job_seeker: pablokbs; similarity_score: 0.58510
job_seeker: Grue3; similarity_score: 0.58510
job_seeker: rahulroy; similarity_score: 0.58509
job_seeker: codez; similarity_score: 0.58509
job_seeker: 2bluesc; similarity_score: 0.58509
job_seeker: hiby007; similarity_score: 0.57894
job_seeker: TapanilaT; similarity_score: 0.57894
