hiring_manager: vseloved; similarity_score: 0.93102
hiring_manager: chad_strategic; similarity_score: 0.89999
hiring_manager: owainlewis; similarity_score: 0.74999
hiring_manager: razvvan; similarity_score: 0.72972
hiring_manager: redesignibm; similarity_score: 0.64285
hiring_manager: omarforgotpwd; similarity_score: 0.64285
hiring_manager: bnr; similarity_score: 0.62790
hiring_manager: andy; similarity_score: 0.58694
hiring_manager: ononoma; similarity_score: 0.56249
hiring_manager: lowglow; similarity_score: 0.53999
hiring_manager: yurisagalov; similarity_score: 0.53999
hiring_manager: CurtHagenlocher; similarity_score: 0.50942
hiring_manager: lgsilver; similarity_score: 0.48214
hiring_manager: dblock; similarity_score: 0.46551
hiring_manager: nicholaides; similarity_score: 0.45762
hiring_manager: acudmore; similarity_score: 0.45762
hiring_manager: hungryblank; similarity_score: 0.45761
hiring_manager: tortillasauce; similarity_score: 0.44999
hiring_manager: jimmyrocks; similarity_score: 0.44262
hiring_manager: merinid; similarity_score: 0.44261
hiring_manager: gshahlot; similarity_score: 0.44261
hiring_manager: mjhea0; similarity_score: 0.43548
hiring_manager: mattculbreth; similarity_score: 0.42187
hiring_manager: meifamous; similarity_score: 0.41538
hiring_manager: robhunter; similarity_score: 0.40908
hiring_manager: odiroot; similarity_score: 0.39705
hiring_manager: thisjody; similarity_score: 0.39705
hiring_manager: ehartsuyker; similarity_score: 0.39130
hiring_manager: samg; similarity_score: 0.39129
hiring_manager: brandnewlow; similarity_score: 0.39129
hiring_manager: thehar; similarity_score: 0.38571
hiring_manager: k1w1; similarity_score: 0.38570
hiring_manager: murtza; similarity_score: 0.38027
hiring_manager: jevans; similarity_score: 0.37499
hiring_manager: khaki54; similarity_score: 0.37499
hiring_manager: jack7890; similarity_score: 0.36986
hiring_manager: tomblomfield; similarity_score: 0.36986
hiring_manager: nathanh; similarity_score: 0.36485
hiring_manager: nerdz; similarity_score: 0.36485
hiring_manager: DustinCalim; similarity_score: 0.35525
hiring_manager: 7parkdata; similarity_score: 0.35064
hiring_manager: jauntvr_amy; similarity_score: 0.34614
hiring_manager: macrosak; similarity_score: 0.34614
hiring_manager: gavanwilhite; similarity_score: 0.33749
hiring_manager: Tarang; similarity_score: 0.33749
hiring_manager: AndroidJedi; similarity_score: 0.33749
hiring_manager: pierreant_p; similarity_score: 0.32926
hiring_manager: mazerj; similarity_score: 0.32926
hiring_manager: mazzarello; similarity_score: 0.32530
hiring_manager: samingrassia; similarity_score: 0.32529
hiring_manager: martidumas; similarity_score: 0.32141
hiring_manager: scanr; similarity_score: 0.31764
hiring_manager: chrisdl; similarity_score: 0.31764
hiring_manager: kevinmchugh; similarity_score: 0.31034
hiring_manager: vimeojobs; similarity_score: 0.31033
hiring_manager: ptlkitccat; similarity_score: 0.30681
hiring_manager: qwerpoiuty; similarity_score: 0.30336
hiring_manager: frb; similarity_score: 0.30336
hiring_manager: peawee; similarity_score: 0.29999
hiring_manager: QTtech; similarity_score: 0.29999
hiring_manager: logotype; similarity_score: 0.29999
hiring_manager: margiexu; similarity_score: 0.29670
hiring_manager: martinlanden; similarity_score: 0.29669
hiring_manager: nahidalam; similarity_score: 0.29669
hiring_manager: westi; similarity_score: 0.29347
hiring_manager: yegg; similarity_score: 0.29347
hiring_manager: robertpohl; similarity_score: 0.29031
hiring_manager: lamplightr; similarity_score: 0.28723
hiring_manager: lennies; similarity_score: 0.28723
hiring_manager: saucelabs; similarity_score: 0.28722
hiring_manager: hazzadous; similarity_score: 0.28722
hiring_manager: kiyoto; similarity_score: 0.28420
hiring_manager: arthurgibson; similarity_score: 0.28124
hiring_manager: jconnolly; similarity_score: 0.28124
hiring_manager: jscalisi; similarity_score: 0.27834
hiring_manager: feverishaaron; similarity_score: 0.27834
hiring_manager: kenrose; similarity_score: 0.27834
hiring_manager: a5huynh; similarity_score: 0.27834
hiring_manager: workmarket; similarity_score: 0.27834
hiring_manager: pzearfoss; similarity_score: 0.27550
hiring_manager: morgante; similarity_score: 0.27550
hiring_manager: demac; similarity_score: 0.27550
hiring_manager: scidev; similarity_score: 0.27550
hiring_manager: ryan_f; similarity_score: 0.27550
hiring_manager: johnballjibe; similarity_score: 0.27550
hiring_manager: austinhallock; similarity_score: 0.27550
hiring_manager: andrewlin; similarity_score: 0.27272
hiring_manager: allbombs; similarity_score: 0.26732
hiring_manager: joekur; similarity_score: 0.26732
hiring_manager: cpenner461; similarity_score: 0.26731
hiring_manager: joe_fro; similarity_score: 0.26470
hiring_manager: Rodi; similarity_score: 0.26470
hiring_manager: pkrein; similarity_score: 0.25961
hiring_manager: USNetizen; similarity_score: 0.25961
hiring_manager: ben-deskpro; similarity_score: 0.25961
hiring_manager: drc37; similarity_score: 0.25960
hiring_manager: wittedhaddock; similarity_score: 0.25714
hiring_manager: jasoncartwright; similarity_score: 0.25713
hiring_manager: transitorykris; similarity_score: 0.25713
hiring_manager: adamalix; similarity_score: 0.25713
hiring_manager: dmritard96; similarity_score: 0.24999
hiring_manager: mrw34; similarity_score: 0.24545
hiring_manager: chris_raptr; similarity_score: 0.24544
hiring_manager: salar; similarity_score: 0.24544
hiring_manager: drp; similarity_score: 0.24544
hiring_manager: sadadar; similarity_score: 0.24544
hiring_manager: tristanz; similarity_score: 0.24324
hiring_manager: ben336; similarity_score: 0.24323
hiring_manager: kdavari; similarity_score: 0.24323
hiring_manager: hmpc; similarity_score: 0.24323
hiring_manager: robg; similarity_score: 0.24323
hiring_manager: wadenick; similarity_score: 0.24107
hiring_manager: geori; similarity_score: 0.23478
hiring_manager: erichurkman; similarity_score: 0.23275
hiring_manager: jsnook; similarity_score: 0.23275
hiring_manager: trentellingsen; similarity_score: 0.23076
hiring_manager: tylersakats; similarity_score: 0.22881
hiring_manager: machinezone; similarity_score: 0.22880
hiring_manager: Renat; similarity_score: 0.22688
hiring_manager: RaizlabsTalent; similarity_score: 0.22688
hiring_manager: pallinder; similarity_score: 0.22499
hiring_manager: calpaterson; similarity_score: 0.22499
hiring_manager: StefanBill; similarity_score: 0.22499
hiring_manager: ebildsten; similarity_score: 0.22313
hiring_manager: PhantomPhreak; similarity_score: 0.22130
hiring_manager: madjack74; similarity_score: 0.22130
hiring_manager: marybheine; similarity_score: 0.21774
hiring_manager: bacheson1293; similarity_score: 0.21773
hiring_manager: rememberlenny; similarity_score: 0.21773
hiring_manager: zacharypinter; similarity_score: 0.21599
hiring_manager: samirez; similarity_score: 0.21599
hiring_manager: bladedawg; similarity_score: 0.21428
hiring_manager: egillie; similarity_score: 0.21428
hiring_manager: davidknezevic; similarity_score: 0.21427
hiring_manager: SendGrid; similarity_score: 0.21427
hiring_manager: gshx; similarity_score: 0.21092
hiring_manager: THSK; similarity_score: 0.20768
hiring_manager: raxnet; similarity_score: 0.20610
hiring_manager: tyoung; similarity_score: 0.20610
hiring_manager: jonhearty; similarity_score: 0.20454
hiring_manager: ssk2; similarity_score: 0.20453
hiring_manager: mac14; similarity_score: 0.20300
hiring_manager: BornInTheUSSR; similarity_score: 0.20299
hiring_manager: chrisconley; similarity_score: 0.20149
hiring_manager: sam; similarity_score: 0.20148
hiring_manager: agazso; similarity_score: 0.20148
hiring_manager: pashabitz; similarity_score: 0.20148
hiring_manager: gsiener; similarity_score: 0.20148
hiring_manager: meaydinli; similarity_score: 0.19852
hiring_manager: malyk; similarity_score: 0.19852
hiring_manager: asolove; similarity_score: 0.19852
hiring_manager: rskinner; similarity_score: 0.19852
hiring_manager: mariusz331; similarity_score: 0.19564
hiring_manager: FreshPuzzles; similarity_score: 0.19564
hiring_manager: escherize; similarity_score: 0.19564
hiring_manager: swilson7; similarity_score: 0.19564
hiring_manager: knowtheory; similarity_score: 0.19424
hiring_manager: Theranos; similarity_score: 0.19423
hiring_manager: TEVO_throwaway; similarity_score: 0.19423
hiring_manager: doctoboggan; similarity_score: 0.19285
hiring_manager: cj; similarity_score: 0.19148
hiring_manager: DenisM; similarity_score: 0.19013
hiring_manager: sinak; similarity_score: 0.19013
hiring_manager: olivercameron; similarity_score: 0.19013
hiring_manager: lrc1717; similarity_score: 0.18881
hiring_manager: jtoberon; similarity_score: 0.18880
hiring_manager: jdawe; similarity_score: 0.18880
hiring_manager: temuze; similarity_score: 0.18880
hiring_manager: hywel; similarity_score: 0.18880
hiring_manager: mdu; similarity_score: 0.18880
hiring_manager: purephase; similarity_score: 0.18749
hiring_manager: squirrel; similarity_score: 0.18749
hiring_manager: nilsbunger; similarity_score: 0.18620
hiring_manager: kevinschumacher; similarity_score: 0.18620
hiring_manager: Jobsatgraze; similarity_score: 0.18620
hiring_manager: evaneykelen; similarity_score: 0.18619
hiring_manager: masylum; similarity_score: 0.18492
hiring_manager: jluan; similarity_score: 0.18367
hiring_manager: vinceguidry; similarity_score: 0.18366
hiring_manager: mandoescamilla; similarity_score: 0.18366
hiring_manager: Peroni; similarity_score: 0.18366
hiring_manager: martian; similarity_score: 0.18366
hiring_manager: Sarean; similarity_score: 0.18366
hiring_manager: sv123; similarity_score: 0.18243
hiring_manager: jamieiles; similarity_score: 0.18242
hiring_manager: wbobeirne; similarity_score: 0.18120
hiring_manager: yjkogan; similarity_score: 0.17999
hiring_manager: alexose; similarity_score: 0.17999
hiring_manager: adamwiggins; similarity_score: 0.17880
hiring_manager: alain_gilbert; similarity_score: 0.17879
hiring_manager: eugeneiiim; similarity_score: 0.17879
hiring_manager: grigory; similarity_score: 0.17763
hiring_manager: twymer; similarity_score: 0.17762
hiring_manager: wdewind; similarity_score: 0.17646
hiring_manager: uwemaurer; similarity_score: 0.17646
hiring_manager: illscience; similarity_score: 0.17646
hiring_manager: jasoncrawford; similarity_score: 0.17646
hiring_manager: jeffdn; similarity_score: 0.17646
hiring_manager: luisrudge; similarity_score: 0.17531
hiring_manager: diggan; similarity_score: 0.17419
hiring_manager: bgriggs1; similarity_score: 0.17419
hiring_manager: MattfromHall; similarity_score: 0.17418
hiring_manager: manoa; similarity_score: 0.17418
hiring_manager: olegp; similarity_score: 0.17418
hiring_manager: Jeffrey903; similarity_score: 0.17307
hiring_manager: zmillman; similarity_score: 0.17306
hiring_manager: Andrew_Metail; similarity_score: 0.17197
hiring_manager: brendan_gill; similarity_score: 0.17196
hiring_manager: nschuett; similarity_score: 0.17088
hiring_manager: VicinitasTech; similarity_score: 0.17088
hiring_manager: Jhaney34; similarity_score: 0.17087
