hiring_manager: 7parkdata; similarity_score: 28.6028
hiring_manager: lesleyann25; similarity_score: 26.7880
hiring_manager: toreriklinnerud; similarity_score: 26.7281
hiring_manager: amac; similarity_score: 26.2101
hiring_manager: chrisdl; similarity_score: 25.8928
hiring_manager: ninetax; similarity_score: 25.2454
hiring_manager: eric_romo; similarity_score: 25.1189
hiring_manager: pwman; similarity_score: 24.5086
hiring_manager: drpancake; similarity_score: 24.4939
hiring_manager: jdjdjd; similarity_score: 24.4122
hiring_manager: edziubudzik; similarity_score: 24.2788
hiring_manager: carlatqueue; similarity_score: 23.6842
hiring_manager: milewska; similarity_score: 23.4421
hiring_manager: jszumski; similarity_score: 23.3741
hiring_manager: kefeizhou; similarity_score: 23.2779
hiring_manager: chollida1; similarity_score: 23.1861
hiring_manager: yavery; similarity_score: 23.1847
hiring_manager: Renat; similarity_score: 23.0576
hiring_manager: statictype; similarity_score: 22.9910
hiring_manager: rememberlenny; similarity_score: 22.9665
hiring_manager: cllns; similarity_score: 22.9199
hiring_manager: kiyoto; similarity_score: 22.9050
hiring_manager: lsee; similarity_score: 22.5776
hiring_manager: beaverfox; similarity_score: 22.5705
hiring_manager: clieu1; similarity_score: 22.5483
hiring_manager: yegg; similarity_score: 22.0661
hiring_manager: feverishaaron; similarity_score: 22.0430
hiring_manager: frisco; similarity_score: 22.0224
hiring_manager: frb; similarity_score: 21.9512
hiring_manager: roybarberuk; similarity_score: 21.8918
hiring_manager: doxcf434; similarity_score: 21.8085
hiring_manager: jack7890; similarity_score: 21.5256
hiring_manager: spooneybarger; similarity_score: 21.4574
hiring_manager: sciurus; similarity_score: 21.4193
hiring_manager: brettz; similarity_score: 21.3935
hiring_manager: lbo; similarity_score: 21.3866
hiring_manager: matlock; similarity_score: 21.2978
hiring_manager: realdlee; similarity_score: 21.2896
hiring_manager: florianf; similarity_score: 21.2048
hiring_manager: yesimahuman; similarity_score: 21.1130
hiring_manager: davidw; similarity_score: 21.0678
hiring_manager: Equiet; similarity_score: 21.0009
hiring_manager: murtza; similarity_score: 20.9761
hiring_manager: twymer; similarity_score: 20.9399
hiring_manager: edent; similarity_score: 20.9131
hiring_manager: propellerhat; similarity_score: 20.8852
hiring_manager: annalewis7; similarity_score: 20.7436
hiring_manager: joanatello; similarity_score: 20.7109
hiring_manager: mburst; similarity_score: 20.5714
hiring_manager: spot; similarity_score: 20.5250
hiring_manager: clarkevans; similarity_score: 20.3007
hiring_manager: andrewmb; similarity_score: 20.2334
hiring_manager: burnout1540; similarity_score: 20.1722
hiring_manager: mateodelnorte; similarity_score: 20.0963
hiring_manager: stockninja; similarity_score: 19.9877
hiring_manager: imdane; similarity_score: 19.9764
hiring_manager: Symbol; similarity_score: 19.7402
hiring_manager: artursapek; similarity_score: 19.6928
hiring_manager: HeyLaughingBoy; similarity_score: 19.6660
hiring_manager: damon_c; similarity_score: 19.5945
hiring_manager: biggitybones; similarity_score: 19.5121
hiring_manager: escherize; similarity_score: 19.4909
hiring_manager: manpageman; similarity_score: 19.4610
hiring_manager: kevinschumacher; similarity_score: 19.4467
hiring_manager: ssk2; similarity_score: 19.4285
hiring_manager: omarish; similarity_score: 19.3503
hiring_manager: zacharypinter; similarity_score: 19.2133
hiring_manager: timanglade; similarity_score: 19.0954
hiring_manager: klochner; similarity_score: 19.0104
