job_seeker: EddyShure; similarity_score: 0.99122
job_seeker: trumbitta2; similarity_score: 0.99122
job_seeker: white0ut; similarity_score: 0.92622
job_seeker: papes; similarity_score: 0.91128
job_seeker: scool; similarity_score: 0.89681
job_seeker: HemantPawar; similarity_score: 0.88975
job_seeker: david04; similarity_score: 0.88280
job_seeker: rayalez; similarity_score: 0.88280
job_seeker: knoxzin1; similarity_score: 0.88280
job_seeker: sam_rad; similarity_score: 0.87596
job_seeker: it_learnses; similarity_score: 0.87596
job_seeker: colsandurz; similarity_score: 0.87596
job_seeker: asow92; similarity_score: 0.86923
job_seeker: idlewan; similarity_score: 0.86922
job_seeker: developerbro; similarity_score: 0.86258
job_seeker: enilsen16; similarity_score: 0.85605
job_seeker: andrey_utkin; similarity_score: 0.85605
job_seeker: pknerd; similarity_score: 0.84962
job_seeker: csommers; similarity_score: 0.84961
job_seeker: phish; similarity_score: 0.84961
job_seeker: notastartup; similarity_score: 0.84961
job_seeker: cpursley; similarity_score: 0.84328
job_seeker: pzz; similarity_score: 0.84327
job_seeker: csbartus; similarity_score: 0.83702
job_seeker: albur; similarity_score: 0.83087
job_seeker: alexandregme; similarity_score: 0.83087
job_seeker: coffee667; similarity_score: 0.83087
job_seeker: Stamy; similarity_score: 0.82480
job_seeker: spacial; similarity_score: 0.81883
job_seeker: ddxv; similarity_score: 0.81883
job_seeker: uladzislau; similarity_score: 0.81294
job_seeker: ashkang; similarity_score: 0.81294
job_seeker: shabinesh; similarity_score: 0.81294
job_seeker: thetwopct; similarity_score: 0.81294
job_seeker: sfythe; similarity_score: 0.81294
job_seeker: joshrael; similarity_score: 0.81294
job_seeker: Grue3; similarity_score: 0.80713
job_seeker: aivosha; similarity_score: 0.80713
job_seeker: sharmanaetor; similarity_score: 0.80141
job_seeker: dmichulke; similarity_score: 0.80140
job_seeker: nogbit; similarity_score: 0.79020
job_seeker: krapp; similarity_score: 0.79020
job_seeker: rockoder; similarity_score: 0.79020
job_seeker: siscia; similarity_score: 0.77930
job_seeker: gothy; similarity_score: 0.77930
job_seeker: lukeqsee; similarity_score: 0.77930
job_seeker: 3zzy; similarity_score: 0.77930
