hiring_manager: deepsearch; similarity_score: 0.99319
hiring_manager: namelezz; similarity_score: 0.99319
hiring_manager: bohnej; similarity_score: 0.98648
hiring_manager: zacharycohn; similarity_score: 0.98648
hiring_manager: papaonlegs; similarity_score: 0.98647
hiring_manager: siddarthd2919; similarity_score: 0.97333
hiring_manager: bostonpete; similarity_score: 0.97333
hiring_manager: xasos; similarity_score: 0.97332
hiring_manager: ogennadi; similarity_score: 0.97332
hiring_manager: BillFranklin; similarity_score: 0.97332
hiring_manager: nathanwdavis; similarity_score: 0.96688
hiring_manager: OpenDrapery; similarity_score: 0.96687
hiring_manager: neftaly; similarity_score: 0.96052
hiring_manager: metaobject; similarity_score: 0.96052
hiring_manager: fourier; similarity_score: 0.96051
hiring_manager: iandanforth; similarity_score: 0.96051
hiring_manager: plaban123; similarity_score: 0.95424
hiring_manager: fractalsea; similarity_score: 0.95424
hiring_manager: joshcanhelp; similarity_score: 0.95424
hiring_manager: Caleb_Smith; similarity_score: 0.95424
hiring_manager: ljlolel; similarity_score: 0.94805
hiring_manager: fapjacks; similarity_score: 0.94804
hiring_manager: sid6376; similarity_score: 0.94804
hiring_manager: curiousDog; similarity_score: 0.94804
hiring_manager: grinich; similarity_score: 0.94804
hiring_manager: siscia; similarity_score: 0.94193
hiring_manager: quinthar; similarity_score: 0.94192
hiring_manager: smikhanov; similarity_score: 0.94192
hiring_manager: unclesaamm; similarity_score: 0.93589
hiring_manager: khwang; similarity_score: 0.93589
hiring_manager: fuckthepoor; similarity_score: 0.93588
hiring_manager: st8machine; similarity_score: 0.92993
hiring_manager: rrpadhy; similarity_score: 0.92992
hiring_manager: kbar13; similarity_score: 0.92404
hiring_manager: HeyLaughingBoy; similarity_score: 0.92404
hiring_manager: vaughnd; similarity_score: 0.92404
hiring_manager: emcienjobs; similarity_score: 0.92404
hiring_manager: hrehhf; similarity_score: 0.92404
hiring_manager: chrisbennet; similarity_score: 0.91823
hiring_manager: Cyranix; similarity_score: 0.91823
hiring_manager: petrosagg; similarity_score: 0.91823
hiring_manager: Blackthorn; similarity_score: 0.91823
hiring_manager: tobinharris; similarity_score: 0.91249
hiring_manager: jerematasno; similarity_score: 0.91249
hiring_manager: timanglade; similarity_score: 0.90123
hiring_manager: zerr; similarity_score: 0.90123
hiring_manager: geverett; similarity_score: 0.90123
hiring_manager: frabcus; similarity_score: 0.90122
hiring_manager: rememberlenny; similarity_score: 0.90122
hiring_manager: toreriklinnerud; similarity_score: 0.90122
hiring_manager: miles932; similarity_score: 0.89569
hiring_manager: manpageman; similarity_score: 0.89024
hiring_manager: untilHellbanned; similarity_score: 0.88484
hiring_manager: milewska; similarity_score: 0.88484
hiring_manager: greenjellybean; similarity_score: 0.88483
hiring_manager: reubendoetsch; similarity_score: 0.87951
hiring_manager: g06; similarity_score: 0.87424
hiring_manager: doxcf434; similarity_score: 0.87424
hiring_manager: dalys; similarity_score: 0.86904
hiring_manager: lesleyann25; similarity_score: 0.86903
hiring_manager: spot; similarity_score: 0.86390
hiring_manager: edent; similarity_score: 0.86390
hiring_manager: yavery; similarity_score: 0.85882
hiring_manager: cllns; similarity_score: 0.85881
hiring_manager: beaverfox; similarity_score: 0.85881
hiring_manager: darrennix; similarity_score: 0.85380
hiring_manager: pouloum78; similarity_score: 0.85379
hiring_manager: S4M; similarity_score: 0.84883
hiring_manager: justhw; similarity_score: 0.84883
hiring_manager: ninetax; similarity_score: 0.84393
hiring_manager: roybarberuk; similarity_score: 0.84392
hiring_manager: feverishaaron; similarity_score: 0.82953
hiring_manager: ugh123; similarity_score: 0.82953
hiring_manager: k1w1; similarity_score: 0.82485
hiring_manager: burnout1540; similarity_score: 0.81563
hiring_manager: samuelbrin; similarity_score: 0.81111
hiring_manager: finnh; similarity_score: 0.80662
hiring_manager: imdane; similarity_score: 0.80662
hiring_manager: lbo; similarity_score: 0.80662
hiring_manager: amac; similarity_score: 0.80662
hiring_manager: murtza; similarity_score: 0.80219
hiring_manager: biomimic; similarity_score: 0.80219
hiring_manager: jorgecastillo; similarity_score: 0.79781
hiring_manager: edziubudzik; similarity_score: 0.79780
hiring_manager: jack7890; similarity_score: 0.79347
hiring_manager: pohungc; similarity_score: 0.79346
hiring_manager: pwman; similarity_score: 0.78917
hiring_manager: kefeizhou; similarity_score: 0.78493
hiring_manager: ehberger; similarity_score: 0.78074
hiring_manager: realdlee; similarity_score: 0.77659
hiring_manager: frb; similarity_score: 0.77658
hiring_manager: marybheine; similarity_score: 0.77248
hiring_manager: rfergie; similarity_score: 0.76841
hiring_manager: 7Figures2Commas; similarity_score: 0.76439
hiring_manager: statictype; similarity_score: 0.76439
hiring_manager: DustinCalim; similarity_score: 0.76439
hiring_manager: samingrassia; similarity_score: 0.76438
hiring_manager: ivanzhao; similarity_score: 0.76041
hiring_manager: 7parkdata; similarity_score: 0.76040
hiring_manager: jsaxton86; similarity_score: 0.75647
hiring_manager: kiyoto; similarity_score: 0.75257
hiring_manager: retrodict; similarity_score: 0.75257
hiring_manager: annalewis7; similarity_score: 0.75257
hiring_manager: lsee; similarity_score: 0.75257
hiring_manager: kevinschumacher; similarity_score: 0.74489
hiring_manager: damon_c; similarity_score: 0.74489
hiring_manager: drpancake; similarity_score: 0.74489
hiring_manager: yegg; similarity_score: 0.74110
hiring_manager: wattenberger; similarity_score: 0.74110
hiring_manager: carlatqueue; similarity_score: 0.74110
hiring_manager: frisco; similarity_score: 0.73737
hiring_manager: andrewmb; similarity_score: 0.73736
hiring_manager: chrisdl; similarity_score: 0.73736
hiring_manager: uwemaurer; similarity_score: 0.73366
hiring_manager: TheMakeA; similarity_score: 0.72999
hiring_manager: artursapek; similarity_score: 0.72999
hiring_manager: spooneybarger; similarity_score: 0.72999
hiring_manager: mattnguyen; similarity_score: 0.72999
hiring_manager: Equiet; similarity_score: 0.72636
hiring_manager: mmelin; similarity_score: 0.72636
hiring_manager: eric_romo; similarity_score: 0.72636
hiring_manager: brettz; similarity_score: 0.72277
hiring_manager: paradox95; similarity_score: 0.72276
hiring_manager: dbuxton; similarity_score: 0.71920
hiring_manager: robg; similarity_score: 0.71568
hiring_manager: jszumski; similarity_score: 0.71218
hiring_manager: encore2097; similarity_score: 0.71218
hiring_manager: yonibaciu1; similarity_score: 0.70531
hiring_manager: nschuett; similarity_score: 0.70530
hiring_manager: morgante; similarity_score: 0.70191
hiring_manager: florianf; similarity_score: 0.69855
hiring_manager: asanwal; similarity_score: 0.69523
hiring_manager: matlock; similarity_score: 0.69194
hiring_manager: dmritard96; similarity_score: 0.69194
hiring_manager: austinhallock; similarity_score: 0.69193
hiring_manager: vtuulos; similarity_score: 0.69193
hiring_manager: fuelfive; similarity_score: 0.69193
hiring_manager: maramaemartin; similarity_score: 0.68223
hiring_manager: gajomi; similarity_score: 0.67906
hiring_manager: cjbarber; similarity_score: 0.67906
hiring_manager: johnnyg; similarity_score: 0.67906
hiring_manager: rasengan; similarity_score: 0.67906
hiring_manager: wdewind; similarity_score: 0.67592
hiring_manager: alphast0rm; similarity_score: 0.67591
hiring_manager: dangoldin; similarity_score: 0.67280
hiring_manager: myom; similarity_score: 0.66972
hiring_manager: baran; similarity_score: 0.66972
hiring_manager: kdavari; similarity_score: 0.66972
hiring_manager: fchollet; similarity_score: 0.66971
hiring_manager: FUSAR_rs; similarity_score: 0.66971
hiring_manager: alexk; similarity_score: 0.66971
hiring_manager: peter_mcrae; similarity_score: 0.66666
hiring_manager: espinchi; similarity_score: 0.66666
hiring_manager: hgrttn; similarity_score: 0.66363
hiring_manager: wiredd; similarity_score: 0.66363
hiring_manager: jdjdjd; similarity_score: 0.66362
hiring_manager: Renat; similarity_score: 0.66063
hiring_manager: ben336; similarity_score: 0.66062
hiring_manager: Mynar; similarity_score: 0.65765
hiring_manager: Symbol; similarity_score: 0.65765
hiring_manager: edawerd; similarity_score: 0.65764
hiring_manager: jjnvdm; similarity_score: 0.65469
hiring_manager: sidjoshi; similarity_score: 0.65178
hiring_manager: geori; similarity_score: 0.65178
hiring_manager: choult; similarity_score: 0.65177
hiring_manager: BGCivis; similarity_score: 0.64601
hiring_manager: propellerhat; similarity_score: 0.64601
hiring_manager: salar; similarity_score: 0.64601
hiring_manager: JayNeely; similarity_score: 0.64317
