job_seeker: vdimarco; similarity_score: 0.96969
job_seeker: new_user_name; similarity_score: 0.96644
job_seeker: FiddlerClamp; similarity_score: 0.96643
job_seeker: hannes2000; similarity_score: 0.96643
job_seeker: ainiriand; similarity_score: 0.96321
job_seeker: yowmamasita; similarity_score: 0.96321
job_seeker: mishkovski; similarity_score: 0.96321
job_seeker: dsfreed; similarity_score: 0.96321
job_seeker: colsandurz; similarity_score: 0.96320
job_seeker: quiqueqs; similarity_score: 0.95999
job_seeker: RamunasM; similarity_score: 0.95999
job_seeker: torkable; similarity_score: 0.95999
job_seeker: SerialMiller; similarity_score: 0.95999
job_seeker: batjaa; similarity_score: 0.95680
job_seeker: saigrandhi; similarity_score: 0.95680
job_seeker: Stamy; similarity_score: 0.95680
job_seeker: egorbatik; similarity_score: 0.95364
job_seeker: frontsideair; similarity_score: 0.95363
job_seeker: wmil; similarity_score: 0.95049
job_seeker: gkelly; similarity_score: 0.95048
job_seeker: jdbiggs; similarity_score: 0.94736
job_seeker: pluc; similarity_score: 0.94736
job_seeker: domedefelice; similarity_score: 0.94736
job_seeker: jbza; similarity_score: 0.94736
job_seeker: sauravt; similarity_score: 0.94736
job_seeker: Hobart116; similarity_score: 0.94735
job_seeker: greenjellybean; similarity_score: 0.94426
job_seeker: jivux; similarity_score: 0.94425
job_seeker: phish; similarity_score: 0.94117
job_seeker: webjac; similarity_score: 0.94117
job_seeker: pknerd; similarity_score: 0.94117
job_seeker: jokoon; similarity_score: 0.94116
job_seeker: agurha; similarity_score: 0.93810
job_seeker: hyunwoona; similarity_score: 0.93810
job_seeker: sharmanaetor; similarity_score: 0.93810
job_seeker: chad_strategic; similarity_score: 0.93506
job_seeker: anujpasricha; similarity_score: 0.93203
job_seeker: yesyesnooo; similarity_score: 0.93203
job_seeker: harrychenca; similarity_score: 0.92903
job_seeker: v1ct0r; similarity_score: 0.92902
job_seeker: speeder; similarity_score: 0.92902
job_seeker: sfythe; similarity_score: 0.92603
job_seeker: Nullslash; similarity_score: 0.92307
job_seeker: srpoder; similarity_score: 0.92306
job_seeker: ucacian; similarity_score: 0.92012
job_seeker: ryanjanvier; similarity_score: 0.92011
job_seeker: gothy; similarity_score: 0.92011
job_seeker: nicopace; similarity_score: 0.91719
job_seeker: JoshuaDavid; similarity_score: 0.91719
job_seeker: ownagefool; similarity_score: 0.91719
job_seeker: asfarley; similarity_score: 0.91719
job_seeker: mariocesar; similarity_score: 0.91428
job_seeker: 3zzy; similarity_score: 0.91427
job_seeker: claudiordgz; similarity_score: 0.91139
job_seeker: rogerbinns; similarity_score: 0.91138
job_seeker: 2close4comfort; similarity_score: 0.90851
job_seeker: kidsil; similarity_score: 0.90851
job_seeker: philippnagel; similarity_score: 0.90851
job_seeker: waiquoo; similarity_score: 0.90850
job_seeker: hiby007; similarity_score: 0.90850
job_seeker: codez; similarity_score: 0.90565
job_seeker: japesinator; similarity_score: 0.90565
job_seeker: ryaneager; similarity_score: 0.90565
job_seeker: thomasfromcdnjs; similarity_score: 0.90281
job_seeker: mateja; similarity_score: 0.90281
job_seeker: nubcakes; similarity_score: 0.90281
job_seeker: rahulroy; similarity_score: 0.90281
job_seeker: Achshar; similarity_score: 0.89999
job_seeker: Grue3; similarity_score: 0.89999
job_seeker: 2bluesc; similarity_score: 0.89999
job_seeker: baggachipz; similarity_score: 0.89719
job_seeker: jecjec; similarity_score: 0.89719
job_seeker: cpursley; similarity_score: 0.89718
job_seeker: 32faction; similarity_score: 0.89718
job_seeker: toddrew; similarity_score: 0.89718
job_seeker: apsdehal; similarity_score: 0.89440
job_seeker: pablokbs; similarity_score: 0.89440
job_seeker: zachcowell; similarity_score: 0.89440
job_seeker: Cyranix; similarity_score: 0.89440
job_seeker: TapanilaT; similarity_score: 0.89163
job_seeker: keane; similarity_score: 0.89163
job_seeker: bruticus; similarity_score: 0.88888
job_seeker: gsamm; similarity_score: 0.88888
job_seeker: beanmind; similarity_score: 0.88888
job_seeker: cday; similarity_score: 0.88888
job_seeker: cswelin; similarity_score: 0.88887
job_seeker: mtdavis; similarity_score: 0.88615
job_seeker: lukasLansky; similarity_score: 0.88615
job_seeker: asethwright; similarity_score: 0.88614
job_seeker: J_Darnley; similarity_score: 0.88343
job_seeker: yen223; similarity_score: 0.88343
job_seeker: fvinci; similarity_score: 0.88342
job_seeker: Daves; similarity_score: 0.88342
job_seeker: darsi; similarity_score: 0.88073
job_seeker: akama; similarity_score: 0.88072
job_seeker: sfteus; similarity_score: 0.87804
job_seeker: csorrell; similarity_score: 0.87804
job_seeker: BenderV; similarity_score: 0.87537
job_seeker: keraj; similarity_score: 0.87537
job_seeker: ealeksandrov; similarity_score: 0.87272
job_seeker: jan0e; similarity_score: 0.87272
job_seeker: gmoneynj2000; similarity_score: 0.87271
job_seeker: bluerobotcat; similarity_score: 0.87009
job_seeker: ddebernardy; similarity_score: 0.87008
job_seeker: dyadic; similarity_score: 0.87008
job_seeker: nt_tdc; similarity_score: 0.87008
job_seeker: emillon; similarity_score: 0.87008
job_seeker: paulojreis; similarity_score: 0.87008
job_seeker: navait; similarity_score: 0.87008
job_seeker: hayolie; similarity_score: 0.86746
job_seeker: yzzxy; similarity_score: 0.86486
job_seeker: Jarlakxen; similarity_score: 0.86485
job_seeker: tomaskazemekas; similarity_score: 0.86226
job_seeker: 67726e; similarity_score: 0.85969
job_seeker: schneidmaster; similarity_score: 0.85206
job_seeker: jw989; similarity_score: 0.85206
job_seeker: majodev; similarity_score: 0.85206
job_seeker: bcoates; similarity_score: 0.85206
job_seeker: domador; similarity_score: 0.84705
job_seeker: avyfain; similarity_score: 0.84456
job_seeker: Akkuma; similarity_score: 0.84210
job_seeker: iN7h33nD; similarity_score: 0.84209
job_seeker: zwetan; similarity_score: 0.83964
job_seeker: kparaju; similarity_score: 0.83719
job_seeker: sdernley; similarity_score: 0.83478
job_seeker: kirpekar; similarity_score: 0.83477
job_seeker: chrispecoraro; similarity_score: 0.83477
job_seeker: btbuildem; similarity_score: 0.83477
job_seeker: TheDom; similarity_score: 0.83236
job_seeker: hereonbusiness; similarity_score: 0.82996
job_seeker: osenar; similarity_score: 0.82996
job_seeker: valarauca1; similarity_score: 0.82996
job_seeker: RickS; similarity_score: 0.82521
job_seeker: siscia; similarity_score: 0.82520
job_seeker: acharnou; similarity_score: 0.82285
