hiring_manager: vseloved; similarity_score: 0.95651
hiring_manager: chad_strategic; similarity_score: 0.93616
hiring_manager: razvvan; similarity_score: 0.84614
hiring_manager: owainlewis; similarity_score: 0.83017
hiring_manager: omarforgotpwd; similarity_score: 0.77192
hiring_manager: redesignibm; similarity_score: 0.77192
hiring_manager: bnr; similarity_score: 0.75861
hiring_manager: andy; similarity_score: 0.70966
hiring_manager: ononoma; similarity_score: 0.69840
hiring_manager: yurisagalov; similarity_score: 0.68749
hiring_manager: lowglow; similarity_score: 0.68749
hiring_manager: CurtHagenlocher; similarity_score: 0.65670
hiring_manager: lgsilver; similarity_score: 0.61110
hiring_manager: tortillasauce; similarity_score: 0.60273
hiring_manager: hungryblank; similarity_score: 0.59459
hiring_manager: merinid; similarity_score: 0.59459
hiring_manager: dblock; similarity_score: 0.58666
hiring_manager: nicholaides; similarity_score: 0.57894
hiring_manager: mjhea0; similarity_score: 0.56410
hiring_manager: gshahlot; similarity_score: 0.56409
hiring_manager: acudmore; similarity_score: 0.56409
hiring_manager: robhunter; similarity_score: 0.56409
hiring_manager: jimmyrocks; similarity_score: 0.56409
hiring_manager: mattculbreth; similarity_score: 0.55696
hiring_manager: k1w1; similarity_score: 0.54999
hiring_manager: meifamous; similarity_score: 0.54999
hiring_manager: thisjody; similarity_score: 0.53657
hiring_manager: odiroot; similarity_score: 0.53011
hiring_manager: thehar; similarity_score: 0.53011
hiring_manager: samg; similarity_score: 0.52380
hiring_manager: brandnewlow; similarity_score: 0.51764
hiring_manager: murtza; similarity_score: 0.51764
hiring_manager: ehartsuyker; similarity_score: 0.51764
hiring_manager: jevans; similarity_score: 0.51162
hiring_manager: jack7890; similarity_score: 0.50574
hiring_manager: khaki54; similarity_score: 0.50573
hiring_manager: tomblomfield; similarity_score: 0.49437
hiring_manager: nathanh; similarity_score: 0.48888
hiring_manager: jauntvr_amy; similarity_score: 0.48888
hiring_manager: DustinCalim; similarity_score: 0.48888
hiring_manager: nerdz; similarity_score: 0.47825
hiring_manager: gavanwilhite; similarity_score: 0.46807
hiring_manager: macrosak; similarity_score: 0.46807
hiring_manager: 7parkdata; similarity_score: 0.46315
hiring_manager: mazzarello; similarity_score: 0.45833
hiring_manager: samingrassia; similarity_score: 0.45360
hiring_manager: Tarang; similarity_score: 0.44897
hiring_manager: martidumas; similarity_score: 0.44897
hiring_manager: pierreant_p; similarity_score: 0.44897
hiring_manager: scanr; similarity_score: 0.44444
hiring_manager: AndroidJedi; similarity_score: 0.44444
hiring_manager: kevinmchugh; similarity_score: 0.44444
hiring_manager: chrisdl; similarity_score: 0.44443
hiring_manager: ptlkitccat; similarity_score: 0.43563
hiring_manager: mazerj; similarity_score: 0.43136
hiring_manager: peawee; similarity_score: 0.42717
hiring_manager: qwerpoiuty; similarity_score: 0.42307
hiring_manager: logotype; similarity_score: 0.42307
hiring_manager: vimeojobs; similarity_score: 0.42307
hiring_manager: nahidalam; similarity_score: 0.41904
hiring_manager: yegg; similarity_score: 0.41903
hiring_manager: frb; similarity_score: 0.41903
hiring_manager: martinlanden; similarity_score: 0.41509
hiring_manager: lamplightr; similarity_score: 0.41508
hiring_manager: margiexu; similarity_score: 0.41121
hiring_manager: westi; similarity_score: 0.41121
hiring_manager: QTtech; similarity_score: 0.41120
hiring_manager: kiyoto; similarity_score: 0.40740
hiring_manager: jconnolly; similarity_score: 0.40366
hiring_manager: lennies; similarity_score: 0.40366
hiring_manager: robertpohl; similarity_score: 0.40366
hiring_manager: hazzadous; similarity_score: 0.39999
hiring_manager: workmarket; similarity_score: 0.39999
hiring_manager: morgante; similarity_score: 0.39639
hiring_manager: ryan_f; similarity_score: 0.39639
hiring_manager: austinhallock; similarity_score: 0.39639
hiring_manager: feverishaaron; similarity_score: 0.39638
hiring_manager: kenrose; similarity_score: 0.39638
hiring_manager: arthurgibson; similarity_score: 0.39638
hiring_manager: andrewlin; similarity_score: 0.39638
hiring_manager: a5huynh; similarity_score: 0.39285
hiring_manager: jscalisi; similarity_score: 0.39284
hiring_manager: saucelabs; similarity_score: 0.39284
hiring_manager: demac; similarity_score: 0.39284
hiring_manager: joekur; similarity_score: 0.38937
hiring_manager: scidev; similarity_score: 0.38596
hiring_manager: allbombs; similarity_score: 0.38596
hiring_manager: pzearfoss; similarity_score: 0.38596
hiring_manager: johnballjibe; similarity_score: 0.38260
hiring_manager: cpenner461; similarity_score: 0.38260
hiring_manager: Rodi; similarity_score: 0.38260
hiring_manager: drc37; similarity_score: 0.37930
hiring_manager: joe_fro; similarity_score: 0.37287
hiring_manager: wittedhaddock; similarity_score: 0.36974
hiring_manager: adamalix; similarity_score: 0.36974
hiring_manager: transitorykris; similarity_score: 0.36973
hiring_manager: pkrein; similarity_score: 0.36666
hiring_manager: USNetizen; similarity_score: 0.36666
hiring_manager: dmritard96; similarity_score: 0.36666
hiring_manager: jasoncartwright; similarity_score: 0.36362
hiring_manager: ben-deskpro; similarity_score: 0.36065
hiring_manager: salar; similarity_score: 0.35771
hiring_manager: chris_raptr; similarity_score: 0.35483
hiring_manager: hmpc; similarity_score: 0.35483
hiring_manager: sadadar; similarity_score: 0.35199
hiring_manager: drp; similarity_score: 0.35199
hiring_manager: mrw34; similarity_score: 0.35199
hiring_manager: wadenick; similarity_score: 0.34920
hiring_manager: tristanz; similarity_score: 0.34920
hiring_manager: robg; similarity_score: 0.34920
