job_seeker: vdimarco; similarity_score: 0.91595
job_seeker: hannes2000; similarity_score: 0.91595
job_seeker: FiddlerClamp; similarity_score: 0.90832
job_seeker: colsandurz; similarity_score: 0.90832
job_seeker: torkable; similarity_score: 0.90082
job_seeker: ainiriand; similarity_score: 0.90082
job_seeker: yowmamasita; similarity_score: 0.90082
job_seeker: quiqueqs; similarity_score: 0.90082
job_seeker: new_user_name; similarity_score: 0.90081
job_seeker: mishkovski; similarity_score: 0.89344
job_seeker: Stamy; similarity_score: 0.88617
job_seeker: gkelly; similarity_score: 0.88617
job_seeker: dsfreed; similarity_score: 0.88616
job_seeker: RamunasM; similarity_score: 0.88616
job_seeker: wmil; similarity_score: 0.87902
job_seeker: Hobart116; similarity_score: 0.87902
job_seeker: pluc; similarity_score: 0.87902
job_seeker: SerialMiller; similarity_score: 0.87902
job_seeker: egorbatik; similarity_score: 0.87902
job_seeker: batjaa; similarity_score: 0.87199
job_seeker: saigrandhi; similarity_score: 0.87199
job_seeker: jivux; similarity_score: 0.86507
job_seeker: jbza; similarity_score: 0.86507
job_seeker: phish; similarity_score: 0.86507
job_seeker: jdbiggs; similarity_score: 0.86507
job_seeker: jokoon; similarity_score: 0.85826
job_seeker: frontsideair; similarity_score: 0.85826
job_seeker: sauravt; similarity_score: 0.85826
job_seeker: pknerd; similarity_score: 0.85825
job_seeker: domedefelice; similarity_score: 0.85156
job_seeker: hyunwoona; similarity_score: 0.85155
job_seeker: agurha; similarity_score: 0.84495
job_seeker: anujpasricha; similarity_score: 0.83845
job_seeker: speeder; similarity_score: 0.83845
job_seeker: sharmanaetor; similarity_score: 0.82575
job_seeker: webjac; similarity_score: 0.82575
job_seeker: chad_strategic; similarity_score: 0.82575
job_seeker: greenjellybean; similarity_score: 0.82575
job_seeker: yesyesnooo; similarity_score: 0.82575
job_seeker: v1ct0r; similarity_score: 0.81954
job_seeker: harrychenca; similarity_score: 0.81343
job_seeker: JoshuaDavid; similarity_score: 0.81342
job_seeker: Nullslash; similarity_score: 0.80740
job_seeker: sfythe; similarity_score: 0.80739
job_seeker: asfarley; similarity_score: 0.80146
job_seeker: srpoder; similarity_score: 0.79561
job_seeker: mariocesar; similarity_score: 0.78985
