job_seeker: hannes2000; similarity_score: 0.93547
job_seeker: vdimarco; similarity_score: 0.92948
job_seeker: colsandurz; similarity_score: 0.92948
job_seeker: FiddlerClamp; similarity_score: 0.92947
job_seeker: torkable; similarity_score: 0.92356
job_seeker: quiqueqs; similarity_score: 0.92356
job_seeker: ainiriand; similarity_score: 0.92356
job_seeker: yowmamasita; similarity_score: 0.92355
job_seeker: new_user_name; similarity_score: 0.92355
job_seeker: mishkovski; similarity_score: 0.91772
job_seeker: gkelly; similarity_score: 0.91772
job_seeker: SerialMiller; similarity_score: 0.91771
job_seeker: egorbatik; similarity_score: 0.91194
job_seeker: jdbiggs; similarity_score: 0.91194
job_seeker: RamunasM; similarity_score: 0.91194
job_seeker: Stamy; similarity_score: 0.91194
job_seeker: pluc; similarity_score: 0.90624
job_seeker: Hobart116; similarity_score: 0.90624
job_seeker: batjaa; similarity_score: 0.90624
job_seeker: dsfreed; similarity_score: 0.90624
job_seeker: jbza; similarity_score: 0.90061
job_seeker: saigrandhi; similarity_score: 0.90061
job_seeker: sauravt; similarity_score: 0.90061
job_seeker: wmil; similarity_score: 0.90061
job_seeker: phish; similarity_score: 0.89505
job_seeker: domedefelice; similarity_score: 0.89505
job_seeker: hyunwoona; similarity_score: 0.88956
job_seeker: frontsideair; similarity_score: 0.88956
job_seeker: jokoon; similarity_score: 0.88956
job_seeker: jivux; similarity_score: 0.88956
job_seeker: pknerd; similarity_score: 0.88414
job_seeker: agurha; similarity_score: 0.87878
job_seeker: yesyesnooo; similarity_score: 0.87349
job_seeker: sharmanaetor; similarity_score: 0.87349
job_seeker: chad_strategic; similarity_score: 0.86826
job_seeker: greenjellybean; similarity_score: 0.86826
job_seeker: speeder; similarity_score: 0.86825
job_seeker: anujpasricha; similarity_score: 0.86825
job_seeker: harrychenca; similarity_score: 0.86308
job_seeker: webjac; similarity_score: 0.86308
job_seeker: JoshuaDavid; similarity_score: 0.85798
job_seeker: ownagefool; similarity_score: 0.85293
job_seeker: v1ct0r; similarity_score: 0.85293
job_seeker: sfythe; similarity_score: 0.85293
job_seeker: asfarley; similarity_score: 0.83815
job_seeker: Nullslash; similarity_score: 0.83814
job_seeker: japesinator; similarity_score: 0.83332
job_seeker: mariocesar; similarity_score: 0.83332
job_seeker: srpoder; similarity_score: 0.83332
job_seeker: rogerbinns; similarity_score: 0.83332
job_seeker: ucacian; similarity_score: 0.82856
job_seeker: waiquoo; similarity_score: 0.82856
job_seeker: baggachipz; similarity_score: 0.82386
job_seeker: claudiordgz; similarity_score: 0.82386
job_seeker: zachcowell; similarity_score: 0.82385
job_seeker: nubcakes; similarity_score: 0.82385
job_seeker: ryaneager; similarity_score: 0.81920
job_seeker: ryanjanvier; similarity_score: 0.81920
job_seeker: 3zzy; similarity_score: 0.81920
job_seeker: 32faction; similarity_score: 0.81920
job_seeker: nicopace; similarity_score: 0.81460
job_seeker: gothy; similarity_score: 0.81459
job_seeker: rahulroy; similarity_score: 0.81005
job_seeker: pablokbs; similarity_score: 0.81005
job_seeker: Grue3; similarity_score: 0.81005
