hiring_manager: vseloved; similarity_score: 0.97802
hiring_manager: chad_strategic; similarity_score: 0.97802
hiring_manager: razvvan; similarity_score: 0.91752
hiring_manager: owainlewis; similarity_score: 0.91752
hiring_manager: redesignibm; similarity_score: 0.88118
hiring_manager: omarforgotpwd; similarity_score: 0.87254
hiring_manager: andy; similarity_score: 0.86407
hiring_manager: bnr; similarity_score: 0.86406
hiring_manager: ononoma; similarity_score: 0.83177
hiring_manager: yurisagalov; similarity_score: 0.82406
hiring_manager: lowglow; similarity_score: 0.81650
hiring_manager: CurtHagenlocher; similarity_score: 0.80179
hiring_manager: lgsilver; similarity_score: 0.79463
hiring_manager: mjhea0; similarity_score: 0.77390
hiring_manager: gshahlot; similarity_score: 0.76723
hiring_manager: tortillasauce; similarity_score: 0.76068
hiring_manager: merinid; similarity_score: 0.75423
hiring_manager: mattculbreth; similarity_score: 0.75422
hiring_manager: dblock; similarity_score: 0.74789
hiring_manager: hungryblank; similarity_score: 0.74789
hiring_manager: nicholaides; similarity_score: 0.74166
hiring_manager: jimmyrocks; similarity_score: 0.73553
hiring_manager: thisjody; similarity_score: 0.72950
hiring_manager: acudmore; similarity_score: 0.72950
hiring_manager: meifamous; similarity_score: 0.72950
hiring_manager: robhunter; similarity_score: 0.72357
hiring_manager: samg; similarity_score: 0.71773
hiring_manager: k1w1; similarity_score: 0.71199
hiring_manager: odiroot; similarity_score: 0.71199
hiring_manager: thehar; similarity_score: 0.70634
hiring_manager: jevans; similarity_score: 0.70078
hiring_manager: khaki54; similarity_score: 0.70078
hiring_manager: ehartsuyker; similarity_score: 0.70077
hiring_manager: brandnewlow; similarity_score: 0.69530
hiring_manager: jack7890; similarity_score: 0.69530
hiring_manager: murtza; similarity_score: 0.68461
hiring_manager: nerdz; similarity_score: 0.68461
hiring_manager: tomblomfield; similarity_score: 0.68461
hiring_manager: nathanh; similarity_score: 0.67424
hiring_manager: DustinCalim; similarity_score: 0.66916
hiring_manager: 7parkdata; similarity_score: 0.66417
hiring_manager: gavanwilhite; similarity_score: 0.65925
hiring_manager: jauntvr_amy; similarity_score: 0.65440
hiring_manager: samingrassia; similarity_score: 0.65440
hiring_manager: macrosak; similarity_score: 0.65440
hiring_manager: pierreant_p; similarity_score: 0.64962
hiring_manager: mazzarello; similarity_score: 0.64962
hiring_manager: AndroidJedi; similarity_score: 0.64492
hiring_manager: Tarang; similarity_score: 0.64492
hiring_manager: chrisdl; similarity_score: 0.64491
hiring_manager: ptlkitccat; similarity_score: 0.64028
hiring_manager: martidumas; similarity_score: 0.64028
hiring_manager: scanr; similarity_score: 0.64027
hiring_manager: mazerj; similarity_score: 0.63571
hiring_manager: kevinmchugh; similarity_score: 0.63571
hiring_manager: frb; similarity_score: 0.62675
hiring_manager: logotype; similarity_score: 0.61804
hiring_manager: qwerpoiuty; similarity_score: 0.61804
hiring_manager: margiexu; similarity_score: 0.61378
hiring_manager: QTtech; similarity_score: 0.61378
hiring_manager: martinlanden; similarity_score: 0.60958
hiring_manager: jconnolly; similarity_score: 0.60543
hiring_manager: peawee; similarity_score: 0.60543
hiring_manager: westi; similarity_score: 0.60543
hiring_manager: morgante; similarity_score: 0.60543
hiring_manager: vimeojobs; similarity_score: 0.60134
hiring_manager: yegg; similarity_score: 0.60134
hiring_manager: arthurgibson; similarity_score: 0.59731
hiring_manager: ryan_f; similarity_score: 0.59731
hiring_manager: lamplightr; similarity_score: 0.59730
hiring_manager: kiyoto; similarity_score: 0.59730
hiring_manager: robertpohl; similarity_score: 0.59333
hiring_manager: nahidalam; similarity_score: 0.59333
hiring_manager: feverishaaron; similarity_score: 0.59332
hiring_manager: hazzadous; similarity_score: 0.59332
hiring_manager: lennies; similarity_score: 0.58940
hiring_manager: jscalisi; similarity_score: 0.58940
hiring_manager: a5huynh; similarity_score: 0.58940
hiring_manager: kenrose; similarity_score: 0.58552
hiring_manager: scidev; similarity_score: 0.58552
hiring_manager: workmarket; similarity_score: 0.58169
hiring_manager: drc37; similarity_score: 0.58169
hiring_manager: pzearfoss; similarity_score: 0.58169
hiring_manager: austinhallock; similarity_score: 0.58169
hiring_manager: transitorykris; similarity_score: 0.57792
hiring_manager: johnballjibe; similarity_score: 0.57791
hiring_manager: allbombs; similarity_score: 0.57791
hiring_manager: andrewlin; similarity_score: 0.57419
hiring_manager: demac; similarity_score: 0.57419
hiring_manager: cpenner461; similarity_score: 0.57051
hiring_manager: joe_fro; similarity_score: 0.57050
hiring_manager: joekur; similarity_score: 0.57050
hiring_manager: drp; similarity_score: 0.57050
hiring_manager: Rodi; similarity_score: 0.57050
hiring_manager: USNetizen; similarity_score: 0.56687
hiring_manager: adamalix; similarity_score: 0.56687
hiring_manager: saucelabs; similarity_score: 0.56328
hiring_manager: jasoncartwright; similarity_score: 0.56328
hiring_manager: pkrein; similarity_score: 0.55974
hiring_manager: wittedhaddock; similarity_score: 0.55974
hiring_manager: salar; similarity_score: 0.55279
hiring_manager: dmritard96; similarity_score: 0.55278
hiring_manager: sadadar; similarity_score: 0.54938
hiring_manager: tristanz; similarity_score: 0.54600
