job_seeker: FiddlerClamp; similarity_score: 0.94185
job_seeker: hannes2000; similarity_score: 0.94185
job_seeker: colsandurz; similarity_score: 0.93641
job_seeker: vdimarco; similarity_score: 0.93641
job_seeker: yowmamasita; similarity_score: 0.93103
job_seeker: quiqueqs; similarity_score: 0.93102
job_seeker: ainiriand; similarity_score: 0.93102
job_seeker: new_user_name; similarity_score: 0.92571
job_seeker: mishkovski; similarity_score: 0.92571
job_seeker: torkable; similarity_score: 0.92571
job_seeker: wmil; similarity_score: 0.92570
job_seeker: jivux; similarity_score: 0.92044
job_seeker: Hobart116; similarity_score: 0.91525
job_seeker: Stamy; similarity_score: 0.91525
job_seeker: dsfreed; similarity_score: 0.91525
job_seeker: RamunasM; similarity_score: 0.91524
job_seeker: saigrandhi; similarity_score: 0.91524
job_seeker: SerialMiller; similarity_score: 0.91011
job_seeker: gkelly; similarity_score: 0.91011
job_seeker: batjaa; similarity_score: 0.91010
job_seeker: egorbatik; similarity_score: 0.91010
job_seeker: pluc; similarity_score: 0.91010
job_seeker: sauravt; similarity_score: 0.90501
job_seeker: frontsideair; similarity_score: 0.89999
job_seeker: jdbiggs; similarity_score: 0.89999
job_seeker: phish; similarity_score: 0.89999
job_seeker: agurha; similarity_score: 0.89999
job_seeker: jokoon; similarity_score: 0.89502
job_seeker: pknerd; similarity_score: 0.89502
job_seeker: sharmanaetor; similarity_score: 0.89502
job_seeker: jbza; similarity_score: 0.89502
job_seeker: hyunwoona; similarity_score: 0.89010
job_seeker: domedefelice; similarity_score: 0.88524
job_seeker: anujpasricha; similarity_score: 0.88524
job_seeker: yesyesnooo; similarity_score: 0.88043
job_seeker: greenjellybean; similarity_score: 0.87567
job_seeker: speeder; similarity_score: 0.87567
job_seeker: webjac; similarity_score: 0.87566
job_seeker: chad_strategic; similarity_score: 0.87096
job_seeker: sfythe; similarity_score: 0.87096
job_seeker: harrychenca; similarity_score: 0.87095
job_seeker: srpoder; similarity_score: 0.86630
job_seeker: Nullslash; similarity_score: 0.86630
job_seeker: v1ct0r; similarity_score: 0.86170
job_seeker: ucacian; similarity_score: 0.86169
job_seeker: JoshuaDavid; similarity_score: 0.85713
job_seeker: nicopace; similarity_score: 0.85263
job_seeker: ownagefool; similarity_score: 0.84815
job_seeker: claudiordgz; similarity_score: 0.84815
