job_seeker: hannes2000; similarity_score: 0.79245
job_seeker: FiddlerClamp; similarity_score: 0.77777
job_seeker: torkable; similarity_score: 0.76363
job_seeker: colsandurz; similarity_score: 0.76363
job_seeker: vdimarco; similarity_score: 0.76363
job_seeker: new_user_name; similarity_score: 0.76363
job_seeker: quiqueqs; similarity_score: 0.76362
job_seeker: ainiriand; similarity_score: 0.76362
job_seeker: mishkovski; similarity_score: 0.74999
job_seeker: yowmamasita; similarity_score: 0.74999
job_seeker: dsfreed; similarity_score: 0.73683
job_seeker: RamunasM; similarity_score: 0.72413
job_seeker: Stamy; similarity_score: 0.72413
job_seeker: SerialMiller; similarity_score: 0.72412
job_seeker: batjaa; similarity_score: 0.71186
job_seeker: saigrandhi; similarity_score: 0.71186
job_seeker: egorbatik; similarity_score: 0.71186
job_seeker: wmil; similarity_score: 0.71186
job_seeker: sauravt; similarity_score: 0.71185
job_seeker: gkelly; similarity_score: 0.69999
job_seeker: pluc; similarity_score: 0.69999
job_seeker: Hobart116; similarity_score: 0.69999
job_seeker: phish; similarity_score: 0.68852
job_seeker: jdbiggs; similarity_score: 0.68852
job_seeker: jbza; similarity_score: 0.68851
job_seeker: jivux; similarity_score: 0.67741
job_seeker: pknerd; similarity_score: 0.66666
job_seeker: jokoon; similarity_score: 0.66665
job_seeker: frontsideair; similarity_score: 0.66665
job_seeker: domedefelice; similarity_score: 0.65624
job_seeker: agurha; similarity_score: 0.65624
job_seeker: hyunwoona; similarity_score: 0.65624
job_seeker: sharmanaetor; similarity_score: 0.64615
job_seeker: yesyesnooo; similarity_score: 0.63636
job_seeker: webjac; similarity_score: 0.63635
job_seeker: anujpasricha; similarity_score: 0.63635
job_seeker: chad_strategic; similarity_score: 0.62685
job_seeker: v1ct0r; similarity_score: 0.61764
job_seeker: harrychenca; similarity_score: 0.61764
job_seeker: speeder; similarity_score: 0.61763
job_seeker: greenjellybean; similarity_score: 0.60869
job_seeker: sfythe; similarity_score: 0.60868
job_seeker: JoshuaDavid; similarity_score: 0.60868
job_seeker: Nullslash; similarity_score: 0.59154
job_seeker: srpoder; similarity_score: 0.58333
job_seeker: 3zzy; similarity_score: 0.57533
job_seeker: asfarley; similarity_score: 0.57533
job_seeker: ryanjanvier; similarity_score: 0.56756
job_seeker: claudiordgz; similarity_score: 0.56756
job_seeker: rogerbinns; similarity_score: 0.56756
job_seeker: mariocesar; similarity_score: 0.56756
job_seeker: ownagefool; similarity_score: 0.56756
job_seeker: ucacian; similarity_score: 0.56756
job_seeker: waiquoo; similarity_score: 0.56756
job_seeker: nicopace; similarity_score: 0.55999
job_seeker: ryaneager; similarity_score: 0.55262
job_seeker: gothy; similarity_score: 0.54545
job_seeker: Grue3; similarity_score: 0.53845
job_seeker: baggachipz; similarity_score: 0.53845
job_seeker: mateja; similarity_score: 0.53845
job_seeker: nubcakes; similarity_score: 0.53164
job_seeker: 32faction; similarity_score: 0.53163
job_seeker: Achshar; similarity_score: 0.52499
job_seeker: hiby007; similarity_score: 0.52499
job_seeker: rahulroy; similarity_score: 0.52499
job_seeker: 2bluesc; similarity_score: 0.52499
job_seeker: 2close4comfort; similarity_score: 0.52499
job_seeker: pablokbs; similarity_score: 0.51851
job_seeker: japesinator; similarity_score: 0.51851
job_seeker: thomasfromcdnjs; similarity_score: 0.51850
job_seeker: philippnagel; similarity_score: 0.51850
job_seeker: apsdehal; similarity_score: 0.51218
job_seeker: zachcowell; similarity_score: 0.50601
job_seeker: TapanilaT; similarity_score: 0.50601
job_seeker: jecjec; similarity_score: 0.50601
job_seeker: codez; similarity_score: 0.49999
job_seeker: kidsil; similarity_score: 0.49999
job_seeker: toddrew; similarity_score: 0.49999
job_seeker: cpursley; similarity_score: 0.49999
job_seeker: Cyranix; similarity_score: 0.49999
job_seeker: fvinci; similarity_score: 0.49411
job_seeker: bruticus; similarity_score: 0.49411
job_seeker: darsi; similarity_score: 0.49411
job_seeker: asethwright; similarity_score: 0.48836
job_seeker: jan0e; similarity_score: 0.48836
job_seeker: beanmind; similarity_score: 0.48836
job_seeker: cday; similarity_score: 0.48275
