job_seeker: trumbitta2; similarity_score: 0.99370
job_seeker: EddyShure; similarity_score: 0.99370
job_seeker: white0ut; similarity_score: 0.94047
job_seeker: papes; similarity_score: 0.92940
job_seeker: scool; similarity_score: 0.92940
job_seeker: HemantPawar; similarity_score: 0.91860
job_seeker: rayalez; similarity_score: 0.91859
job_seeker: it_learnses; similarity_score: 0.91329
job_seeker: knoxzin1; similarity_score: 0.91328
job_seeker: david04; similarity_score: 0.91328
job_seeker: developerbro; similarity_score: 0.90804
job_seeker: sam_rad; similarity_score: 0.90804
job_seeker: idlewan; similarity_score: 0.90803
job_seeker: colsandurz; similarity_score: 0.90285
job_seeker: csommers; similarity_score: 0.90285
job_seeker: enilsen16; similarity_score: 0.90284
job_seeker: phish; similarity_score: 0.89772
job_seeker: pknerd; similarity_score: 0.89771
job_seeker: notastartup; similarity_score: 0.89265
job_seeker: Stamy; similarity_score: 0.89264
job_seeker: pzz; similarity_score: 0.88763
job_seeker: asow92; similarity_score: 0.88763
job_seeker: cpursley; similarity_score: 0.88763
job_seeker: andrey_utkin; similarity_score: 0.88763
job_seeker: csbartus; similarity_score: 0.88268
job_seeker: coffee667; similarity_score: 0.88267
job_seeker: alexandregme; similarity_score: 0.88267
job_seeker: joshrael; similarity_score: 0.87292
job_seeker: albur; similarity_score: 0.87292
job_seeker: ddxv; similarity_score: 0.87292
job_seeker: thetwopct; similarity_score: 0.87292
job_seeker: sharmanaetor; similarity_score: 0.86812
job_seeker: spacial; similarity_score: 0.86812
job_seeker: shabinesh; similarity_score: 0.86812
job_seeker: dmichulke; similarity_score: 0.86338
job_seeker: sfythe; similarity_score: 0.85869
job_seeker: Grue3; similarity_score: 0.85869
job_seeker: ashkang; similarity_score: 0.85405
job_seeker: aivosha; similarity_score: 0.85404
job_seeker: siscia; similarity_score: 0.84945
job_seeker: madarve; similarity_score: 0.84945
job_seeker: rockoder; similarity_score: 0.84491
job_seeker: uladzislau; similarity_score: 0.84491
job_seeker: lukeqsee; similarity_score: 0.84042
job_seeker: gothy; similarity_score: 0.84041
job_seeker: hiby007; similarity_score: 0.83597
job_seeker: nogbit; similarity_score: 0.83596
job_seeker: mickt; similarity_score: 0.83157
job_seeker: krapp; similarity_score: 0.83157
job_seeker: dancole; similarity_score: 0.83157
job_seeker: 3zzy; similarity_score: 0.82722
job_seeker: gierach; similarity_score: 0.82721
job_seeker: dmaffett; similarity_score: 0.82291
job_seeker: apsdehal; similarity_score: 0.82291
job_seeker: chrisbrueck; similarity_score: 0.82290
job_seeker: rahulroy; similarity_score: 0.82290
job_seeker: zplesivcak; similarity_score: 0.82290
job_seeker: andrewmatte; similarity_score: 0.81442
job_seeker: lordsheepy; similarity_score: 0.81442
job_seeker: mateja; similarity_score: 0.81025
job_seeker: mdturnerphys; similarity_score: 0.81025
job_seeker: yen223; similarity_score: 0.81025
job_seeker: Widow; similarity_score: 0.81025
job_seeker: yangchi; similarity_score: 0.81025
job_seeker: dsposito; similarity_score: 0.81024
job_seeker: jecjec; similarity_score: 0.81024
job_seeker: brickmort; similarity_score: 0.80612
job_seeker: zero-g; similarity_score: 0.80611
job_seeker: BrofessorWolf; similarity_score: 0.79797
job_seeker: jayrobin; similarity_score: 0.79396
job_seeker: J_Darnley; similarity_score: 0.79396
job_seeker: asherdavidson; similarity_score: 0.78999
job_seeker: BenderV; similarity_score: 0.78999
job_seeker: arenaninja; similarity_score: 0.78606
job_seeker: keraj; similarity_score: 0.77832
job_seeker: chroman; similarity_score: 0.77832
job_seeker: agilebyte; similarity_score: 0.77450
job_seeker: qute; similarity_score: 0.77072
