job_seeker: vdimarco; similarity_score: 0.94923
job_seeker: hannes2000; similarity_score: 0.94923
job_seeker: FiddlerClamp; similarity_score: 0.94922
job_seeker: yowmamasita; similarity_score: 0.94444
job_seeker: colsandurz; similarity_score: 0.94443
job_seeker: dsfreed; similarity_score: 0.94443
job_seeker: torkable; similarity_score: 0.93969
job_seeker: quiqueqs; similarity_score: 0.93969
job_seeker: ainiriand; similarity_score: 0.93969
job_seeker: new_user_name; similarity_score: 0.93969
job_seeker: mishkovski; similarity_score: 0.93499
job_seeker: gkelly; similarity_score: 0.93499
job_seeker: Stamy; similarity_score: 0.93034
job_seeker: RamunasM; similarity_score: 0.93034
job_seeker: egorbatik; similarity_score: 0.92573
job_seeker: Hobart116; similarity_score: 0.92573
job_seeker: jivux; similarity_score: 0.92573
job_seeker: SerialMiller; similarity_score: 0.92573
job_seeker: pluc; similarity_score: 0.92118
job_seeker: wmil; similarity_score: 0.92117
job_seeker: batjaa; similarity_score: 0.92117
job_seeker: frontsideair; similarity_score: 0.92117
job_seeker: saigrandhi; similarity_score: 0.92117
job_seeker: jbza; similarity_score: 0.92117
job_seeker: sauravt; similarity_score: 0.91666
job_seeker: jdbiggs; similarity_score: 0.91666
job_seeker: phish; similarity_score: 0.91665
job_seeker: jokoon; similarity_score: 0.91219
job_seeker: pknerd; similarity_score: 0.91219
job_seeker: agurha; similarity_score: 0.91218
job_seeker: hyunwoona; similarity_score: 0.91218
job_seeker: greenjellybean; similarity_score: 0.90776
job_seeker: domedefelice; similarity_score: 0.90775
job_seeker: webjac; similarity_score: 0.90775
job_seeker: yesyesnooo; similarity_score: 0.89903
job_seeker: sharmanaetor; similarity_score: 0.89903
job_seeker: anujpasricha; similarity_score: 0.89903
job_seeker: chad_strategic; similarity_score: 0.89472
job_seeker: speeder; similarity_score: 0.89472
job_seeker: v1ct0r; similarity_score: 0.89047
job_seeker: sfythe; similarity_score: 0.89047
job_seeker: ryanjanvier; similarity_score: 0.89047
job_seeker: harrychenca; similarity_score: 0.88625
job_seeker: JoshuaDavid; similarity_score: 0.88624
job_seeker: Nullslash; similarity_score: 0.88207
job_seeker: ownagefool; similarity_score: 0.87792
job_seeker: claudiordgz; similarity_score: 0.87382
job_seeker: 3zzy; similarity_score: 0.87382
job_seeker: ucacian; similarity_score: 0.87382
job_seeker: asfarley; similarity_score: 0.87382
job_seeker: mariocesar; similarity_score: 0.87382
job_seeker: srpoder; similarity_score: 0.86976
job_seeker: gothy; similarity_score: 0.86975
job_seeker: thomasfromcdnjs; similarity_score: 0.86573
job_seeker: waiquoo; similarity_score: 0.86174
job_seeker: nicopace; similarity_score: 0.85779
job_seeker: rogerbinns; similarity_score: 0.85778
job_seeker: mateja; similarity_score: 0.85778
job_seeker: philippnagel; similarity_score: 0.85778
job_seeker: nubcakes; similarity_score: 0.85387
job_seeker: baggachipz; similarity_score: 0.85387
job_seeker: Achshar; similarity_score: 0.85387
job_seeker: japesinator; similarity_score: 0.85387
job_seeker: ryaneager; similarity_score: 0.84999
job_seeker: 2close4comfort; similarity_score: 0.84999
job_seeker: pablokbs; similarity_score: 0.84999
job_seeker: Grue3; similarity_score: 0.84999
job_seeker: 32faction; similarity_score: 0.84999
job_seeker: rahulroy; similarity_score: 0.84614
job_seeker: 2bluesc; similarity_score: 0.84614
job_seeker: zachcowell; similarity_score: 0.84614
job_seeker: cpursley; similarity_score: 0.84614
job_seeker: apsdehal; similarity_score: 0.84233
job_seeker: hiby007; similarity_score: 0.84233
job_seeker: beanmind; similarity_score: 0.83856
job_seeker: toddrew; similarity_score: 0.83856
job_seeker: TapanilaT; similarity_score: 0.83855
job_seeker: codez; similarity_score: 0.83855
job_seeker: kidsil; similarity_score: 0.83481
job_seeker: hayolie; similarity_score: 0.83111
job_seeker: yen223; similarity_score: 0.83110
job_seeker: gsamm; similarity_score: 0.83110
job_seeker: bruticus; similarity_score: 0.83110
job_seeker: asethwright; similarity_score: 0.83110
job_seeker: akama; similarity_score: 0.82742
job_seeker: darsi; similarity_score: 0.82742
job_seeker: ealeksandrov; similarity_score: 0.82742
job_seeker: Cyranix; similarity_score: 0.82742
job_seeker: keane; similarity_score: 0.82742
job_seeker: fvinci; similarity_score: 0.82378
job_seeker: cday; similarity_score: 0.82378
job_seeker: jecjec; similarity_score: 0.82378
job_seeker: cswelin; similarity_score: 0.82377
job_seeker: keraj; similarity_score: 0.82017
job_seeker: mtdavis; similarity_score: 0.81659
job_seeker: sfteus; similarity_score: 0.81659
job_seeker: lukasLansky; similarity_score: 0.81658
job_seeker: Daves; similarity_score: 0.81658
job_seeker: BenderV; similarity_score: 0.81658
job_seeker: jan0e; similarity_score: 0.81658
job_seeker: paulojreis; similarity_score: 0.81304
job_seeker: csorrell; similarity_score: 0.81303
job_seeker: J_Darnley; similarity_score: 0.81303
job_seeker: yzzxy; similarity_score: 0.81303
job_seeker: nt_tdc; similarity_score: 0.80952
job_seeker: bluerobotcat; similarity_score: 0.80952
job_seeker: ddebernardy; similarity_score: 0.80951
job_seeker: Jarlakxen; similarity_score: 0.80602
job_seeker: dyadic; similarity_score: 0.80602
job_seeker: gmoneynj2000; similarity_score: 0.80257
job_seeker: emillon; similarity_score: 0.80256
job_seeker: schneidmaster; similarity_score: 0.79573
job_seeker: 67726e; similarity_score: 0.78902
job_seeker: navait; similarity_score: 0.78902
job_seeker: jw989; similarity_score: 0.78902
job_seeker: tomaskazemekas; similarity_score: 0.78571
job_seeker: iN7h33nD; similarity_score: 0.77916
job_seeker: kparaju; similarity_score: 0.77272
job_seeker: bcoates; similarity_score: 0.77271
job_seeker: domador; similarity_score: 0.76638
job_seeker: avyfain; similarity_score: 0.76638
job_seeker: Akkuma; similarity_score: 0.76326
job_seeker: zwetan; similarity_score: 0.76016
job_seeker: chrispecoraro; similarity_score: 0.76015
job_seeker: kirpekar; similarity_score: 0.75708
job_seeker: TheDom; similarity_score: 0.75403
job_seeker: majodev; similarity_score: 0.75403
job_seeker: yoav; similarity_score: 0.75403
job_seeker: hereonbusiness; similarity_score: 0.75402
job_seeker: sdernley; similarity_score: 0.75402
job_seeker: btbuildem; similarity_score: 0.74799
job_seeker: valarauca1; similarity_score: 0.74799
job_seeker: sidmitra; similarity_score: 0.74799
job_seeker: osenar; similarity_score: 0.74205
job_seeker: mike-cardwell; similarity_score: 0.73912
job_seeker: joyofdata; similarity_score: 0.73912
job_seeker: siscia; similarity_score: 0.73912
job_seeker: AlexNeoNomad; similarity_score: 0.73912
job_seeker: acharnou; similarity_score: 0.73621
job_seeker: jrm2k6; similarity_score: 0.72761
job_seeker: richardhoward; similarity_score: 0.72480
job_seeker: HamboneWilson; similarity_score: 0.72200
job_seeker: throwaway83; similarity_score: 0.71647
job_seeker: eximius; similarity_score: 0.71102
job_seeker: jamesbrewer; similarity_score: 0.70565
job_seeker: howard941; similarity_score: 0.70299
job_seeker: madprops; similarity_score: 0.70037
job_seeker: saiko-chriskun; similarity_score: 0.69003
job_seeker: ryankevans; similarity_score: 0.68497
job_seeker: orteipid; similarity_score: 0.65156
job_seeker: Hario; similarity_score: 0.64260
job_seeker: lechuckcaptain; similarity_score: 0.63174
job_seeker: wyclif; similarity_score: 0.62750
job_seeker: KTamasEnty; similarity_score: 0.59743
job_seeker: tehwalrus; similarity_score: 0.57361
job_seeker: frazer; similarity_score: 0.57185
job_seeker: chrisbennet; similarity_score: 0.55324
job_seeker: astangl; similarity_score: 0.55161
job_seeker: batbomb; similarity_score: 0.50268
