hiring_manager: brettz; similarity_score: 29.9029
hiring_manager: 7parkdata; similarity_score: 27.6086
hiring_manager: toreriklinnerud; similarity_score: 26.8882
hiring_manager: amac; similarity_score: 25.6410
hiring_manager: spot; similarity_score: 24.7349
hiring_manager: reubendoetsch; similarity_score: 24.6498
hiring_manager: milewska; similarity_score: 24.2335
hiring_manager: lbo; similarity_score: 23.8979
hiring_manager: nichol4s; similarity_score: 23.8518
hiring_manager: cllns; similarity_score: 23.7654
hiring_manager: kiyoto; similarity_score: 23.4101
hiring_manager: pouloum78; similarity_score: 23.3196
hiring_manager: burnout1540; similarity_score: 23.3009
hiring_manager: ninetax; similarity_score: 23.2044
hiring_manager: FUSAR_rs; similarity_score: 23.1213
hiring_manager: kevinschumacher; similarity_score: 22.9235
hiring_manager: matlock; similarity_score: 22.9183
hiring_manager: artursapek; similarity_score: 22.8980
hiring_manager: spooneybarger; similarity_score: 22.8228
hiring_manager: kdavari; similarity_score: 22.7722
hiring_manager: samuelbrin; similarity_score: 22.4965
hiring_manager: beaverfox; similarity_score: 22.4961
hiring_manager: wdewind; similarity_score: 22.4799
hiring_manager: finnh; similarity_score: 22.2222
hiring_manager: lsee; similarity_score: 22.1601
hiring_manager: zerr; similarity_score: 22.0839
hiring_manager: retrodict; similarity_score: 22.0472
hiring_manager: jszumski; similarity_score: 22.0149
hiring_manager: chrisdl; similarity_score: 21.8302
hiring_manager: wattenberger; similarity_score: 21.7430
hiring_manager: yegg; similarity_score: 21.6269
hiring_manager: roybarberuk; similarity_score: 21.5712
hiring_manager: mburst; similarity_score: 21.5450
hiring_manager: Theranos; similarity_score: 21.5282
hiring_manager: propellerhat; similarity_score: 21.4138
hiring_manager: greenjellybean; similarity_score: 21.3414
hiring_manager: joanatello; similarity_score: 21.3026
hiring_manager: paradox95; similarity_score: 21.1502
hiring_manager: imdane; similarity_score: 21.1136
hiring_manager: jjnvdm; similarity_score: 21.0664
hiring_manager: marybheine; similarity_score: 20.8103
hiring_manager: frabcus; similarity_score: 20.7386
hiring_manager: Cyranix; similarity_score: 20.7357
hiring_manager: sam; similarity_score: 20.7073
hiring_manager: sciurus; similarity_score: 20.6278
hiring_manager: pwman; similarity_score: 20.5479
hiring_manager: rememberlenny; similarity_score: 20.3761
hiring_manager: stockninja; similarity_score: 20.0974
hiring_manager: drpancake; similarity_score: 20.0200
hiring_manager: untilHellbanned; similarity_score: 19.9121
hiring_manager: jack7890; similarity_score: 19.8347
hiring_manager: gsiener; similarity_score: 19.8296
hiring_manager: mateodelnorte; similarity_score: 19.8087
hiring_manager: pohungc; similarity_score: 19.7879
hiring_manager: mattnguyen; similarity_score: 19.7802
hiring_manager: eugeneiiim; similarity_score: 19.7165
hiring_manager: yonibaciu1; similarity_score: 19.6836
hiring_manager: johnnyg; similarity_score: 19.6581
hiring_manager: Equiet; similarity_score: 19.6116
hiring_manager: darrennix; similarity_score: 19.5187
hiring_manager: doxcf434; similarity_score: 19.3971
hiring_manager: miles932; similarity_score: 19.3436
hiring_manager: TheMakeA; similarity_score: 19.3181
hiring_manager: justhw; similarity_score: 19.2733
hiring_manager: realdlee; similarity_score: 19.2307
hiring_manager: alexose; similarity_score: 19.0967
hiring_manager: murtza; similarity_score: 19.0965
hiring_manager: geverett; similarity_score: 19.0476
hiring_manager: k1w1; similarity_score: 19.0217
hiring_manager: g06; similarity_score: 18.9944
hiring_manager: kefeizhou; similarity_score: 18.9917
hiring_manager: dmritard96; similarity_score: 18.9873
hiring_manager: asanwal; similarity_score: 18.9830
hiring_manager: rfergie; similarity_score: 18.9075
hiring_manager: mrbird; similarity_score: 18.8998
hiring_manager: hglaser; similarity_score: 18.7891
hiring_manager: dbuxton; similarity_score: 18.7613
hiring_manager: andrewmb; similarity_score: 18.6717
hiring_manager: frisco; similarity_score: 18.6459
hiring_manager: peter_mcrae; similarity_score: 18.6274
hiring_manager: carlatqueue; similarity_score: 18.6186
hiring_manager: escherize; similarity_score: 18.6147
hiring_manager: dangoldin; similarity_score: 18.6086
hiring_manager: ben336; similarity_score: 18.5888
hiring_manager: plaban123; similarity_score: 18.5606
hiring_manager: encore2097; similarity_score: 18.5393
hiring_manager: rasengan; similarity_score: 18.5185
hiring_manager: loganfrederick; similarity_score: 18.5159
hiring_manager: vtuulos; similarity_score: 18.4971
hiring_manager: knes; similarity_score: 18.3908
hiring_manager: chollida1; similarity_score: 18.2955
hiring_manager: ndonnellan; similarity_score: 18.2851
hiring_manager: maramaemartin; similarity_score: 18.1818
hiring_manager: grydstedt; similarity_score: 18.1695
hiring_manager: fuelfive; similarity_score: 18.1402
hiring_manager: feverishaaron; similarity_score: 18.0132
