job_seeker: hannes2000; similarity_score: 0.94151
job_seeker: FiddlerClamp; similarity_score: 0.93604
job_seeker: new_user_name; similarity_score: 0.93063
job_seeker: ainiriand; similarity_score: 0.93063
job_seeker: vdimarco; similarity_score: 0.93062
job_seeker: yowmamasita; similarity_score: 0.93062
job_seeker: colsandurz; similarity_score: 0.93062
job_seeker: quiqueqs; similarity_score: 0.93062
job_seeker: torkable; similarity_score: 0.92528
job_seeker: mishkovski; similarity_score: 0.92527
job_seeker: RamunasM; similarity_score: 0.91999
job_seeker: batjaa; similarity_score: 0.91477
job_seeker: dsfreed; similarity_score: 0.91477
job_seeker: SerialMiller; similarity_score: 0.91476
job_seeker: Stamy; similarity_score: 0.91476
job_seeker: egorbatik; similarity_score: 0.90960
job_seeker: Hobart116; similarity_score: 0.90959
job_seeker: wmil; similarity_score: 0.90959
job_seeker: saigrandhi; similarity_score: 0.90959
job_seeker: phish; similarity_score: 0.90449
job_seeker: sauravt; similarity_score: 0.90449
job_seeker: jbza; similarity_score: 0.90449
job_seeker: pluc; similarity_score: 0.90448
job_seeker: pknerd; similarity_score: 0.89943
job_seeker: agurha; similarity_score: 0.89943
job_seeker: jivux; similarity_score: 0.89943
job_seeker: gkelly; similarity_score: 0.89943
job_seeker: frontsideair; similarity_score: 0.89444
job_seeker: domedefelice; similarity_score: 0.89443
job_seeker: jokoon; similarity_score: 0.89443
job_seeker: jdbiggs; similarity_score: 0.89443
job_seeker: sharmanaetor; similarity_score: 0.88949
job_seeker: greenjellybean; similarity_score: 0.88949
job_seeker: yesyesnooo; similarity_score: 0.88461
job_seeker: hyunwoona; similarity_score: 0.88461
job_seeker: anujpasricha; similarity_score: 0.87977
job_seeker: speeder; similarity_score: 0.87977
job_seeker: harrychenca; similarity_score: 0.87977
job_seeker: v1ct0r; similarity_score: 0.87499
job_seeker: webjac; similarity_score: 0.87499
job_seeker: chad_strategic; similarity_score: 0.86558
job_seeker: sfythe; similarity_score: 0.86095
job_seeker: JoshuaDavid; similarity_score: 0.86095
job_seeker: ryanjanvier; similarity_score: 0.85184
job_seeker: mariocesar; similarity_score: 0.85184
job_seeker: claudiordgz; similarity_score: 0.85184
job_seeker: Nullslash; similarity_score: 0.85184
job_seeker: ucacian; similarity_score: 0.84293
job_seeker: ownagefool; similarity_score: 0.84292
job_seeker: srpoder; similarity_score: 0.84292
job_seeker: rogerbinns; similarity_score: 0.84292
job_seeker: gothy; similarity_score: 0.84292
job_seeker: asfarley; similarity_score: 0.84292
job_seeker: waiquoo; similarity_score: 0.83853
job_seeker: 3zzy; similarity_score: 0.83853
job_seeker: Grue3; similarity_score: 0.83853
job_seeker: ryaneager; similarity_score: 0.83853
job_seeker: rahulroy; similarity_score: 0.83418
job_seeker: nicopace; similarity_score: 0.82989
job_seeker: baggachipz; similarity_score: 0.82989
job_seeker: pablokbs; similarity_score: 0.82989
job_seeker: 2bluesc; similarity_score: 0.82564
