job_seeker: hannes2000; similarity_score: 0.93589
job_seeker: yowmamasita; similarity_score: 0.92993
job_seeker: vdimarco; similarity_score: 0.92992
job_seeker: colsandurz; similarity_score: 0.92992
job_seeker: FiddlerClamp; similarity_score: 0.92992
job_seeker: quiqueqs; similarity_score: 0.92404
job_seeker: ainiriand; similarity_score: 0.92404
job_seeker: new_user_name; similarity_score: 0.92404
job_seeker: mishkovski; similarity_score: 0.91823
job_seeker: torkable; similarity_score: 0.91822
job_seeker: RamunasM; similarity_score: 0.91249
job_seeker: Hobart116; similarity_score: 0.90683
job_seeker: gkelly; similarity_score: 0.90683
job_seeker: pluc; similarity_score: 0.90682
job_seeker: egorbatik; similarity_score: 0.90682
job_seeker: Stamy; similarity_score: 0.90682
job_seeker: batjaa; similarity_score: 0.90682
job_seeker: dsfreed; similarity_score: 0.90682
job_seeker: SerialMiller; similarity_score: 0.90123
job_seeker: wmil; similarity_score: 0.90123
job_seeker: saigrandhi; similarity_score: 0.90123
job_seeker: sauravt; similarity_score: 0.89570
job_seeker: frontsideair; similarity_score: 0.89570
job_seeker: jbza; similarity_score: 0.89570
job_seeker: jdbiggs; similarity_score: 0.89570
job_seeker: jivux; similarity_score: 0.89569
job_seeker: domedefelice; similarity_score: 0.89024
job_seeker: phish; similarity_score: 0.89024
job_seeker: jokoon; similarity_score: 0.89023
job_seeker: hyunwoona; similarity_score: 0.89023
job_seeker: pknerd; similarity_score: 0.88484
job_seeker: webjac; similarity_score: 0.88484
job_seeker: sharmanaetor; similarity_score: 0.88484
job_seeker: greenjellybean; similarity_score: 0.87951
job_seeker: yesyesnooo; similarity_score: 0.87951
job_seeker: agurha; similarity_score: 0.87425
job_seeker: anujpasricha; similarity_score: 0.87424
job_seeker: chad_strategic; similarity_score: 0.86904
job_seeker: harrychenca; similarity_score: 0.86390
job_seeker: sfythe; similarity_score: 0.86390
job_seeker: speeder; similarity_score: 0.85882
job_seeker: JoshuaDavid; similarity_score: 0.85881
job_seeker: Nullslash; similarity_score: 0.85379
job_seeker: v1ct0r; similarity_score: 0.85379
job_seeker: ucacian; similarity_score: 0.84883
job_seeker: claudiordgz; similarity_score: 0.84392
job_seeker: rogerbinns; similarity_score: 0.84392
job_seeker: asfarley; similarity_score: 0.83907
job_seeker: mariocesar; similarity_score: 0.83907
job_seeker: 3zzy; similarity_score: 0.83907
job_seeker: srpoder; similarity_score: 0.83907
job_seeker: ownagefool; similarity_score: 0.83428
job_seeker: gothy; similarity_score: 0.82954
job_seeker: ryaneager; similarity_score: 0.82485
job_seeker: waiquoo; similarity_score: 0.82485
job_seeker: pablokbs; similarity_score: 0.82485
job_seeker: thomasfromcdnjs; similarity_score: 0.82484
job_seeker: japesinator; similarity_score: 0.82022
job_seeker: ryanjanvier; similarity_score: 0.82022
job_seeker: nicopace; similarity_score: 0.82022
job_seeker: baggachipz; similarity_score: 0.82021
job_seeker: nubcakes; similarity_score: 0.82021
job_seeker: Grue3; similarity_score: 0.81564
job_seeker: mateja; similarity_score: 0.81563
job_seeker: hiby007; similarity_score: 0.81563
job_seeker: 32faction; similarity_score: 0.81563
job_seeker: rahulroy; similarity_score: 0.81563
job_seeker: 2close4comfort; similarity_score: 0.81563
job_seeker: kidsil; similarity_score: 0.81111
job_seeker: zachcowell; similarity_score: 0.81110
job_seeker: codez; similarity_score: 0.81110
job_seeker: philippnagel; similarity_score: 0.81110
job_seeker: toddrew; similarity_score: 0.80219
job_seeker: TapanilaT; similarity_score: 0.80219
job_seeker: bruticus; similarity_score: 0.80219
job_seeker: darsi; similarity_score: 0.80219
job_seeker: Achshar; similarity_score: 0.80219
job_seeker: 2bluesc; similarity_score: 0.80218
job_seeker: beanmind; similarity_score: 0.79781
job_seeker: cpursley; similarity_score: 0.79780
job_seeker: jecjec; similarity_score: 0.79780
job_seeker: akama; similarity_score: 0.79780
job_seeker: keane; similarity_score: 0.79347
job_seeker: J_Darnley; similarity_score: 0.79347
job_seeker: Cyranix; similarity_score: 0.79347
job_seeker: gsamm; similarity_score: 0.78918
job_seeker: lukasLansky; similarity_score: 0.78918
job_seeker: apsdehal; similarity_score: 0.78918
job_seeker: jan0e; similarity_score: 0.78918
job_seeker: nt_tdc; similarity_score: 0.78918
job_seeker: csorrell; similarity_score: 0.78494
job_seeker: fvinci; similarity_score: 0.78494
job_seeker: yen223; similarity_score: 0.78493
job_seeker: cswelin; similarity_score: 0.78074
job_seeker: asethwright; similarity_score: 0.78074
job_seeker: ealeksandrov; similarity_score: 0.78074
job_seeker: Daves; similarity_score: 0.77659
job_seeker: ddebernardy; similarity_score: 0.77248
job_seeker: cday; similarity_score: 0.77248
job_seeker: mtdavis; similarity_score: 0.77248
job_seeker: hayolie; similarity_score: 0.77248
job_seeker: BenderV; similarity_score: 0.76842
job_seeker: paulojreis; similarity_score: 0.76841
job_seeker: keraj; similarity_score: 0.76439
job_seeker: emillon; similarity_score: 0.76040
job_seeker: dyadic; similarity_score: 0.75647
job_seeker: bluerobotcat; similarity_score: 0.75647
job_seeker: sfteus; similarity_score: 0.75647
job_seeker: jw989; similarity_score: 0.75647
job_seeker: yzzxy; similarity_score: 0.75647
job_seeker: tomaskazemekas; similarity_score: 0.75256
job_seeker: 67726e; similarity_score: 0.74489
job_seeker: gmoneynj2000; similarity_score: 0.74488
job_seeker: Jarlakxen; similarity_score: 0.74488
job_seeker: schneidmaster; similarity_score: 0.73737
job_seeker: zwetan; similarity_score: 0.73366
job_seeker: bcoates; similarity_score: 0.72999
job_seeker: avyfain; similarity_score: 0.72999
job_seeker: sdernley; similarity_score: 0.72636
job_seeker: navait; similarity_score: 0.72636
job_seeker: Akkuma; similarity_score: 0.72635
job_seeker: iN7h33nD; similarity_score: 0.72276
job_seeker: hereonbusiness; similarity_score: 0.71920
job_seeker: kparaju; similarity_score: 0.71568
job_seeker: domador; similarity_score: 0.71567
job_seeker: RickS; similarity_score: 0.71218
job_seeker: TheDom; similarity_score: 0.70873
job_seeker: btbuildem; similarity_score: 0.70872
job_seeker: kirpekar; similarity_score: 0.70872
job_seeker: chrispecoraro; similarity_score: 0.70192
job_seeker: yoav; similarity_score: 0.69856
job_seeker: mike-cardwell; similarity_score: 0.69856
job_seeker: sidmitra; similarity_score: 0.69523
job_seeker: AlexNeoNomad; similarity_score: 0.68867
job_seeker: majodev; similarity_score: 0.68543
job_seeker: siscia; similarity_score: 0.68543
job_seeker: osenar; similarity_score: 0.68224
job_seeker: richardhoward; similarity_score: 0.68223
job_seeker: joyofdata; similarity_score: 0.67906
