job_seeker: EddyShure; similarity_score: 0.98590
job_seeker: trumbitta2; similarity_score: 0.98590
job_seeker: white0ut; similarity_score: 0.87499
job_seeker: papes; similarity_score: 0.85365
job_seeker: scool; similarity_score: 0.84336
job_seeker: HemantPawar; similarity_score: 0.83333
job_seeker: knoxzin1; similarity_score: 0.83332
job_seeker: david04; similarity_score: 0.82352
job_seeker: rayalez; similarity_score: 0.82352
job_seeker: sam_rad; similarity_score: 0.80459
job_seeker: developerbro; similarity_score: 0.80459
job_seeker: it_learnses; similarity_score: 0.80459
job_seeker: idlewan; similarity_score: 0.79545
job_seeker: phish; similarity_score: 0.79544
job_seeker: colsandurz; similarity_score: 0.79544
job_seeker: pzz; similarity_score: 0.78651
job_seeker: csommers; similarity_score: 0.78651
job_seeker: andrey_utkin; similarity_score: 0.77777
job_seeker: pknerd; similarity_score: 0.77777
job_seeker: cpursley; similarity_score: 0.77777
job_seeker: asow92; similarity_score: 0.77777
job_seeker: notastartup; similarity_score: 0.77777
job_seeker: enilsen16; similarity_score: 0.77777
job_seeker: csbartus; similarity_score: 0.76086
job_seeker: Stamy; similarity_score: 0.75268
job_seeker: spacial; similarity_score: 0.75268
job_seeker: alexandregme; similarity_score: 0.75267
job_seeker: shabinesh; similarity_score: 0.74468
job_seeker: coffee667; similarity_score: 0.74467
job_seeker: joshrael; similarity_score: 0.73684
job_seeker: albur; similarity_score: 0.73683
job_seeker: ddxv; similarity_score: 0.72916
job_seeker: thetwopct; similarity_score: 0.72916
job_seeker: aivosha; similarity_score: 0.72916
job_seeker: ashkang; similarity_score: 0.72916
job_seeker: sharmanaetor; similarity_score: 0.72916
job_seeker: sfythe; similarity_score: 0.72164
job_seeker: dmichulke; similarity_score: 0.72164
job_seeker: Grue3; similarity_score: 0.71427
job_seeker: uladzislau; similarity_score: 0.71427
job_seeker: krapp; similarity_score: 0.69306
job_seeker: madarve; similarity_score: 0.69306
job_seeker: nogbit; similarity_score: 0.69306
job_seeker: siscia; similarity_score: 0.69306
job_seeker: lukeqsee; similarity_score: 0.69306
job_seeker: rockoder; similarity_score: 0.68627
job_seeker: 3zzy; similarity_score: 0.68626
job_seeker: dancole; similarity_score: 0.68626
job_seeker: gothy; similarity_score: 0.67307
job_seeker: hiby007; similarity_score: 0.67306
job_seeker: dmaffett; similarity_score: 0.66037
job_seeker: mickt; similarity_score: 0.66037
job_seeker: chrisbrueck; similarity_score: 0.66037
job_seeker: rahulroy; similarity_score: 0.66036
job_seeker: apsdehal; similarity_score: 0.65420
job_seeker: zplesivcak; similarity_score: 0.65420
job_seeker: zero-g; similarity_score: 0.65420
job_seeker: mateja; similarity_score: 0.65420
job_seeker: yangchi; similarity_score: 0.65419
job_seeker: gierach; similarity_score: 0.65419
job_seeker: BrofessorWolf; similarity_score: 0.64219
job_seeker: andrewmatte; similarity_score: 0.63635
job_seeker: Widow; similarity_score: 0.63635
job_seeker: jecjec; similarity_score: 0.63635
job_seeker: jayrobin; similarity_score: 0.63062
