hiring_manager: Equiet; similarity_score: 25.9803
hiring_manager: ninetax; similarity_score: 25.4901
hiring_manager: espinchi; similarity_score: 24.6196
hiring_manager: brettz; similarity_score: 24.3464
hiring_manager: Andrew_Metail; similarity_score: 24.2314
hiring_manager: amac; similarity_score: 23.9543
hiring_manager: annalewis7; similarity_score: 23.4718
hiring_manager: axiom; similarity_score: 23.4465
hiring_manager: yavery; similarity_score: 23.4343
hiring_manager: wdewind; similarity_score: 23.4220
hiring_manager: mrw34; similarity_score: 23.3614
hiring_manager: TheMakeA; similarity_score: 23.2774
hiring_manager: nichol4s; similarity_score: 23.0569
hiring_manager: joanatello; similarity_score: 22.5483
hiring_manager: milewska; similarity_score: 22.5255
hiring_manager: Symbol; similarity_score: 22.5
hiring_manager: mrbird; similarity_score: 22.3325
hiring_manager: 7parkdata; similarity_score: 22.2621
hiring_manager: dbuxton; similarity_score: 21.9814
hiring_manager: spooneybarger; similarity_score: 21.9614
hiring_manager: paradox95; similarity_score: 21.8553
hiring_manager: jdjdjd; similarity_score: 21.8154
hiring_manager: k1w1; similarity_score: 21.5053
hiring_manager: frb; similarity_score: 21.3624
hiring_manager: chollida1; similarity_score: 21.3170
hiring_manager: hglaser; similarity_score: 21.2139
hiring_manager: eric_romo; similarity_score: 21.1783
hiring_manager: nkoren; similarity_score: 21.1343
hiring_manager: davidw; similarity_score: 21.1187
hiring_manager: dannysu; similarity_score: 21.0904
hiring_manager: asolove; similarity_score: 21.0348
hiring_manager: asanwal; similarity_score: 20.9606
hiring_manager: 7Figures2Commas; similarity_score: 20.7892
hiring_manager: untilHellbanned; similarity_score: 20.7525
hiring_manager: martinshen; similarity_score: 20.6977
hiring_manager: jszumski; similarity_score: 20.6951
hiring_manager: breckognize; similarity_score: 20.6322
hiring_manager: matlock; similarity_score: 20.6112
hiring_manager: artursapek; similarity_score: 20.5792
hiring_manager: pohungc; similarity_score: 20.5177
hiring_manager: chrisdl; similarity_score: 20.3451
hiring_manager: marybheine; similarity_score: 20.3125
hiring_manager: kenrose; similarity_score: 20.2429
hiring_manager: propellerhat; similarity_score: 20.2301
hiring_manager: rememberlenny; similarity_score: 20.1923
hiring_manager: Bahamut; similarity_score: 20.1062
hiring_manager: wattenberger; similarity_score: 20.0459
hiring_manager: Gyffindor; similarity_score: 19.8093
