job_seeker: hannes2000; similarity_score: 0.94474
job_seeker: FiddlerClamp; similarity_score: 0.93955
job_seeker: colsandurz; similarity_score: 0.93955
job_seeker: vdimarco; similarity_score: 0.93955
job_seeker: quiqueqs; similarity_score: 0.93442
job_seeker: ainiriand; similarity_score: 0.93442
job_seeker: mishkovski; similarity_score: 0.93441
job_seeker: new_user_name; similarity_score: 0.92934
job_seeker: yowmamasita; similarity_score: 0.92934
job_seeker: torkable; similarity_score: 0.92934
job_seeker: batjaa; similarity_score: 0.91934
job_seeker: RamunasM; similarity_score: 0.91934
job_seeker: Stamy; similarity_score: 0.91934
job_seeker: Hobart116; similarity_score: 0.91934
job_seeker: dsfreed; similarity_score: 0.91934
job_seeker: sauravt; similarity_score: 0.91443
job_seeker: pluc; similarity_score: 0.91443
job_seeker: wmil; similarity_score: 0.91443
job_seeker: SerialMiller; similarity_score: 0.91443
job_seeker: jbza; similarity_score: 0.90957
job_seeker: jdbiggs; similarity_score: 0.90956
job_seeker: jivux; similarity_score: 0.90956
job_seeker: egorbatik; similarity_score: 0.90956
job_seeker: saigrandhi; similarity_score: 0.90476
job_seeker: hyunwoona; similarity_score: 0.90475
job_seeker: gkelly; similarity_score: 0.90475
job_seeker: pknerd; similarity_score: 0.89999
job_seeker: phish; similarity_score: 0.89999
job_seeker: agurha; similarity_score: 0.89528
job_seeker: jokoon; similarity_score: 0.89528
job_seeker: v1ct0r; similarity_score: 0.89528
job_seeker: frontsideair; similarity_score: 0.89527
job_seeker: anujpasricha; similarity_score: 0.89062
job_seeker: domedefelice; similarity_score: 0.89061
job_seeker: speeder; similarity_score: 0.88600
job_seeker: yesyesnooo; similarity_score: 0.88600
job_seeker: sharmanaetor; similarity_score: 0.88600
job_seeker: webjac; similarity_score: 0.88143
job_seeker: greenjellybean; similarity_score: 0.88143
job_seeker: sfythe; similarity_score: 0.87244
job_seeker: chad_strategic; similarity_score: 0.87244
job_seeker: harrychenca; similarity_score: 0.87244
job_seeker: Nullslash; similarity_score: 0.87244
job_seeker: ucacian; similarity_score: 0.86801
job_seeker: ryaneager; similarity_score: 0.85499
job_seeker: asfarley; similarity_score: 0.85499
job_seeker: rogerbinns; similarity_score: 0.85074
job_seeker: srpoder; similarity_score: 0.85073
job_seeker: ownagefool; similarity_score: 0.85073
job_seeker: claudiordgz; similarity_score: 0.84653
job_seeker: 3zzy; similarity_score: 0.84653
job_seeker: mariocesar; similarity_score: 0.84652
job_seeker: waiquoo; similarity_score: 0.84652
job_seeker: baggachipz; similarity_score: 0.84236
job_seeker: 32faction; similarity_score: 0.83823
job_seeker: ryanjanvier; similarity_score: 0.83823
job_seeker: rahulroy; similarity_score: 0.83822
job_seeker: mateja; similarity_score: 0.83414
job_seeker: nicopace; similarity_score: 0.83414
job_seeker: Grue3; similarity_score: 0.83414
job_seeker: hiby007; similarity_score: 0.83413
job_seeker: gothy; similarity_score: 0.83413
job_seeker: zachcowell; similarity_score: 0.83009
job_seeker: pablokbs; similarity_score: 0.83009
job_seeker: nubcakes; similarity_score: 0.83009
job_seeker: 2close4comfort; similarity_score: 0.83009
job_seeker: japesinator; similarity_score: 0.83008
job_seeker: toddrew; similarity_score: 0.83008
job_seeker: Achshar; similarity_score: 0.82211
job_seeker: 2bluesc; similarity_score: 0.82210
job_seeker: cpursley; similarity_score: 0.82210
job_seeker: philippnagel; similarity_score: 0.81818
job_seeker: apsdehal; similarity_score: 0.81817
job_seeker: lukasLansky; similarity_score: 0.81428
job_seeker: codez; similarity_score: 0.81428
job_seeker: bruticus; similarity_score: 0.81428
job_seeker: thomasfromcdnjs; similarity_score: 0.81428
job_seeker: kidsil; similarity_score: 0.81427
job_seeker: jecjec; similarity_score: 0.81042
