job_seeker: EddyShure; similarity_score: 0.99547
job_seeker: trumbitta2; similarity_score: 0.99546
job_seeker: white0ut; similarity_score: 0.96490
job_seeker: papes; similarity_score: 0.95237
job_seeker: scool; similarity_score: 0.94827
job_seeker: HemantPawar; similarity_score: 0.94016
job_seeker: david04; similarity_score: 0.93616
job_seeker: it_learnses; similarity_score: 0.93616
job_seeker: rayalez; similarity_score: 0.93616
job_seeker: knoxzin1; similarity_score: 0.93616
job_seeker: idlewan; similarity_score: 0.93220
job_seeker: colsandurz; similarity_score: 0.93219
job_seeker: sam_rad; similarity_score: 0.93219
job_seeker: pknerd; similarity_score: 0.92826
job_seeker: phish; similarity_score: 0.92826
job_seeker: csommers; similarity_score: 0.92436
job_seeker: developerbro; similarity_score: 0.92436
job_seeker: enilsen16; similarity_score: 0.92436
job_seeker: andrey_utkin; similarity_score: 0.92049
job_seeker: asow92; similarity_score: 0.91666
job_seeker: cpursley; similarity_score: 0.91666
job_seeker: notastartup; similarity_score: 0.91666
job_seeker: pzz; similarity_score: 0.91666
job_seeker: Stamy; similarity_score: 0.91285
job_seeker: shabinesh; similarity_score: 0.90908
job_seeker: csbartus; similarity_score: 0.90908
job_seeker: coffee667; similarity_score: 0.90908
job_seeker: thetwopct; similarity_score: 0.90534
job_seeker: alexandregme; similarity_score: 0.90534
job_seeker: sharmanaetor; similarity_score: 0.90534
job_seeker: dmichulke; similarity_score: 0.90534
job_seeker: sfythe; similarity_score: 0.90534
job_seeker: albur; similarity_score: 0.90534
job_seeker: joshrael; similarity_score: 0.90163
job_seeker: spacial; similarity_score: 0.90163
job_seeker: ddxv; similarity_score: 0.89795
job_seeker: uladzislau; similarity_score: 0.89430
job_seeker: ashkang; similarity_score: 0.89430
job_seeker: gothy; similarity_score: 0.89430
job_seeker: aivosha; similarity_score: 0.89430
job_seeker: madarve; similarity_score: 0.89068
job_seeker: siscia; similarity_score: 0.89068
job_seeker: Grue3; similarity_score: 0.89068
job_seeker: rockoder; similarity_score: 0.89067
job_seeker: mateja; similarity_score: 0.88708
job_seeker: dancole; similarity_score: 0.88353
job_seeker: krapp; similarity_score: 0.87999
job_seeker: lukeqsee; similarity_score: 0.87999
job_seeker: mickt; similarity_score: 0.87999
job_seeker: zplesivcak; similarity_score: 0.87999
job_seeker: rahulroy; similarity_score: 0.87649
job_seeker: 3zzy; similarity_score: 0.87649
job_seeker: nogbit; similarity_score: 0.87648
job_seeker: apsdehal; similarity_score: 0.87301
job_seeker: yangchi; similarity_score: 0.86956
job_seeker: gierach; similarity_score: 0.86956
job_seeker: jecjec; similarity_score: 0.86955
job_seeker: andrewmatte; similarity_score: 0.86955
job_seeker: Widow; similarity_score: 0.86613
job_seeker: hiby007; similarity_score: 0.86613
job_seeker: dmaffett; similarity_score: 0.86274
job_seeker: chrisbrueck; similarity_score: 0.85937
job_seeker: mdturnerphys; similarity_score: 0.85936
job_seeker: zero-g; similarity_score: 0.85602
job_seeker: lordsheepy; similarity_score: 0.85271
job_seeker: BrofessorWolf; similarity_score: 0.85271
job_seeker: yen223; similarity_score: 0.85270
job_seeker: dsposito; similarity_score: 0.84941
job_seeker: jayrobin; similarity_score: 0.84615
job_seeker: agilebyte; similarity_score: 0.84614
job_seeker: BenderV; similarity_score: 0.84290
job_seeker: arenaninja; similarity_score: 0.83968
job_seeker: J_Darnley; similarity_score: 0.83968
job_seeker: asherdavidson; similarity_score: 0.83649
job_seeker: brickmort; similarity_score: 0.83649
job_seeker: athesyn; similarity_score: 0.83332
job_seeker: ankeshanand; similarity_score: 0.83332
job_seeker: keraj; similarity_score: 0.83332
job_seeker: qute; similarity_score: 0.83332
job_seeker: synesso; similarity_score: 0.83018
job_seeker: chroman; similarity_score: 0.83018
job_seeker: Blackthorn; similarity_score: 0.82706
job_seeker: nirajd; similarity_score: 0.82705
job_seeker: nialo; similarity_score: 0.82396
job_seeker: WasimBhai; similarity_score: 0.82396
job_seeker: neilk; similarity_score: 0.82396
job_seeker: codez; similarity_score: 0.82089
job_seeker: jayhuang; similarity_score: 0.82088
job_seeker: prmobiledev; similarity_score: 0.82088
job_seeker: AndroidJedi; similarity_score: 0.81783
job_seeker: fabulist; similarity_score: 0.81783
job_seeker: eshaham; similarity_score: 0.81481
job_seeker: Danieru; similarity_score: 0.81180
job_seeker: stevesunderland; similarity_score: 0.81180
job_seeker: mailshanx; similarity_score: 0.80291
job_seeker: avyfain; similarity_score: 0.79999
job_seeker: hasbelkader; similarity_score: 0.79999
job_seeker: chrispecoraro; similarity_score: 0.79709
job_seeker: howard941; similarity_score: 0.79709
job_seeker: domador; similarity_score: 0.79422
job_seeker: jj57347; similarity_score: 0.79421
job_seeker: Hario; similarity_score: 0.79135
