hiring_manager: manpageman; similarity_score: 27.6643
hiring_manager: joshcanhelp; similarity_score: 26.6666
hiring_manager: untilHellbanned; similarity_score: 26.5168
hiring_manager: beaverfox; similarity_score: 25.3041
hiring_manager: edziubudzik; similarity_score: 24.1322
hiring_manager: yavery; similarity_score: 23.6559
hiring_manager: rememberlenny; similarity_score: 23.5
hiring_manager: geverett; similarity_score: 23.4693
hiring_manager: darrennix; similarity_score: 23.1372
hiring_manager: carlatqueue; similarity_score: 23.1274
hiring_manager: reubendoetsch; similarity_score: 23.1092
hiring_manager: st8machine; similarity_score: 22.6415
hiring_manager: ninetax; similarity_score: 22.6337
hiring_manager: edent; similarity_score: 22.5663
hiring_manager: BillFranklin; similarity_score: 22.5255
hiring_manager: S4M; similarity_score: 22.4938
hiring_manager: frabcus; similarity_score: 22.3175
hiring_manager: amac; similarity_score: 22.2580
hiring_manager: brettz; similarity_score: 21.9696
hiring_manager: chrisdl; similarity_score: 21.5246
hiring_manager: roybarberuk; similarity_score: 21.4424
hiring_manager: Cyranix; similarity_score: 21.1111
hiring_manager: mmelin; similarity_score: 21.0803
hiring_manager: lesleyann25; similarity_score: 21.0332
hiring_manager: drpancake; similarity_score: 21.0249
hiring_manager: siscia; similarity_score: 20.1954
hiring_manager: kefeizhou; similarity_score: 20.1626
hiring_manager: emcienjobs; similarity_score: 20.1096
hiring_manager: murtza; similarity_score: 20.1086
hiring_manager: hrehhf; similarity_score: 20.0
hiring_manager: jerematasno; similarity_score: 19.9376
hiring_manager: rfergie; similarity_score: 19.8879
hiring_manager: Renat; similarity_score: 19.7938
hiring_manager: fapjacks; similarity_score: 19.5652
hiring_manager: ivanzhao; similarity_score: 19.4520
hiring_manager: khwang; similarity_score: 19.4444
hiring_manager: maramaemartin; similarity_score: 19.2913
hiring_manager: matlock; similarity_score: 19.2820
hiring_manager: Blackthorn; similarity_score: 19.2307
hiring_manager: jsaxton86; similarity_score: 19.2192
hiring_manager: sidjoshi; similarity_score: 18.9164
hiring_manager: toreriklinnerud; similarity_score: 18.8679
hiring_manager: zacharypinter; similarity_score: 18.8127
hiring_manager: ashleyjohn; similarity_score: 18.6454
hiring_manager: morgante; similarity_score: 18.6363
hiring_manager: statictype; similarity_score: 18.5351
hiring_manager: johnnyg; similarity_score: 18.4549
hiring_manager: alphast0rm; similarity_score: 18.4313
hiring_manager: kevinschumacher; similarity_score: 18.4265
hiring_manager: spot; similarity_score: 18.3306
hiring_manager: baran; similarity_score: 18.2325
hiring_manager: fourier; similarity_score: 18.1184
hiring_manager: encore2097; similarity_score: 18.0722
hiring_manager: imdane; similarity_score: 17.9487
hiring_manager: Caleb_Smith; similarity_score: 17.9211
hiring_manager: timanglade; similarity_score: 17.8378
hiring_manager: fractalsea; similarity_score: 17.7935
hiring_manager: zerr; similarity_score: 17.7777
hiring_manager: rasengan; similarity_score: 17.7664
hiring_manager: unclesaamm; similarity_score: 17.7049
hiring_manager: fchollet; similarity_score: 17.6610
hiring_manager: kbar13; similarity_score: 17.6136
hiring_manager: miles932; similarity_score: 17.5953
hiring_manager: jack7890; similarity_score: 17.5342
hiring_manager: lbo; similarity_score: 17.3076
hiring_manager: vtuulos; similarity_score: 17.0606
hiring_manager: jszumski; similarity_score: 17.0263
hiring_manager: uwemaurer; similarity_score: 16.9989
hiring_manager: artursapek; similarity_score: 16.8181
hiring_manager: edawerd; similarity_score: 16.8032
hiring_manager: HeyLaughingBoy; similarity_score: 16.6666
hiring_manager: metaobject; similarity_score: 16.6037
hiring_manager: TheMakeA; similarity_score: 16.5109
hiring_manager: marybheine; similarity_score: 16.5094
hiring_manager: 7parkdata; similarity_score: 16.4222
hiring_manager: vaughnd; similarity_score: 16.4133
hiring_manager: dmritard96; similarity_score: 16.3594
hiring_manager: curiousDog; similarity_score: 16.3120
hiring_manager: biomimic; similarity_score: 16.2790
hiring_manager: lsee; similarity_score: 16.2679
hiring_manager: eric_romo; similarity_score: 16.2621
hiring_manager: grydstedt; similarity_score: 16.1858
hiring_manager: FreshPuzzles; similarity_score: 16.1693
hiring_manager: grinich; similarity_score: 16.1616
hiring_manager: asanwal; similarity_score: 16.1358
hiring_manager: annalewis7; similarity_score: 16.1006
hiring_manager: ljlolel; similarity_score: 16.0256
hiring_manager: doxcf434; similarity_score: 16.0
hiring_manager: DustinCalim; similarity_score: 15.9383
hiring_manager: choult; similarity_score: 15.8786
hiring_manager: robg; similarity_score: 15.7958
hiring_manager: gajomi; similarity_score: 15.7955
hiring_manager: knes; similarity_score: 15.7937
hiring_manager: iandanforth; similarity_score: 15.7303
hiring_manager: yegg; similarity_score: 15.5844
hiring_manager: spooneybarger; similarity_score: 15.5059
hiring_manager: jjnvdm; similarity_score: 15.4566
hiring_manager: kdavari; similarity_score: 15.4004
hiring_manager: greenjellybean; similarity_score: 15.3110
hiring_manager: mburst; similarity_score: 15.1747
hiring_manager: nschuett; similarity_score: 15.1243
hiring_manager: feverishaaron; similarity_score: 15.0870
hiring_manager: wattenberger; similarity_score: 15.0857
hiring_manager: pouloum78; similarity_score: 15.0712
hiring_manager: pohungc; similarity_score: 15.0572
hiring_manager: Bahamut; similarity_score: 15.0054
hiring_manager: quinthar; similarity_score: 14.8936
hiring_manager: Andrew_Metail; similarity_score: 14.8329
hiring_manager: xasos; similarity_score: 14.7286
hiring_manager: hglaser; similarity_score: 14.6788
hiring_manager: g06; similarity_score: 14.6443
hiring_manager: ehberger; similarity_score: 14.5896
hiring_manager: axiom; similarity_score: 14.5261
hiring_manager: kscottz; similarity_score: 14.5209
hiring_manager: Symbol; similarity_score: 14.4396
hiring_manager: pwman; similarity_score: 14.4200
hiring_manager: peter_mcrae; similarity_score: 14.4016
hiring_manager: papaonlegs; similarity_score: 14.3939
hiring_manager: clieu1; similarity_score: 14.3081
hiring_manager: bowmanb; similarity_score: 14.2222
hiring_manager: jorgecastillo; similarity_score: 14.2034
hiring_manager: FUSAR_rs; similarity_score: 14.1829
hiring_manager: justhw; similarity_score: 14.1772
hiring_manager: cwc22; similarity_score: 14.1035
hiring_manager: k1w1; similarity_score: 14.0562
hiring_manager: escherize; similarity_score: 13.9372
hiring_manager: omarish; similarity_score: 13.9344
hiring_manager: Mynar; similarity_score: 13.7060
hiring_manager: salar; similarity_score: 13.7055
hiring_manager: burnout1540; similarity_score: 13.6518
hiring_manager: darrenkopp; similarity_score: 13.4515
hiring_manager: jason_allen; similarity_score: 13.3949
hiring_manager: smikhanov; similarity_score: 13.3333
hiring_manager: myom; similarity_score: 13.3116
hiring_manager: cjbarber; similarity_score: 13.1979
hiring_manager: davidw; similarity_score: 13.1147
hiring_manager: Theranos; similarity_score: 13.1018
hiring_manager: fuelfive; similarity_score: 13.0353
hiring_manager: diego; similarity_score: 13.0341
hiring_manager: biggitybones; similarity_score: 13.0208
hiring_manager: chrisduesing; similarity_score: 13.0044
