job_seeker: colsandurz; similarity_score: 0.94252
job_seeker: hannes2000; similarity_score: 0.94251
job_seeker: FiddlerClamp; similarity_score: 0.93714
job_seeker: vdimarco; similarity_score: 0.93714
job_seeker: quiqueqs; similarity_score: 0.93181
job_seeker: yowmamasita; similarity_score: 0.93181
job_seeker: ainiriand; similarity_score: 0.93181
job_seeker: new_user_name; similarity_score: 0.93181
job_seeker: mishkovski; similarity_score: 0.93180
job_seeker: torkable; similarity_score: 0.92654
job_seeker: wmil; similarity_score: 0.92134
job_seeker: RamunasM; similarity_score: 0.92134
job_seeker: batjaa; similarity_score: 0.92134
job_seeker: saigrandhi; similarity_score: 0.91619
job_seeker: Stamy; similarity_score: 0.91619
job_seeker: Hobart116; similarity_score: 0.91619
job_seeker: dsfreed; similarity_score: 0.91619
job_seeker: SerialMiller; similarity_score: 0.91619
job_seeker: pluc; similarity_score: 0.91110
job_seeker: jivux; similarity_score: 0.91110
job_seeker: jdbiggs; similarity_score: 0.90607
job_seeker: phish; similarity_score: 0.90607
job_seeker: egorbatik; similarity_score: 0.90607
job_seeker: sauravt; similarity_score: 0.90607
job_seeker: domedefelice; similarity_score: 0.90109
job_seeker: pknerd; similarity_score: 0.90109
job_seeker: hyunwoona; similarity_score: 0.90109
job_seeker: jbza; similarity_score: 0.90109
job_seeker: gkelly; similarity_score: 0.90109
job_seeker: agurha; similarity_score: 0.89617
job_seeker: jokoon; similarity_score: 0.89616
job_seeker: webjac; similarity_score: 0.89130
job_seeker: frontsideair; similarity_score: 0.89129
job_seeker: anujpasricha; similarity_score: 0.89129
job_seeker: sharmanaetor; similarity_score: 0.88648
job_seeker: yesyesnooo; similarity_score: 0.88647
job_seeker: sfythe; similarity_score: 0.88172
job_seeker: speeder; similarity_score: 0.88171
job_seeker: v1ct0r; similarity_score: 0.88171
job_seeker: greenjellybean; similarity_score: 0.88171
job_seeker: chad_strategic; similarity_score: 0.87233
job_seeker: harrychenca; similarity_score: 0.86772
job_seeker: JoshuaDavid; similarity_score: 0.86771
job_seeker: ucacian; similarity_score: 0.85863
job_seeker: Nullslash; similarity_score: 0.85863
job_seeker: claudiordgz; similarity_score: 0.85862
job_seeker: asfarley; similarity_score: 0.85416
job_seeker: mariocesar; similarity_score: 0.85415
job_seeker: rogerbinns; similarity_score: 0.84973
job_seeker: ryaneager; similarity_score: 0.84973
job_seeker: srpoder; similarity_score: 0.84973
job_seeker: 3zzy; similarity_score: 0.84535
job_seeker: nubcakes; similarity_score: 0.84535
job_seeker: ownagefool; similarity_score: 0.84535
job_seeker: gothy; similarity_score: 0.84535
job_seeker: waiquoo; similarity_score: 0.84102
job_seeker: baggachipz; similarity_score: 0.84102
job_seeker: ryanjanvier; similarity_score: 0.84101
job_seeker: rahulroy; similarity_score: 0.84101
job_seeker: 32faction; similarity_score: 0.83673
job_seeker: japesinator; similarity_score: 0.83672
job_seeker: hiby007; similarity_score: 0.83248
job_seeker: mateja; similarity_score: 0.83248
job_seeker: nicopace; similarity_score: 0.83248
job_seeker: thomasfromcdnjs; similarity_score: 0.83247
job_seeker: Grue3; similarity_score: 0.82828
job_seeker: pablokbs; similarity_score: 0.82827
job_seeker: 2close4comfort; similarity_score: 0.82827
job_seeker: apsdehal; similarity_score: 0.82827
job_seeker: 2bluesc; similarity_score: 0.82411
job_seeker: philippnagel; similarity_score: 0.82411
job_seeker: cpursley; similarity_score: 0.82411
job_seeker: zachcowell; similarity_score: 0.81999
job_seeker: bruticus; similarity_score: 0.81999
job_seeker: jecjec; similarity_score: 0.81592
job_seeker: toddrew; similarity_score: 0.81592
job_seeker: kidsil; similarity_score: 0.81591
job_seeker: Achshar; similarity_score: 0.81591
job_seeker: beanmind; similarity_score: 0.81187
job_seeker: ealeksandrov; similarity_score: 0.81187
job_seeker: codez; similarity_score: 0.80788
job_seeker: Cyranix; similarity_score: 0.80788
job_seeker: TapanilaT; similarity_score: 0.80787
job_seeker: fvinci; similarity_score: 0.80787
job_seeker: darsi; similarity_score: 0.80787
job_seeker: gsamm; similarity_score: 0.80787
job_seeker: cday; similarity_score: 0.80392
job_seeker: nt_tdc; similarity_score: 0.80392
job_seeker: cswelin; similarity_score: 0.80391
job_seeker: keane; similarity_score: 0.80391
job_seeker: ddebernardy; similarity_score: 0.79999
job_seeker: jan0e; similarity_score: 0.79999
job_seeker: BenderV; similarity_score: 0.79611
job_seeker: sfteus; similarity_score: 0.79611
job_seeker: asethwright; similarity_score: 0.79610
job_seeker: keraj; similarity_score: 0.79227
job_seeker: bluerobotcat; similarity_score: 0.79226
job_seeker: hayolie; similarity_score: 0.79226
job_seeker: lukasLansky; similarity_score: 0.79226
job_seeker: csorrell; similarity_score: 0.79226
job_seeker: akama; similarity_score: 0.79226
job_seeker: paulojreis; similarity_score: 0.79226
job_seeker: yen223; similarity_score: 0.78845
job_seeker: mtdavis; similarity_score: 0.78845
job_seeker: J_Darnley; similarity_score: 0.78845
job_seeker: Daves; similarity_score: 0.78467
job_seeker: navait; similarity_score: 0.77358
