hiring_manager: namelezz; similarity_score: 0.99300
hiring_manager: deepsearch; similarity_score: 0.99300
hiring_manager: xasos; similarity_score: 0.98611
hiring_manager: papaonlegs; similarity_score: 0.98610
hiring_manager: bohnej; similarity_score: 0.98610
hiring_manager: zacharycohn; similarity_score: 0.98610
hiring_manager: ogennadi; similarity_score: 0.97931
hiring_manager: iandanforth; similarity_score: 0.97930
hiring_manager: siddarthd2919; similarity_score: 0.97930
hiring_manager: bostonpete; similarity_score: 0.97930
hiring_manager: joshcanhelp; similarity_score: 0.97260
hiring_manager: OpenDrapery; similarity_score: 0.97259
hiring_manager: Caleb_Smith; similarity_score: 0.96598
hiring_manager: nathanwdavis; similarity_score: 0.96598
hiring_manager: fourier; similarity_score: 0.96597
hiring_manager: sid6376; similarity_score: 0.96597
hiring_manager: metaobject; similarity_score: 0.96597
hiring_manager: curiousDog; similarity_score: 0.95945
hiring_manager: neftaly; similarity_score: 0.95945
hiring_manager: BillFranklin; similarity_score: 0.95945
hiring_manager: siscia; similarity_score: 0.95945
hiring_manager: khwang; similarity_score: 0.95945
hiring_manager: fractalsea; similarity_score: 0.95301
hiring_manager: hrehhf; similarity_score: 0.95301
hiring_manager: plaban123; similarity_score: 0.95301
hiring_manager: fapjacks; similarity_score: 0.95301
hiring_manager: smikhanov; similarity_score: 0.95301
hiring_manager: jerematasno; similarity_score: 0.94666
hiring_manager: _gordee; similarity_score: 0.94666
hiring_manager: ljlolel; similarity_score: 0.94666
hiring_manager: grinich; similarity_score: 0.94665
hiring_manager: quinthar; similarity_score: 0.94039
hiring_manager: fuckthepoor; similarity_score: 0.94039
hiring_manager: bkovacev; similarity_score: 0.94038
hiring_manager: kbar13; similarity_score: 0.93420
hiring_manager: unclesaamm; similarity_score: 0.93420
hiring_manager: HeyLaughingBoy; similarity_score: 0.93420
hiring_manager: tobinharris; similarity_score: 0.92810
hiring_manager: vaughnd; similarity_score: 0.92809
hiring_manager: rrpadhy; similarity_score: 0.92207
hiring_manager: petrosagg; similarity_score: 0.92207
hiring_manager: chrisbennet; similarity_score: 0.92206
hiring_manager: st8machine; similarity_score: 0.92206
hiring_manager: Cyranix; similarity_score: 0.91612
hiring_manager: miles932; similarity_score: 0.91612
hiring_manager: Blackthorn; similarity_score: 0.91612
hiring_manager: timanglade; similarity_score: 0.91612
hiring_manager: emcienjobs; similarity_score: 0.91025
hiring_manager: zerr; similarity_score: 0.91024
hiring_manager: dalys; similarity_score: 0.91024
hiring_manager: frabcus; similarity_score: 0.90445
hiring_manager: toreriklinnerud; similarity_score: 0.89873
hiring_manager: rememberlenny; similarity_score: 0.89872
hiring_manager: fnaticshank; similarity_score: 0.89872
hiring_manager: cllns; similarity_score: 0.89872
hiring_manager: geverett; similarity_score: 0.89307
hiring_manager: untilHellbanned; similarity_score: 0.89307
hiring_manager: g06; similarity_score: 0.88749
hiring_manager: reubendoetsch; similarity_score: 0.88198
hiring_manager: S4M; similarity_score: 0.88198
hiring_manager: pouloum78; similarity_score: 0.88197
hiring_manager: manpageman; similarity_score: 0.87654
hiring_manager: beaverfox; similarity_score: 0.87653
hiring_manager: milewska; similarity_score: 0.87115
hiring_manager: lesleyann25; similarity_score: 0.86585
hiring_manager: edent; similarity_score: 0.86585
hiring_manager: justhw; similarity_score: 0.86585
hiring_manager: doxcf434; similarity_score: 0.86585
hiring_manager: yavery; similarity_score: 0.86584
hiring_manager: greenjellybean; similarity_score: 0.86584
hiring_manager: ericbogs; similarity_score: 0.86060
hiring_manager: spot; similarity_score: 0.86059
hiring_manager: ninetax; similarity_score: 0.85541
hiring_manager: ugh123; similarity_score: 0.85541
hiring_manager: darrennix; similarity_score: 0.85029
hiring_manager: roybarberuk; similarity_score: 0.85029
hiring_manager: feverishaaron; similarity_score: 0.84523
hiring_manager: k1w1; similarity_score: 0.83528
hiring_manager: samuelbrin; similarity_score: 0.83039
hiring_manager: jorgecastillo; similarity_score: 0.81609
hiring_manager: edziubudzik; similarity_score: 0.81608
hiring_manager: finnh; similarity_score: 0.81608
hiring_manager: burnout1540; similarity_score: 0.81142
hiring_manager: amac; similarity_score: 0.81142
hiring_manager: frb; similarity_score: 0.80225
hiring_manager: 7Figures2Commas; similarity_score: 0.80225
hiring_manager: lbo; similarity_score: 0.80225
hiring_manager: jack7890; similarity_score: 0.79775
hiring_manager: imdane; similarity_score: 0.79775
hiring_manager: pwman; similarity_score: 0.79774
hiring_manager: biomimic; similarity_score: 0.79774
hiring_manager: ehberger; similarity_score: 0.79329
hiring_manager: kefeizhou; similarity_score: 0.78888
hiring_manager: pohungc; similarity_score: 0.78452
hiring_manager: murtza; similarity_score: 0.78452
hiring_manager: marybheine; similarity_score: 0.78021
hiring_manager: rfergie; similarity_score: 0.77595
hiring_manager: realdlee; similarity_score: 0.77594
hiring_manager: damon_c; similarity_score: 0.77173
hiring_manager: DustinCalim; similarity_score: 0.77173
hiring_manager: 7parkdata; similarity_score: 0.77173
hiring_manager: artursapek; similarity_score: 0.76756
hiring_manager: samingrassia; similarity_score: 0.75935
hiring_manager: jsaxton86; similarity_score: 0.75935
hiring_manager: statictype; similarity_score: 0.75935
hiring_manager: lsee; similarity_score: 0.75531
hiring_manager: chrisdl; similarity_score: 0.75531
hiring_manager: spooneybarger; similarity_score: 0.75531
hiring_manager: yegg; similarity_score: 0.75132
hiring_manager: frisco; similarity_score: 0.75131
hiring_manager: eric_romo; similarity_score: 0.74736
hiring_manager: annalewis7; similarity_score: 0.74736
hiring_manager: retrodict; similarity_score: 0.74736
hiring_manager: kiyoto; similarity_score: 0.74736
hiring_manager: ivanzhao; similarity_score: 0.74736
hiring_manager: kevinschumacher; similarity_score: 0.74735
hiring_manager: mmelin; similarity_score: 0.74344
hiring_manager: TheMakeA; similarity_score: 0.74344
hiring_manager: carlatqueue; similarity_score: 0.73958
hiring_manager: andrewmb; similarity_score: 0.73958
hiring_manager: paradox95; similarity_score: 0.73574
hiring_manager: brettz; similarity_score: 0.73195
hiring_manager: Equiet; similarity_score: 0.73195
hiring_manager: drpancake; similarity_score: 0.73195
hiring_manager: yonibaciu1; similarity_score: 0.73195
hiring_manager: uwemaurer; similarity_score: 0.72820
hiring_manager: jszumski; similarity_score: 0.72819
hiring_manager: encore2097; similarity_score: 0.72448
hiring_manager: mattnguyen; similarity_score: 0.72448
hiring_manager: JuliaLam; similarity_score: 0.72080
hiring_manager: wattenberger; similarity_score: 0.72080
hiring_manager: rasengan; similarity_score: 0.72080
hiring_manager: dmritard96; similarity_score: 0.72080
hiring_manager: robg; similarity_score: 0.71716
hiring_manager: jdjdjd; similarity_score: 0.70646
hiring_manager: nschuett; similarity_score: 0.70645
