hiring_manager: vseloved; similarity_score: 0.96609
hiring_manager: chad_strategic; similarity_score: 0.93442
hiring_manager: razvvan; similarity_score: 0.87692
hiring_manager: owainlewis; similarity_score: 0.86363
hiring_manager: redesignibm; similarity_score: 0.80281
hiring_manager: omarforgotpwd; similarity_score: 0.80280
hiring_manager: bnr; similarity_score: 0.79166
hiring_manager: andy; similarity_score: 0.77026
hiring_manager: ononoma; similarity_score: 0.74999
hiring_manager: CurtHagenlocher; similarity_score: 0.73076
hiring_manager: yurisagalov; similarity_score: 0.72151
hiring_manager: lowglow; similarity_score: 0.71249
hiring_manager: lgsilver; similarity_score: 0.68674
hiring_manager: dblock; similarity_score: 0.67058
hiring_manager: hungryblank; similarity_score: 0.66278
hiring_manager: mjhea0; similarity_score: 0.65516
hiring_manager: merinid; similarity_score: 0.64044
hiring_manager: mattculbreth; similarity_score: 0.64044
hiring_manager: gshahlot; similarity_score: 0.63332
hiring_manager: nicholaides; similarity_score: 0.63332
hiring_manager: tortillasauce; similarity_score: 0.63332
hiring_manager: jimmyrocks; similarity_score: 0.62636
hiring_manager: robhunter; similarity_score: 0.62636
hiring_manager: acudmore; similarity_score: 0.62636
hiring_manager: meifamous; similarity_score: 0.62636
hiring_manager: thisjody; similarity_score: 0.60638
hiring_manager: samg; similarity_score: 0.59999
hiring_manager: k1w1; similarity_score: 0.58762
hiring_manager: khaki54; similarity_score: 0.58163
hiring_manager: brandnewlow; similarity_score: 0.58162
hiring_manager: ehartsuyker; similarity_score: 0.57575
hiring_manager: odiroot; similarity_score: 0.57575
hiring_manager: thehar; similarity_score: 0.57575
hiring_manager: jevans; similarity_score: 0.56999
hiring_manager: jack7890; similarity_score: 0.56999
hiring_manager: murtza; similarity_score: 0.56434
hiring_manager: nerdz; similarity_score: 0.55881
hiring_manager: tomblomfield; similarity_score: 0.55339
hiring_manager: DustinCalim; similarity_score: 0.54807
hiring_manager: nathanh; similarity_score: 0.54285
hiring_manager: 7parkdata; similarity_score: 0.54285
hiring_manager: macrosak; similarity_score: 0.53772
hiring_manager: jauntvr_amy; similarity_score: 0.53270
hiring_manager: gavanwilhite; similarity_score: 0.53270
hiring_manager: pierreant_p; similarity_score: 0.53270
hiring_manager: AndroidJedi; similarity_score: 0.52777
hiring_manager: martidumas; similarity_score: 0.52777
hiring_manager: samingrassia; similarity_score: 0.52293
hiring_manager: scanr; similarity_score: 0.52293
hiring_manager: mazzarello; similarity_score: 0.52293
