hiring_manager: papaonlegs; similarity_score: 0.98245
hiring_manager: siddarthd2919; similarity_score: 0.96550
hiring_manager: BillFranklin; similarity_score: 0.95725
hiring_manager: ljlolel; similarity_score: 0.93333
hiring_manager: emcienjobs; similarity_score: 0.88888
hiring_manager: toreriklinnerud; similarity_score: 0.87499
hiring_manager: rememberlenny; similarity_score: 0.87499
hiring_manager: geverett; similarity_score: 0.86152
hiring_manager: manpageman; similarity_score: 0.85496
hiring_manager: g06; similarity_score: 0.85495
hiring_manager: frabcus; similarity_score: 0.85495
hiring_manager: reubendoetsch; similarity_score: 0.84848
hiring_manager: edent; similarity_score: 0.84847
hiring_manager: untilHellbanned; similarity_score: 0.84209
hiring_manager: milewska; similarity_score: 0.84209
hiring_manager: pouloum78; similarity_score: 0.83581
hiring_manager: spot; similarity_score: 0.83581
hiring_manager: lesleyann25; similarity_score: 0.83581
hiring_manager: ericbogs; similarity_score: 0.82962
hiring_manager: doxcf434; similarity_score: 0.82962
hiring_manager: roybarberuk; similarity_score: 0.81751
hiring_manager: yavery; similarity_score: 0.81751
hiring_manager: darrennix; similarity_score: 0.81159
hiring_manager: k1w1; similarity_score: 0.78872
hiring_manager: feverishaaron; similarity_score: 0.78320
hiring_manager: finnh; similarity_score: 0.77776
hiring_manager: amac; similarity_score: 0.77776
hiring_manager: burnout1540; similarity_score: 0.77240
hiring_manager: edziubudzik; similarity_score: 0.76712
hiring_manager: imdane; similarity_score: 0.75167
hiring_manager: lbo; similarity_score: 0.74666
hiring_manager: jack7890; similarity_score: 0.74666
hiring_manager: frb; similarity_score: 0.74171
hiring_manager: marybheine; similarity_score: 0.73683
hiring_manager: pwman; similarity_score: 0.73683
hiring_manager: kefeizhou; similarity_score: 0.73683
hiring_manager: murtza; similarity_score: 0.73202
hiring_manager: pohungc; similarity_score: 0.73202
hiring_manager: realdlee; similarity_score: 0.72257
hiring_manager: american_hawk; similarity_score: 0.71794
hiring_manager: rfergie; similarity_score: 0.71794
hiring_manager: 7parkdata; similarity_score: 0.71337
hiring_manager: statictype; similarity_score: 0.71337
hiring_manager: DustinCalim; similarity_score: 0.70885
hiring_manager: runcougar; similarity_score: 0.70440
hiring_manager: annalewis7; similarity_score: 0.69564
hiring_manager: kiyoto; similarity_score: 0.69564
hiring_manager: jsaxton86; similarity_score: 0.69564
hiring_manager: lsee; similarity_score: 0.69135
hiring_manager: carlatqueue; similarity_score: 0.69135
hiring_manager: chrisdl; similarity_score: 0.69135
hiring_manager: ivanzhao; similarity_score: 0.69135
hiring_manager: yegg; similarity_score: 0.69134
hiring_manager: damon_c; similarity_score: 0.68711
hiring_manager: drpancake; similarity_score: 0.68711
hiring_manager: andrewmb; similarity_score: 0.68711
hiring_manager: kevinschumacher; similarity_score: 0.68711
hiring_manager: samingrassia; similarity_score: 0.68710
hiring_manager: retrodict; similarity_score: 0.68710
hiring_manager: brettz; similarity_score: 0.68292
hiring_manager: Equiet; similarity_score: 0.68292
hiring_manager: eric_romo; similarity_score: 0.68292
hiring_manager: mmelin; similarity_score: 0.67469
hiring_manager: artursapek; similarity_score: 0.67468
hiring_manager: paradox95; similarity_score: 0.67065
hiring_manager: JuliaLam; similarity_score: 0.67065
hiring_manager: rrpadhy; similarity_score: 0.67065
hiring_manager: uwemaurer; similarity_score: 0.67065
hiring_manager: jszumski; similarity_score: 0.66666
hiring_manager: yonibaciu1; similarity_score: 0.66666
hiring_manager: spooneybarger; similarity_score: 0.66666
hiring_manager: mattnguyen; similarity_score: 0.66665
hiring_manager: encore2097; similarity_score: 0.65882
hiring_manager: rasengan; similarity_score: 0.65881
hiring_manager: vaughnd; similarity_score: 0.65116
hiring_manager: wattenberger; similarity_score: 0.65116
hiring_manager: robg; similarity_score: 0.65115
hiring_manager: nschuett; similarity_score: 0.64738
hiring_manager: dbuxton; similarity_score: 0.64738
hiring_manager: matlock; similarity_score: 0.63999
hiring_manager: asanwal; similarity_score: 0.63999
hiring_manager: dmritard96; similarity_score: 0.63999
hiring_manager: austinhallock; similarity_score: 0.63276
hiring_manager: florianf; similarity_score: 0.63276
hiring_manager: timanglade; similarity_score: 0.62921
hiring_manager: saucelabs; similarity_score: 0.62920
hiring_manager: fuelfive; similarity_score: 0.62920
hiring_manager: morgante; similarity_score: 0.62920
hiring_manager: johnnyg; similarity_score: 0.62569
hiring_manager: vtuulos; similarity_score: 0.62569
hiring_manager: cjbarber; similarity_score: 0.62569
hiring_manager: maramaemartin; similarity_score: 0.62569
hiring_manager: wdewind; similarity_score: 0.62222
hiring_manager: alphast0rm; similarity_score: 0.61878
hiring_manager: cynusx; similarity_score: 0.61878
hiring_manager: FUSAR_rs; similarity_score: 0.61877
hiring_manager: baran; similarity_score: 0.61877
hiring_manager: charliejrgower; similarity_score: 0.61877
hiring_manager: Mynar; similarity_score: 0.61538
hiring_manager: davidw; similarity_score: 0.60869
hiring_manager: dangoldin; similarity_score: 0.60539
