hiring_manager: chad_strategic; similarity_score: 0.99230
hiring_manager: vseloved; similarity_score: 0.98472
hiring_manager: razvvan; similarity_score: 0.94852
hiring_manager: owainlewis; similarity_score: 0.94852
hiring_manager: bnr; similarity_score: 0.90844
hiring_manager: redesignibm; similarity_score: 0.90844
hiring_manager: omarforgotpwd; similarity_score: 0.90209
hiring_manager: andy; similarity_score: 0.88965
hiring_manager: yurisagalov; similarity_score: 0.88964
hiring_manager: ononoma; similarity_score: 0.88355
hiring_manager: lowglow; similarity_score: 0.86576
hiring_manager: CurtHagenlocher; similarity_score: 0.86576
hiring_manager: lgsilver; similarity_score: 0.84312
hiring_manager: merinid; similarity_score: 0.83225
hiring_manager: hungryblank; similarity_score: 0.83225
hiring_manager: mattculbreth; similarity_score: 0.82691
hiring_manager: gshahlot; similarity_score: 0.82165
hiring_manager: meifamous; similarity_score: 0.82165
hiring_manager: tortillasauce; similarity_score: 0.82165
hiring_manager: dblock; similarity_score: 0.82164
hiring_manager: nicholaides; similarity_score: 0.82164
hiring_manager: mjhea0; similarity_score: 0.81645
hiring_manager: jimmyrocks; similarity_score: 0.81644
hiring_manager: acudmore; similarity_score: 0.80123
hiring_manager: robhunter; similarity_score: 0.79629
hiring_manager: ehartsuyker; similarity_score: 0.79629
hiring_manager: odiroot; similarity_score: 0.79140
hiring_manager: k1w1; similarity_score: 0.79140
hiring_manager: samg; similarity_score: 0.79140
hiring_manager: thisjody; similarity_score: 0.78658
hiring_manager: thehar; similarity_score: 0.78657
hiring_manager: jack7890; similarity_score: 0.78180
hiring_manager: murtza; similarity_score: 0.77710
hiring_manager: jevans; similarity_score: 0.77710
hiring_manager: khaki54; similarity_score: 0.77710
hiring_manager: nerdz; similarity_score: 0.76784
hiring_manager: brandnewlow; similarity_score: 0.76784
hiring_manager: tomblomfield; similarity_score: 0.76330
hiring_manager: nathanh; similarity_score: 0.76330
hiring_manager: gavanwilhite; similarity_score: 0.75438
hiring_manager: macrosak; similarity_score: 0.75437
hiring_manager: jauntvr_amy; similarity_score: 0.74999
hiring_manager: martidumas; similarity_score: 0.74566
hiring_manager: DustinCalim; similarity_score: 0.74565
hiring_manager: 7parkdata; similarity_score: 0.74137
hiring_manager: samingrassia; similarity_score: 0.72881
hiring_manager: AndroidJedi; similarity_score: 0.72881
hiring_manager: kevinmchugh; similarity_score: 0.72880
hiring_manager: scanr; similarity_score: 0.72471
hiring_manager: pierreant_p; similarity_score: 0.72066
hiring_manager: ptlkitccat; similarity_score: 0.72066
hiring_manager: Tarang; similarity_score: 0.72066
hiring_manager: chrisdl; similarity_score: 0.72066
hiring_manager: peawee; similarity_score: 0.72066
hiring_manager: mazzarello; similarity_score: 0.71665
hiring_manager: logotype; similarity_score: 0.71665
hiring_manager: mazerj; similarity_score: 0.71270
hiring_manager: qwerpoiuty; similarity_score: 0.71270
hiring_manager: frb; similarity_score: 0.70878
hiring_manager: martinlanden; similarity_score: 0.70491
hiring_manager: yegg; similarity_score: 0.70108
hiring_manager: vimeojobs; similarity_score: 0.70107
hiring_manager: robertpohl; similarity_score: 0.70107
hiring_manager: QTtech; similarity_score: 0.70107
hiring_manager: jconnolly; similarity_score: 0.69729
hiring_manager: lamplightr; similarity_score: 0.69729
hiring_manager: margiexu; similarity_score: 0.69729
hiring_manager: arthurgibson; similarity_score: 0.69728
hiring_manager: westi; similarity_score: 0.69728
hiring_manager: nahidalam; similarity_score: 0.69354
hiring_manager: kiyoto; similarity_score: 0.69354
hiring_manager: scidev; similarity_score: 0.69354
hiring_manager: a5huynh; similarity_score: 0.68983
hiring_manager: feverishaaron; similarity_score: 0.68983
hiring_manager: saucelabs; similarity_score: 0.68616
hiring_manager: jscalisi; similarity_score: 0.68253
hiring_manager: kenrose; similarity_score: 0.68253
hiring_manager: demac; similarity_score: 0.67894
hiring_manager: transitorykris; similarity_score: 0.67894
hiring_manager: johnballjibe; similarity_score: 0.67894
hiring_manager: workmarket; similarity_score: 0.67539
hiring_manager: ryan_f; similarity_score: 0.67538
hiring_manager: lennies; similarity_score: 0.67538
hiring_manager: andrewlin; similarity_score: 0.67538
hiring_manager: austinhallock; similarity_score: 0.67187
hiring_manager: joe_fro; similarity_score: 0.67186
hiring_manager: morgante; similarity_score: 0.67186
hiring_manager: drc37; similarity_score: 0.66838
hiring_manager: joekur; similarity_score: 0.66838
hiring_manager: pkrein; similarity_score: 0.66838
hiring_manager: hazzadous; similarity_score: 0.66838
hiring_manager: pzearfoss; similarity_score: 0.66494
hiring_manager: allbombs; similarity_score: 0.66494
hiring_manager: adamalix; similarity_score: 0.66494
hiring_manager: cpenner461; similarity_score: 0.66493
hiring_manager: drp; similarity_score: 0.66153
hiring_manager: Rodi; similarity_score: 0.66152
hiring_manager: ben-deskpro; similarity_score: 0.65815
hiring_manager: chris_raptr; similarity_score: 0.65815
hiring_manager: dmritard96; similarity_score: 0.65481
hiring_manager: wittedhaddock; similarity_score: 0.65481
hiring_manager: USNetizen; similarity_score: 0.65151
hiring_manager: mrw34; similarity_score: 0.65150
hiring_manager: jasoncartwright; similarity_score: 0.64823
hiring_manager: hmpc; similarity_score: 0.64823
hiring_manager: sadadar; similarity_score: 0.64499
hiring_manager: robg; similarity_score: 0.64178
hiring_manager: salar; similarity_score: 0.64178
